family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,name
Acanthaceae,Justicia,montealegrensis,F.A.Silva & Kameyama,tax. nov.,spec.,FALSE,Syst. Bot. 46(2): 433. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,46(2): 433,1295-2,FALSE,holotype MG;isotype RB,"D.C.Zappi, M.F.Devecchi &amp; M.Pastore",4239,20 Jun 2018,"Pará (Brazil North, Brazil, Southern America)","Monte Alegre, Parque Estadual de Monte Alegre, Estrada para Parque Estadual de Monte Alegre, Mata baixa, perto do Buriti",77254314-1,TRUE,NA,11 Aug 2021,doi:10.1600/036364421X16231782047389,[epublished],Justicia_montealegrensis
Acanthaceae,Justicia,multiglandulosa,F.A.Silva & Kameyama,tax. nov.,spec.,FALSE,Syst. Bot. 46(2): 434. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,46(2): 434,1295-2,FALSE,holotype RB;isotype INPA;isotype MG;isotype MO;isotype NY;isotype US,"C.A.Cid, J.Ramos, C.D.Mota &amp; N.Rosas",1841,25 Aug 1980,"Pará (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);","Pará: Oriximiná, Rio Trombetas, margem esquerda, mata adjacente ao lago Ajudante",77254315-1,TRUE,NA,11 Aug 2021,doi:10.1600/036364421X16231782047389,[epublished],Justicia_multiglandulosa
Acanthaceae,Justicia,neurochlamys,Leonard,tax. nov.,spec.,FALSE,"Contr. U.S. Natl. Herb. 31: 517, fig. 192. 1958 ",Contr. U.S. Natl. Herb.,1958,"31: 517, fig. 192",605-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,133002-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398481&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Justicia_neurochlamys
Acanthaceae,Justicia,paraensis,"F.A.Silva, A.Gil & Kameyama",tax. nov.,spec.,FALSE,Syst. Bot. 46(2): 439. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,46(2): 439,1295-2,FALSE,holotype MG;isotype HCJS,D.F.Silva,851,25 Jul 2013,"Pará (Brazil North, Brazil, Southern America)","Parauapebas, estrada interna do Loteamento Chico Oliveira",77254316-1,TRUE,NA,11 Aug 2021,doi:10.1600/036364421X16231782047389,[epublished],Justicia_paraensis
Acanthaceae,Justicia,praetermissa,Wassh. & J.R.I.Wood,tax. nov.,spec.,FALSE,Kew Bull. 58(4): 779. 2004 [2003 publ. 9 Feb 2004] ,Kew Bull.,2004,58(4): 779,987-2,FALSE,holotype K;isotype US;isotype LPB;isotype USZ,J.R.I.Wood; D.J.Goyder,16855,19 Jan 2001,"Bolivia (Western South America, Southern America);Paraguay (Southern South America, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);","Santa Cruz: Alto Camiri, 1-2km from main highway, c. 3km S of Camiri, 850m",60426702-2,TRUE,NA,2003 publ. 9 Feb 2004,NA,NA,Justicia_praetermissa
Acanthaceae,Justicia,pusilla,M.J.Silva,tax. nov.,spec.,FALSE,Phytotaxa 525(1): 38. 2021 [11 Nov 2021] [epublished],Phytotaxa,2021,525(1): 38,20011462-1,FALSE,holotype UFG;isotype CEN;isotype RB;isotype UB,M.J.Silva &amp; I.S.Santos,12685,23 Jun 2021,"Goiás (Brazil West-Central, Brazil, Southern America)","Niquelândia, Reserva particular de Desenvolvimento Sustentável Legado Verdes do Cerrado, Núcleo Engenho, Córrego da Sociedade, c. 150 m a partir do Corrégo, 629 m",77222550-1,TRUE,NA,11 Nov 2021,"doi:10.11646/phytotaxa.525.1.4 The specific epithet is derived from the Latin 'pusillus', alluding to the small size of the species as compared to congeners.",[epublished],Justicia_pusilla
Acanthaceae,Justicia,schwackeana,Lindau,tax. nov.,spec.,FALSE,Bull. Herb. Boissier 3: 482. 1895 ,Bull. Herb. Boissier,1895,3: 482,573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,133102-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=482&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Justicia_schwackeana
Acanthaceae,Justicia,spathulata,Nees & Mart.,tax. nov.,spec.,FALSE,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11(1): 55. 1823 ,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.,1823,11(1): 55,1025-2,FALSE,null B,F.Sellow,s.n.,NA,Brazil (Southern America),NA,324231-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=1&rft.spage=55&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/65147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,later homonym (non Thunb. 1784); replaced by Beloperone spathulata Nees (1847),NA,Justicia_spathulata
Acanthaceae,Justicia,wittigiana,Glaz.,tax. nov.,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 536. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 536,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,133166-2,FALSE,NA,NA,NA,NA,Justicia_wittigiana
Acanthaceae,Lophostachys,reptans,Lindau,tax. nov.,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 195. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 195,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,143637-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=195&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Lophostachys_reptans
Acanthaceae,Mendoncia,gigas,Lindau,tax. nov.,spec.,FALSE,Notizbl. Königl. Bot. Gart. Berlin 6: 192. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 192,3558-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,157162-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=192&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,Mendoncia_gigas
