name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,pageAsText,referenceRemarks,infraspecies,speciesAuthor,collectionNumber,collectorTeam,typeLocations,remarks,collectionDate1,locality,typeCoordinates,nameStatus,nameStatusType,typeRemarks,originalTaxonDistribution,typeNote,originalRemarks
Cordia_setigera,I.M.Johnst.,I.M.Johnst.,,spec.,/n/65564-2,Boraginaceae,Cordia,setigera,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,J. Arnold Arbor.,1935,NA,16: 176,981-2,citation,J. Arnold Arbor. 16: 176. 1935 ,FALSE,TRUE,1.4,65564-2,urn:lsid:ipni.org:names:65564-2,wfo-0000620972,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=176&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/480&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_sprucei,Mez,Mez,,spec.,/n/65572-2,Boraginaceae,Cordia,sprucei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1890,23 Dec 1890,12(5): 549,553-2,citation,Bot. Jahrb. Syst. 12(5): 549. 1890 [23 Dec 1890] ,FALSE,TRUE,1.5,65572-2,urn:lsid:ipni.org:names:65572-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.issue=5&rft.spage=549&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_striata,Fresen.,Fresen.,,spec.,/n/275065-2,Boraginaceae,Cordia,striata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,8(1): 23,629-2,citation,Fl. Bras. (Martius) 8(1): 23. 1857 [28 Feb 1857] ,FALSE,TRUE,1.10,275065-2,urn:lsid:ipni.org:names:275065-2,wfo-0000621001,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146277&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146277,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_tarodae,M.Stapf,M.Stapf,,spec.,/n/77134700-1,Boraginaceae,Cordia,tarodae,tax. nov.,"São Paulo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,,Brittonia,2013,1 Jun 2013,65(2): 197,561-2,citation,Brittonia 65(2): 197. 2013 [1 Jun 2013] ,FALSE,TRUE,1.1,77134700-1,urn:lsid:ipni.org:names:77134700-1,wfo-0001317530,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,s.n.,N.Taroda,holotype SJRP 26788;isotype NY,doi:10.1007/s12228-012-9268-7,21 Nov 2003,"São Paulo: Paulo de Faria, Estação Ecológica, próximo a guarita",,NA,NA,NA,NA,NA,NA
Cordia_tomentosa,Cham.,Cham.,,spec.,/n/65597-2,Boraginaceae,Cordia,tomentosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1829,post Oct 1829,4(4): 472 (-473),703-2,citation,Linnaea 4(4): 472 (-473). 1829 [post Oct 1829] ,FALSE,TRUE,1.2.2.2.1.1,65597-2,urn:lsid:ipni.org:names:65597-2,wfo-0000621044,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=4&rft.spage=472&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,s.n.,F. Sellow,holotype B?,NA,NA,NA,,nom. illeg. later homonym    non (Lam.) Roem. & Schult. (1819).,nom. illeg.,NA,NA,NA,NA
Cordia_trachyphylla,Mart.,Mart.,,spec.,/n/65601-2,Boraginaceae,Cordia,trachyphylla,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Herb. Fl. Bras.,1837,NA,246,14629-2,citation,Herb. Fl. Bras. 246. 1837 ,FALSE,TRUE,1.3,65601-2,urn:lsid:ipni.org:names:65601-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_truncata,Fresen.,Fresen.,,spec.,/n/275080-2,Boraginaceae,Cordia,truncata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,8(1): 25,629-2,citation,Fl. Bras. (Martius) 8(1): 25. 1857 [28 Feb 1857] ,FALSE,TRUE,1.9,275080-2,urn:lsid:ipni.org:names:275080-2,wfo-0000621063,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146278&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146278,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_ulei,I.M.Johnst.,I.M.Johnst.,,spec.,/n/275082-2,Boraginaceae,Cordia,ulei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Contr. Gray Herb.,1930,NA,92: 56,896-2,citation,Contr. Gray Herb. 92: 56. 1930 ,FALSE,TRUE,1.4,275082-2,urn:lsid:ipni.org:names:275082-2,wfo-0000621067,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1930&rft.spage=56&rft.volume=92&rft_id=http://www.biodiversitylibrary.org/bibliography/59986&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_verbenacea,DC.,DC.,,spec.,/n/275085-2,Boraginaceae,Cordia,verbenacea,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Prodr. [A. P. de Candolle],1845,1 Jan 1845,9: 491,1051-2,citation,Prodr. [A. P. de Candolle] 9: 491. 1845 [1 Jan 1845] ,FALSE,TRUE,1.6,275085-2,urn:lsid:ipni.org:names:275085-2,wfo-0000621093,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/162858&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,162858,NA,NA,NA,NA,NA,NA,"[Gandhi; Estrada, Fl. Colombia 14: 96. 1995]",NA,NA,,NA,NA,NA,NA,NA,NA
Cordia_villicaulis,Fresen.,Fresen.,,spec.,/n/275086-2,Boraginaceae,Cordia,villicaulis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1857,28 Feb 1857,8(1): 24,629-2,citation,Fl. Bras. (Martius) 8(1): 24. 1857 [28 Feb 1857] ,FALSE,TRUE,1.9,275086-2,urn:lsid:ipni.org:names:275086-2,wfo-0000621096,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/146277&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,146277,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
