name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,bhlLink,pageAsText,infraspecies,remarks,speciesAuthor,locality
Heliconia_lacletteana,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119391-2,Heliconiaceae,Heliconia,lacletteana,tax. nov.,32,Laclette,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1976,"2(16): 100 (-103), fig. 4",1276-2,citation,"Bradea 2(16): 100 (-103), fig. 4. 1976 ",FALSE,TRUE,holotype R,1.5,119391-2,urn:lsid:ipni.org:names:119391-2,wfo-0000437903,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_laneana,Barreiros,Barreiros,,spec.,/n/119392-2,Heliconiaceae,Heliconia,laneana,tax. nov.,4223,A.P.Duarte,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1974,"1(46): 460, fig. 1",1276-2,citation,"Bradea 1(46): 460, fig. 1. 1974 ",FALSE,TRUE,holotype RB,1.4,119392-2,urn:lsid:ipni.org:names:119392-2,wfo-0000437923,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_luciae,Barreiros,Barreiros,,spec.,/n/305518-2,Heliconiaceae,Heliconia,luciae,tax. nov.,121127,T.C.Plowman et al.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1993,8: 157 (-159; fig.),1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 8: 157 (-159; fig.). 1993 [dt. Jul 1992; publ. 1993] ",FALSE,TRUE,holotype MG,1.1.2.2.1.3,305518-2,urn:lsid:ipni.org:names:305518-2,wfo-0000438087,FALSE,TRUE,TRUE,FALSE,FALSE,dt. Jul 1992; publ. 1993,NA,NA,NA,specific name honors: Lucia Barreiros (wife of the author).,NA,"Mun. Maraa, Rio Japura"
Heliconia_× mantenensis,"B.R.Silva, Senna V. & Emygdio","B.R.Silva, Senna V. & Emygdio",,spec.,/n/330013-2,Heliconiaceae,Heliconia,mantenensis,tax. nov.,2520,L.Emygdio de Mello Filho et al.,"Mantena, Caminho para Santa Luzia, Minas Gerais (Brazil, Southern America)",TRUE,FALSE,TRUE,,"Bol. Mus. Nac. Rio de Janeiro, Bot.",2003,"n.s., 122: 3 (1-7; figs. 1-3)",4150-2,citation,"Bol. Mus. Nac. Rio de Janeiro, Bot. n.s., 122: 3 (1-7; figs. 1-3). 2003 [23 Jan 2003] ",FALSE,TRUE,holotype R,1.4,330013-2,urn:lsid:ipni.org:names:330013-2,wfo-0000438133,FALSE,TRUE,TRUE,FALSE,FALSE,23 Jan 2003,NA,NA,NA,parents: H. spathocircinata X H. episcopalis,NA,NA
Heliconia_mariae-augustae,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119414-2,Heliconiaceae,Heliconia,mariae-augustae,tax. nov.,4355,L.Emygdio de Mello Filho,Brazil (Southern America),FALSE,FALSE,FALSE,,Bol. Mus. Nac. Rio de Janeiro,1981,"n.s., Bot. no. 60: 2, figs",4149-2,citation,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 2, figs. 1981 ",FALSE,TRUE,holotype R,1.4,119414-2,urn:lsid:ipni.org:names:119414-2,wfo-0001350215,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_pabstii,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119435-2,Heliconiaceae,Heliconia,pabstii,tax. nov.,4261,L.Emygdio de Mello Filho,Brazil (Southern America),FALSE,FALSE,FALSE,,Bol. Mus. Nac. Rio de Janeiro,1981,"n.s., Bot. no. 60: 4 (-5), fig",4149-2,citation,"Bol. Mus. Nac. Rio de Janeiro n.s., Bot. no. 60: 4 (-5), fig. 1981 ",FALSE,TRUE,holotype R,1.4,119435-2,urn:lsid:ipni.org:names:119435-2,wfo-0001350222,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_rivularis,Emygdio & E.Santos,Emygdio & E.Santos,,spec.,/n/119469-2,Heliconiaceae,Heliconia,rivularis,tax. nov.,3981,L.Emygdio de Mello Filho,Brazil (Southern America),FALSE,FALSE,TRUE,,"Bol. Mus. Nac. Rio de Janeiro, Bot.",1977,"n. s. Bot. no. 43: 5 (-8), fig. 3",4150-2,citation,"Bol. Mus. Nac. Rio de Janeiro, Bot. n. s. Bot. no. 43: 5 (-8), fig. 3. 1977 ",FALSE,TRUE,holotype R,1.5,119469-2,urn:lsid:ipni.org:names:119469-2,wfo-0000438735,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_sampaioana,Emygdio,Emygdio,,spec.,/n/119476-2,Heliconiaceae,Heliconia,sampaioana,tax. nov.,8402,J.de Saldanha da Gama,Brazil (Southern America),FALSE,FALSE,TRUE,,Bradea,1976,"2(15): 91 (-94), fig",1276-2,citation,"Bradea 2(15): 91 (-94), fig. 1976 ",FALSE,TRUE,holotype R,1.4,119476-2,urn:lsid:ipni.org:names:119476-2,wfo-0000438816,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_santaremensis,Barreiros,Barreiros,,spec.,/n/119477-2,Heliconiaceae,Heliconia,santaremensis,tax. nov.,P25526," R.P.Bahia, A.J.Henderson, A.S.Silva, M.R.dos Santos, B.W.Nelson,G.T.Prance, M.J.Balick","BR 163, km 1226, Rodovia Cuiaba-Santarem, Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1980,"3(13): 103, fig",1276-2,citation,"Bradea 3(13): 103, fig. 1980 ",FALSE,TRUE,holotype RB,1.4,119477-2,urn:lsid:ipni.org:names:119477-2,wfo-0000438848,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_tarumaensis,Barreiros,Barreiros,,spec.,/n/119510-2,Heliconiaceae,Heliconia,tarumaensis,tax. nov.,393 & 23692,"Lanna, Castellanos",Brazil (Southern America),FALSE,FALSE,TRUE,,Rodriguésia,1976,no. 41: 132,1167-2,citation,Rodriguésia no. 41: 132. 1976 ,FALSE,TRUE,holotype Herb. FEEMA,1.4,119510-2,urn:lsid:ipni.org:names:119510-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
Heliconia_triflora,Barreiros,Barreiros,,spec.,/n/119516-2,Heliconiaceae,Heliconia,triflora,tax. nov.,7154,Duarte,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Rodriguésia,1971,"38: 128, figs. 1, 2",1167-2,citation,"Rodriguésia 38: 128, figs. 1, 2. 1971 ",FALSE,TRUE,holotype RB,1.4,119516-2,urn:lsid:ipni.org:names:119516-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
