name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,speciesAuthor,collectionNumber,collectorTeam,typeLocations,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,originalTaxonDistribution,basionymAuthorStr,nameStatus,typeNote,originalRemarks,otherLinks,nameStatusType,bibliographicReference,typeChosenBy,typeRemarks
Caraipa_insidiosa,Barb.Rodr.,Barb.Rodr.,,spec.,/n/45030-2,Clusiaceae,Caraipa,insidiosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Tamakoare,1887,NA,27,17001-2,citation,Tamakoare 27. 1887 ,FALSE,TRUE,1.2,45030-2,urn:lsid:ipni.org:names:45030-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_iracemensis,F.N.Cabral,F.N.Cabral,,spec.,/n/77164285-1,Clusiaceae,Caraipa,iracemensis,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2017,23 Jun 2017,311(1): 81,20011462-1,citation,Phytotaxa 311(1): 81. 2017 [23 Jun 2017] [epublished],FALSE,TRUE,1.2,77164285-1,urn:lsid:ipni.org:names:77164285-1,wfo-0001318640,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,557,F.N.Cabral et al.,holotype INPA INPA263954;isotype MO MO100828130;isotype UEC UEC189893,10 Oct 2012,"Presidente Figueiredo, Cachoeira de Iracema",[epublished],"doi:10.11646/phytotaxa.311.1.7 the epithet iracemensis refers to the locality Cachoeira de Iracema in the municipality of Presidente Figueiredo, Amazonas (Brazil), where the species occurs",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_lacerdaei,Barb.Rodr.,Barb.Rodr.,,spec.,/n/294881-2,Clusiaceae,Caraipa,lacerdaei,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Tamakoare,1887,NA,6,17001-2,citation,Tamakoare 6. 1887 ,FALSE,TRUE,1.2,294881-2,urn:lsid:ipni.org:names:294881-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_longisepala,Kubitzki,Kubitzki,,spec.,/n/274022-2,Clusiaceae,Caraipa,longisepala,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Amazonica,1987,NA,16/17: 160,1144-2,citation,Acta Amazonica 16/17: 160. 1987 ,FALSE,TRUE,1.3,274022-2,urn:lsid:ipni.org:names:274022-2,wfo-0000585970,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,29260,G.T.Prance et al.,holotype MG,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_minor,Huber,Huber,,spec.,/n/45036-2,Clusiaceae,Caraipa,minor,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,NA,3: 434,858-2,citation,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 434. 1902 ,FALSE,TRUE,1.3,45036-2,urn:lsid:ipni.org:names:45036-2,wfo-0000585972,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_multinervia,Kubitzki,Kubitzki,,spec.,/n/274023-2,Clusiaceae,Caraipa,multinervia,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Acta Amazonica,1987,NA,"16/17: 157, fig",1144-2,citation,"Acta Amazonica 16/17: 157, fig. 1987 ",FALSE,TRUE,1.3,274023-2,urn:lsid:ipni.org:names:274023-2,wfo-0000585973,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,79-202," C.E.Calderon, H.-H.Poppendieck,K.Kubitzki",holotype INPA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_myrcioides,Ducke,Ducke,,spec.,/n/45037-2,Clusiaceae,Caraipa,myrcioides,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,NA,3: 217,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 217. 1922 ,FALSE,TRUE,1.3,45037-2,urn:lsid:ipni.org:names:45037-2,wfo-0000585976,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_odorata,Ducke,Ducke,,spec.,/n/45038-2,Clusiaceae,Caraipa,odorata,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1932,NA,11: 588,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 11: 588. 1932 ,FALSE,TRUE,1.3,45038-2,urn:lsid:ipni.org:names:45038-2,wfo-0000585977,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=588&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_palustris,Barb.Rodr.,Barb.Rodr.,,spec.,/n/45039-2,Clusiaceae,Caraipa,palustris,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Tamakoare,1887,NA,5,17001-2,citation,Tamakoare 5. 1887 ,FALSE,TRUE,1.2,45039-2,urn:lsid:ipni.org:names:45039-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_paraensis,Huber,Huber,,spec.,/n/45040-2,Clusiaceae,Caraipa,paraensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,NA,3: 432,858-2,citation,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 432. 1902 ,FALSE,TRUE,1.3,45040-2,urn:lsid:ipni.org:names:45040-2,wfo-0000585980,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_psidiifolia,Ducke,Ducke,,spec.,/n/45045-2,Clusiaceae,Caraipa,psidiifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,NA,3: 214,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 214. 1922 ,FALSE,TRUE,1.3,45045-2,urn:lsid:ipni.org:names:45045-2,wfo-0000585987,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_punctulata,Ducke,Ducke,,spec.,/n/45047-2,Clusiaceae,Caraipa,punctulata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,NA,3: 216,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 216. 1922 ,FALSE,TRUE,1.3,45047-2,urn:lsid:ipni.org:names:45047-2,wfo-0000585989,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,17231,A.Ducke,lectotype MG,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_reticulata,Ducke,Ducke,,spec.,/n/45048-2,Clusiaceae,Caraipa,reticulata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,NA,3: 218,848-2,citation,Arch. Jard. Bot. Rio de Janeiro 3: 218. 1922 ,FALSE,TRUE,1.3,45048-2,urn:lsid:ipni.org:names:45048-2,wfo-0000585991,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_savannarum,Kubitzki,Kubitzki,,spec.,/n/45051-2,Clusiaceae,Caraipa,savannarum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Mem. New York Bot. Gard.,1978,NA,"29: 104 (-105), fig",719-2,citation,"Mem. New York Bot. Gard. 29: 104 (-105), fig. 1978 ",FALSE,TRUE,1.3,45051-2,urn:lsid:ipni.org:names:45051-2,wfo-0000585995,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1978&rft.spage=104&rft.volume=29&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,35414,A.Ducke,holotype M,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_silvatica,Barb.Rodr.,Barb.Rodr.,,spec.,/n/45052-2,Clusiaceae,Caraipa,silvatica,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Tamakoare,1887,NA,6,17001-2,citation,Tamakoare 6. 1887 ,FALSE,TRUE,1.2,45052-2,urn:lsid:ipni.org:names:45052-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caraipa_spuria,Barb.Rodr.,Barb.Rodr.,,spec.,/n/45054-2,Clusiaceae,Caraipa,spuria,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Tamakoare,1887,NA,6,17001-2,citation,Tamakoare 6. 1887 ,FALSE,TRUE,1.2,45054-2,urn:lsid:ipni.org:names:45054-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clusia_aemygioi,Gomes da Silva & B.Weinberg,Gomes da Silva & B.Weinberg,,spec.,/n/274783-2,Clusiaceae,Clusia,aemygioi,tax. nov.,"Espirito Santo (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bradea,1985,NA,"4: 162, fig",1276-2,citation,"Bradea 4: 162, fig. 1985 ",FALSE,TRUE,1.1.1.4,274783-2,urn:lsid:ipni.org:names:274783-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,A. G. Silva 1230,"A.Gomes da Silva, B.Weinberg",holotype RB,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clusia_nascimentojuniorii,A.C.Alencar & Bittrich,A.C.Alencar & Bittrich,,spec.,/n/77253354-1,Clusiaceae,Clusia,nascimentojuniorii,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2021,11 Aug 2021,46(2): 370,1295-2,citation,Syst. Bot. 46(2): 370. 2021 [11 Aug 2021] [epublished],FALSE,TRUE,1.2,77253354-1,urn:lsid:ipni.org:names:77253354-1,wfo-1000026135,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,s/n,"Ramos, J. et al.",holotype INPA 62161,15 Jul 1976,"Nova Prainha, Rio Aripuaná, projeto RADAM/BRASIL, SBZOZB, ponto 15",[epublished],"doi:10.1600/036364421X16231782047523 The specific epithet honours José Elvinodo Nascimento-Júnior, husband of Ana Cláudia Alencar, and an enthusiastic botanist, taxonomist, assistant professor at the Federal University of São João del-Rei, and specialist in the genus Clusia.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clusia_spathulifolia,Engl.,Engl.,,spec.,/n/300766-2,Clusiaceae,Clusia,spathulifolia,tax. nov.,"Alto Amazonas, along streams near Panure, along Rio¹Uaupes, Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Fl. Brasil (1954+),1888,NA,12(1): 412,1256-2,citation,Fl. Brasil (1954+) 12(1): 412. 1888 ,FALSE,TRUE,1.7,300766-2,urn:lsid:ipni.org:names:300766-2,wfo-0000612467,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,2782,R.Spruce,lectotype P,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clusiella_impressinervis,Hammel,Hammel,,spec.,/n/318798-2,Clusiaceae,Clusiella,impressinervis,tax. nov.,"Tonantins, Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Novon,1999,15 Sep 1999,"9(3): 354 (-355, 350, figs. 6-7)",14256-2,citation,"Novon 9(3): 354 (-355, 350, figs. 6-7). 1999 [15 Sep 1999] ",FALSE,TRUE,1.4,318798-2,urn:lsid:ipni.org:names:318798-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641086&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,641086,NA,1625,A.Ducke,holotype US;isotype A;isotype F,NA,NA,NA,[Gandhi 6 Oct 1999],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia_apostoloi,Mouzinho,Mouzinho,,spec.,/n/77319092-1,Clusiaceae,Garcinia,apostoloi,tax. nov.,"Acre (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Mato Grosso (Brazil West-Central, Brazil, Southern America);Pará (Brazil North, Brazil, Southern America);Rondônia (Brazil North, Brazil, Southern America);Tocantins (Brazil North, Brazil, Southern America);",FALSE,FALSE,FALSE,,Brittonia,2023,23 Jan 2023,75(1): 63,561-2,citation,Brittonia 75(1): 63. 2023 [23 Jan 2023] [epublished],FALSE,TRUE,1.1,77319092-1,urn:lsid:ipni.org:names:77319092-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,150,J. Grogan,holotype INPA 0057815;isotype IAN IAN171975,15 Jun 1997,"Pará: Mun. Pau d’Arco, Marajoara",[epublished],doi:10.1007/s12228-023-09739-x Etymology: name honours the Brazilian parabotanist Paulo Apóstolo Costa Lima Assunção (1956–2021).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia_fluviatilis,Mouzinho & L.Marinho,Mouzinho & L.Marinho,,spec.,/n/77298838-1,Clusiaceae,Garcinia,fluviatilis,tax. nov.,"Amazonas (Brazil North, Brazil, Southern America);Colombia (Western South America, Southern America);Pará (Brazil North, Brazil, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2022,26 May 2022,548(1): 94,20011462-1,citation,Phytotaxa 548(1): 94. 2022 [26 May 2022] [epublished],FALSE,TRUE,1.1,77298838-1,urn:lsid:ipni.org:names:77298838-1,wfo-1000030108,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,175,T.M.Mouzinho et al.,holotype INPA INPA0124286;isotype RB,25 Sep 2021,"Amazonas: Mun. Careiro Castanho, Comunidade Sagrada família",[epublished],"doi:10.11646/phytotaxa.548.1.8 Etymology: 'The epithet refers to the distribution of the species, which is associated with large Amazonian rivers'.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haploclathra_grandiflora,Aspl.,Aspl.,,spec.,/n/117360-2,Clusiaceae,Haploclathra,grandiflora,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,,Svensk Bot. Tidskr.,1932,NA,"26: 191, fig. 1; pl. 5, figs. 1, 2",2967-2,citation,"Svensk Bot. Tidskr. 26: 191, fig. 1; pl. 5, figs. 1, 2. 1932 ",FALSE,TRUE,1.4,117360-2,urn:lsid:ipni.org:names:117360-2,wfo-0001296113,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=191&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/79156&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haploclathra_verticillata,Ducke,Ducke,,spec.,/n/117362-2,Clusiaceae,Haploclathra,verticillata,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Trop. Woods,1937,NA,51: 17,1085-2,citation,Trop. Woods 51: 17. 1937 ,FALSE,TRUE,1.4,117362-2,urn:lsid:ipni.org:names:117362-2,wfo-0001251182,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum_austrobrasiliense,"Vog.Ely, Boldrini & Bordignon","Vog.Ely, Boldrini & Bordignon",,spec.,/n/77144591-1,Clusiaceae,Hypericum,austrobrasiliense,tax. nov.,"Rio Grande do Sul (Brazil South, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",FALSE,FALSE,TRUE,,Phytotaxa,2015,15 Jan 2015,192(4): 290,20011462-1,citation,Phytotaxa 192(4): 290. 2015 [15 Jan 2015] [epublished],FALSE,TRUE,1.2,77144591-1,urn:lsid:ipni.org:names:77144591-1,wfo-0001318533,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,3454,S.Bordignon &amp; G.L. von Poser,holotype ICN;isotype K;isotype MBM,12 Dec 2007,"Rio Grande do Sul:Bom Jesus, margem da BR-285, 1080 m",[epublished],doi:10.11646/phytotaxa.192.4.6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum_bordignonii,Vog.Ely & Boldrini,Vog.Ely & Boldrini,,spec.,/n/77153900-1,Clusiaceae,Hypericum,bordignonii,tax. nov.,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,,Syst. Bot.,2015,15 Dec 2015,40(4): 989,1295-2,citation,Syst. Bot. 40(4): 989. 2015 [15 Dec 2015] [epublished],FALSE,TRUE,1.1,77153900-1,urn:lsid:ipni.org:names:77153900-1,wfo-0001318534,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,360,C.Vogel Ely and S.Bordignon,holotype ICN;isotype US;isotype NY;isotype RB,2 Dec 2013,"Porto Alegre, Morro Santa Teresa, 101 m",[epublished],doi:10.1600/036364415X690021 the specific epithet honours Sérgio Augusto de Loreto Bordignon,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
