name,authors,publishingAuthor,authorTeam,originalRemarks,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,pageAsText,publicationYear,collectionNumber,collectorTeam,collectionDate1,typeLocations,typeCoordinates,speciesAuthor,collectionDate2,remarks,referenceRemarks,originalTaxonDistribution
Strychnos_kauichana,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247315-2,Loganiaceae,Strychnos,kauichana,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 37",3884-2,citation,"Vellosia ed. 2, 1: 37. 1891 ",FALSE,TRUE,1.2.2.1.1.1,247315-2,urn:lsid:ipni.org:names:247315-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_lethalis,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247317-2,Loganiaceae,Strychnos,lethalis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 38",3884-2,citation,"Vellosia ed. 2, 1: 38. 1891 ",FALSE,TRUE,1.2.2.1,247317-2,urn:lsid:ipni.org:names:247317-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_manaoensis,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247323-2,Loganiaceae,Strychnos,manaoensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 36, pl. 5",3884-2,citation,"Vellosia ed. 2, 1: 36, pl. 5. 1891 ",FALSE,TRUE,1.2.2.1,247323-2,urn:lsid:ipni.org:names:247323-2,wfo-0001259537,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_oblonga,Gilg,Gilg,,NA,spec.,/n/247331-2,Loganiaceae,Strychnos,oblonga,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 37",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 37. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247331-2,urn:lsid:ipni.org:names:247331-2,wfo-0001074007,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_oligoneura,Gilg,Gilg,,NA,spec.,/n/247333-2,Loganiaceae,Strychnos,oligoneura,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 41",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 41. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247333-2,urn:lsid:ipni.org:names:247333-2,wfo-0000502856,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_papilosa,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247337-2,Loganiaceae,Strychnos,papilosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 36, pl. 4, fig. B",3884-2,citation,"Vellosia ed. 2, 1: 36, pl. 4, fig. B. 1891 as papillosa",FALSE,TRUE,1.2.2.1.1.1,247337-2,urn:lsid:ipni.org:names:247337-2,wfo-0001259536,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,as papillosa,NA
Strychnos_petrophila,Gilg,Gilg,,NA,spec.,/n/247339-2,Loganiaceae,Strychnos,petrophila,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 39",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 39. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247339-2,urn:lsid:ipni.org:names:247339-2,wfo-0001074008,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_rivularia,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247346-2,Loganiaceae,Strychnos,rivularia,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 35, pl. fig. B, & 4, fig. C",3884-2,citation,"Vellosia ed. 2, 1: 35, pl. fig. B, & 4, fig. C. 1891 ",FALSE,TRUE,1.2.2.1,247346-2,urn:lsid:ipni.org:names:247346-2,wfo-0001259535,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_romeu-belenii,Krukoff & Barneby,Krukoff & Barneby,,NA,spec.,/n/247347-2,Loganiaceae,Strychnos,romeu-belenii,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. New York Bot. Gard.,NA,"20(1): 22, fig. F",719-2,citation,"Mem. New York Bot. Gard. 20(1): 22, fig. F. 1969 ",FALSE,TRUE,1.1.2.1.1.3,247347-2,urn:lsid:ipni.org:names:247347-2,wfo-0001244416,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1969&rft.issue=1&rft.spage=22&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,1969,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_tonantinensis,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247361-2,Loganiaceae,Strychnos,tonantinensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 38",3884-2,citation,"Vellosia ed. 2, 1: 38. 1891 ",FALSE,TRUE,1.2.2.1,247361-2,urn:lsid:ipni.org:names:247361-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_urbani,Barb.Rodr.,Barb.Rodr.,,NA,spec.,/n/247366-2,Loganiaceae,Strychnos,urbani,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Vellosia,NA,"ed. 2, 1: 38, pl. 4, fig. A",3884-2,citation,"Vellosia ed. 2, 1: 38, pl. 4, fig. A. 1891 ",FALSE,TRUE,1.2.2.2.1.1,247366-2,urn:lsid:ipni.org:names:247366-2,wfo-0001224520,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Strychnos_urbaniana,Gilg,Gilg,,NA,spec.,/n/247365-2,Loganiaceae,Strychnos,urbaniana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,19 Jul 1898,"25(3, Beibl. 60): 38",553-2,citation,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 38. 1898 [19 Jul 1898] ",FALSE,TRUE,1.1.2.1.1.3,247365-2,urn:lsid:ipni.org:names:247365-2,wfo-0001074013,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,1898,NA,NA,NA,NA,,NA,NA,NA,NA,NA
