name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,infraspecies,pageAsText,typeLocations,originalRemarks,locality,referenceRemarks,collectionDate1,remarks,typeCoordinates,speciesAuthor,bibliographicReference,typeChosenBy,typeName,bibliographicTypeInfo,originalTaxonDistribution,collectionDate2,typeRemarks,nameStatus,nameStatusType
Aniba_krukovii,A.C.Sm.,A.C.Sm.,,spec.,/n/13848-2,Lauraceae,Aniba,krukovii,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytologia,1935,NA,1: 117,1034-2,citation,Phytologia 1: 117. 1935 ,FALSE,TRUE,1.3,13848-2,urn:lsid:ipni.org:names:13848-2,wfo-0000536853,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=117&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_longifolia,Schwacke & Mez,Schwacke & Mez,,spec.,/n/13852-2,Lauraceae,Aniba,longifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arbeiten Königl. Bot. Gart. Breslau,1892,NA,1: 110,1146-2,citation,Arbeiten Königl. Bot. Gart. Breslau 1: 110. 1892 ,FALSE,TRUE,1.4,13852-2,urn:lsid:ipni.org:names:13852-2,wfo-0000536857,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_murcanum,C.K.Allen,C.K.Allen,,spec.,/n/13859-2,Lauraceae,Aniba,murcanum,tax. nov.,"Brazil (Amapa), British Guiana &amp; Venezuela",FALSE,FALSE,TRUE,,Mem. New York Bot. Gard.,1966,NA,"15: 57, fig. 2",719-2,citation,"Mem. New York Bot. Gard. 15: 57, fig. 2. 1966 ",FALSE,TRUE,1.2,13859-2,urn:lsid:ipni.org:names:13859-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1966&rft.spage=57&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_opaca,A.C.Sm.,A.C.Sm.,,spec.,/n/13861-2,Lauraceae,Aniba,opaca,tax. nov.,"Maranhao (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1934,NA,61: 191,586-2,citation,Bull. Torrey Bot. Club 61: 191. 1934 ,FALSE,TRUE,1.3,13861-2,urn:lsid:ipni.org:names:13861-2,wfo-0000536868,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1934&rft.spage=191&rft.volume=61&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_pulcherrima,Kubitzki & Heringer,Kubitzki & Heringer,,spec.,/n/13874-2,Lauraceae,Aniba,pulcherrima,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bradea,1976,NA,"2(17): 105, fig",1276-2,citation,"Bradea 2(17): 105, fig. 1976 ",FALSE,TRUE,1.4,13874-2,urn:lsid:ipni.org:names:13874-2,wfo-0000536883,FALSE,TRUE,TRUE,FALSE,FALSE,NA,10642,E.P.Heringer,NA,NA,holotype UB,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_ridleyana,Mez,Mez,,spec.,/n/13877-2,Lauraceae,Aniba,ridleyana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Jahrb. Königl. Bot. Gart. Berlin,1889,NA,5: 77,1155-2,citation,Jahrb. Königl. Bot. Gart. Berlin 5: 77. 1889 ,FALSE,TRUE,1.3,13877-2,urn:lsid:ipni.org:names:13877-2,wfo-0000536887,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=77&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/79062&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aniba_rosodora,Ducke,Ducke,,spec.,/n/13880-2,Lauraceae,Aniba,rosodora,tax. nov.,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,Rev. Bot. Appl. Agric. Colon.,1928,Dec 1928,8(88): 845,10390-2,citation,"Rev. Bot. Appl. Agric. Colon. 8(88): 845. 1928 [Dec 1928] ; addit. publ.:  Arch. Jard. Bot. Rio de Janeiro 5: 109, t. 4, fig. 5. pre-Jul ? 1930. (as rosaeodora)",FALSE,TRUE,1.2.2.2,13880-2,urn:lsid:ipni.org:names:13880-2,NA,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,lectotype RB 19923,NA,NA,"addit. publ.:  Arch. Jard. Bot. Rio de Janeiro 5: 109, t. 4, fig. 5. pre-Jul ? 1930. (as rosaeodora)",NA,The epithet rosaeodora is corrected to rosodora (vide Melbourne Code Art. 60.8 and Rec. 60G1),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya_hypoleuca,Mez,Mez,,spec.,/n/71683-2,Lauraceae,Cryptocarya,hypoleuca,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Ann. K. K. Naturhist. Hofmus.,1907,NA,22: 139,1241-2,citation,Ann. K. K. Naturhist. Hofmus. 22: 139. 1907 ,FALSE,TRUE,1.4,71683-2,urn:lsid:ipni.org:names:71683-2,wfo-0000627964,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=139&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/4999&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,166,T.Peckolt,NA,NA,lectotype U,NA,Cantagallo,NA,NA,NA,,NA,Taxon 54(3): 791. 2005 ,P.L.R.Moraes,NA,NA,NA,NA,NA,NA,NA
Cryptocarya_jacarepaguensis,Vattimo-Gil,Vattimo-Gil,,spec.,/n/71684-2,Lauraceae,Cryptocarya,jacarepaguensis,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Rodriguésia,1967,NA,25: 230,1167-2,citation,Rodriguésia 25: 230. 1967 ,FALSE,TRUE,1.3,71684-2,urn:lsid:ipni.org:names:71684-2,wfo-0000627978,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya_minutiflora,Mez,Mez,,spec.,/n/71692-2,Lauraceae,Cryptocarya,minutiflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,12 Mar 1901,"30(1, Beibl. 67): 11",553-2,citation,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 11. 1901 [12 Mar 1901] ",FALSE,TRUE,1.7,71692-2,urn:lsid:ipni.org:names:71692-2,wfo-0000628063,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211810&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,18437,A.F.M.Glaziou,NA,211810,lectotype K;isolectotype BR 837724;isolectotype G;isolectotype LE;isolectotype P 00221224;isolectotype P 00221226,NA,Alto Macahé de Nova Friburgo,NA,NA,NA,,NA,Taxon 54(3): 792. 2005 ,P.L.R.Moraes,NA,NA,NA,NA,NA,NA,NA
