name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,publicationYearNote,remarks,referenceRemarks,typeRemarks,typeCoordinates,bhlLink,infraspecies,speciesAuthor,originalTaxonDistribution,originalRemarks,bibliographicReference,bibliographicTypeInfo,typeChosenBy,typeName,pageAsText,originalHybridParentage,nameStatus,nameStatusType,typeNote,originalBasionymAuthorTeam,basionymStr,basionymAuthorStr,basionymId
×_Brassocattleya arauji,Pabst & A.F.Mello,Pabst & A.F.Mello,,spec.,/n/36211-2,Orchidaceae,Brassocattleya,arauji,tax. nov.,s. n.,de Araujo,NA,Brazil (Southern America),FALSE,TRUE,TRUE,NA,,Bradea,1977,"2(27): 186 (-187), fig. C",1276-2,citation,"Bradea 2(27): 186 (-187), fig. C. 1977 ",FALSE,TRUE,holotype HB,1.6,36211-2,urn:lsid:ipni.org:names:36211-2,wfo-0000407517,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Brassocattleya felisminiana,Campacci,Campacci,,spec.,/n/60442609-2,Orchidaceae,Brassocattleya,felisminiana,tax. nov.,104,Joao Felismino de Jesus Filho,Apr 2004,"Rio Grande do Norte (Brazil, Southern America)",FALSE,TRUE,TRUE,"Natal, alt. 0-30 m",,Bol. CAOB,2004,53: 18 (-20; photogrs.; plate; map).,6391-2,citation,Bol. CAOB 53: 18 (-20; photogrs.; plate; map). 2004 [20 May 2004] ,FALSE,TRUE,holotype SP,1.1.2.1,60442609-2,urn:lsid:ipni.org:names:60442609-2,wfo-0000805471,FALSE,TRUE,TRUE,FALSE,FALSE,20 May 2004,Hybrid parents: Brassavola tuberculata Hook. X Cattleya granulosa Lindl.,NA,"Type collection, originally collected in Jan 2004,  flowered in cultivation.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Brassocattleya fregoniana,L.C.Menezes,L.C.Menezes,,spec.,/n/319875-2,Orchidaceae,Brassocattleya,fregoniana,tax. nov.,s.n.," Jr.,J.Fregona",NA,"Shrubby coastal vegetation (coastal lowland called restinga), Espirito Santo (Brazil, Southern America)",TRUE,TRUE,FALSE,NA,,Orquideologia,2000,14(1): 17 (16; photogr. 2),2686-2,citation,Orquideologia 14(1): 17 (16; photogr. 2). 2000 ,FALSE,TRUE,holotype UB,1.3,319875-2,urn:lsid:ipni.org:names:319875-2,wfo-0001352122,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi 31 May 2000] parents: Brassavola tuberculata Hook. X Catleya guttata Lindl.,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Brassocattleya litoralis,Campacci,Campacci,,spec.,/n/60442618-2,Orchidaceae,Brassocattleya,litoralis,tax. nov.,s.n.,Sebastiao Onaka,Nov 2003,"Sao Paulo (Brazil, Southern America)",FALSE,TRUE,TRUE,"Atlantic rainforest, along the seacoast, Peruíbe., alt. 0-50 m",,Bol. CAOB,2004,55: 88 (-91; photogrs.; plate; map),6391-2,citation,Bol. CAOB 55: 88 (-91; photogrs.; plate; map). 2004 [10 Oct 2004] ,FALSE,TRUE,holotype SP,1.1.2.1,60442618-2,urn:lsid:ipni.org:names:60442618-2,wfo-0000805472,FALSE,TRUE,TRUE,FALSE,FALSE,10 Oct 2004,Hybrid parents: Brassavola tuberculata Hook. X Cattleya tigrina A. Rich. ex Beer,NA,"Type collection, originally collected in Oct 1976, flowered in cultivation.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassocattleya_× miranda,L.C.Menezes,L.C.Menezes,,spec.,/n/2936581-1,Orchidaceae,Brassocattleya,miranda,tax. nov.,NA,NA,NA,Brazil.,TRUE,FALSE,FALSE,NA,,Orchid Digest,1989,"53(4): 153, without type",2677-2,citation,"Orchid Digest 53(4): 153, without type. 1989 [18 Sep 1989] ",FALSE,TRUE,NA,1.5,2936581-1,urn:lsid:ipni.org:names:2936581-1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,18 Sep 1989,NA,NA,NA,,NA,NA,NA,Brazil.,NA,NA,NA,NA,NA,NA,(Brassavola tuberculata × Cattleya warneri).,NA,NA,NA,NA,NA,NA,NA
Brassocattleya_× miranda,L.C.Menezes,L.C.Menezes,,spec.,/n/936581-1,Orchidaceae,Brassocattleya,miranda,tax. nov.,NA,NA,NA,Brazil.,TRUE,FALSE,FALSE,NA,,Brasil Florestal,1988,"15(66): 17 (1988), without type; et",NA,citation,"Brasil Florestal 15(66): 17 (1988), without type; et. ",FALSE,TRUE,NA,1.2.1.1,936581-1,urn:lsid:ipni.org:names:936581-1,wfo-0001223103,FALSE,TRUE,TRUE,TRUE,FALSE,1988,NA,NA,NA,,NA,NA,NA,Brazil.,NA,NA,NA,NA,NA,NA,(Brassavola tuberculata × Cattleya warneri).,NA,NA,NA,NA,NA,NA,NA
×_Brassocattleya rubyae,Braga,Braga,,spec.,/n/618149-1,Orchidaceae,Brassocattleya,rubyae,tax. nov.,3373,P.I.S.Braga,29 Jul 1977,"Amazonas (Brazil North, Brazil, Southern America)",TRUE,TRUE,TRUE,"Estrada Manaus-Caracaí, km 45, reserva Biológica de Campina INPA/SUFRAMA",,Acta Amazonica,1978,8(3): 371,1144-2,citation,"Acta Amazonica 8(3): 371. 1978 , as 'rubyi'",FALSE,TRUE,holotype INPA 68867,1.5,618149-1,urn:lsid:ipni.org:names:618149-1,wfo-0000407638,TRUE,TRUE,TRUE,TRUE,FALSE,NA,The nothospecific epithet is dedicated to Ruby Eveline Soares Braga.,as 'rubyi',NA,,NA,NA,NA,NA,Brazil. (Brassavola martiana x Cattleya eldorado),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Brassocattleya tramandahyana,Roeth,Roeth,,spec.,/n/77079411-1,Orchidaceae,Brassocattleya,tramandahyana,tax. nov.,NA,Jürgen Roeth,14 Apr 1970,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",TRUE,TRUE,TRUE,bei Tramandaí,,Orchidee (Hamburg),2006,57(2): 77 (72-77; figs.),2681-2,citation,Orchidee (Hamburg) 57(2): 77 (72-77; figs.). 2006 ,FALSE,TRUE,holotype HAL 100202,1.1,77079411-1,urn:lsid:ipni.org:names:77079411-1,wfo-0000807919,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,ex cult. Horti Botanici Halensi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
×_Bratonia bahiensis,Marçal & Chiron,Marçal & Chiron,,spec.,/n/77136085-1,Orchidaceae,Bratonia,bahiensis,tax. nov.,2518,S.Marçal,Jul 2012,"Bahia (Brazil Northeast, Brazil, Southern America)",TRUE,TRUE,TRUE,"Camacan, 200 m",,Richardiana,2013,14: 11,18831-2,citation,Richardiana 14: 11. 2013 [1 Oct 2013] [epublished],FALSE,TRUE,holotype HUESB 8931,1.2,77136085-1,urn:lsid:ipni.org:names:77136085-1,wfo-0001338231,TRUE,TRUE,TRUE,FALSE,FALSE,1 Oct 2013,NA,[epublished],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nom. inval. nom. nud.,nom. inval.,NA,NA,NA,NA,NA
Bulbophyllum_bohnkeanum,Campacci,Campacci,,spec.,/n/77096152-1,Orchidaceae,Bulbophyllum,bohnkeanum,tax. nov.,EB-162,Marcos Aurélio Chaves,NA,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"São José da Vitória, 700m",,Colet. Orquídeas Brasil.,2008,6: 174 (-177; figs.),20004826-2,citation,Colet. Orquídeas Brasil. 6: 174 (-177; figs.). 2008 [10 Nov 2008] ,FALSE,TRUE,holotype SP,1.2,77096152-1,urn:lsid:ipni.org:names:77096152-1,wfo-0000911790,FALSE,TRUE,TRUE,FALSE,FALSE,10 Nov 2008,as bohnkianum,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
