name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,referenceRemarks,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,publicationYearNote,wfoId,speciesAuthor,collectionNumber,collectorTeam,collectionDate1,locality,remarks,typeLocations,typeCoordinates,originalTaxonDistribution,nameStatus,nameStatusType,typeNote,typeRemarks,originalRemarks,bibliographicReference,typeChosenBy,collectionDate2
Markea_uniflora,Lundell,Lundell,,spec.,/n/153429-2,Solanaceae,Markea,uniflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Phytologia,1939,1: 340,1034-2,citation,Phytologia 1: 340. 1939 ,NA,FALSE,TRUE,1.5,153429-2,urn:lsid:ipni.org:names:153429-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1939&rft.spage=340&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,"[Gandhi; Hunziker, Kurtziana 25: 87. 1997]",NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markea_verrucosa,Rusby,Rusby,,spec.,/n/280427-2,Solanaceae,Markea,verrucosa,tax. nov.,"Espirito Santo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Mem. Torrey Bot. Club,1896,6: 92,1007-2,citation,Mem. Torrey Bot. Club 6: 92. 1896 ,NA,FALSE,TRUE,1.5,280427-2,urn:lsid:ipni.org:names:280427-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.spage=92&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/45469&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,1294,M.Bang,NA,NA,NA,holotype NY,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthissonia_paniculata,Raddi,Raddi,,spec.,/n/154785-2,Solanaceae,Matthissonia,paniculata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis.",1820,"18: 390, fig. 7",3885-2,citation,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis. 18: 390, fig. 7. 1820 Repr. as: Quaranta Piante Nuove del Brasile.... [p. 11]",Repr. as: Quaranta Piante Nuove del Brasile.... [p. 11],FALSE,TRUE,1.4,154785-2,urn:lsid:ipni.org:names:154785-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,wfo-0001023575,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melananthus_luetzelburgii,Suess. & Beyerle,Suess. & Beyerle,,spec.,/n/156234-2,Solanaceae,Melananthus,luetzelburgii,tax. nov.,"Paraíba (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1938,44: 34,788-2,citation,Repert. Spec. Nov. Regni Veg. 44: 34. 1938 ,NA,FALSE,TRUE,1.5,156234-2,urn:lsid:ipni.org:names:156234-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1938&rft.spage=34&rft.volume=44&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicotiana_colossea,André,André,,spec.,/n/169764-2,Solanaceae,Nicotiana,colossea,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Rev. Hort. (Paris),1888,60: 511,1212-2,citation,Rev. Hort. (Paris) 60: 511. 1888 ,NA,FALSE,TRUE,1.4,169764-2,urn:lsid:ipni.org:names:169764-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=511&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/109772&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001023726,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicotiana_setchellii,Goodsp.,Goodsp.,,spec.,/n/169845-2,Solanaceae,Nicotiana,setchellii,tax. nov.,"Described from cultivated material, Amazonas (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Univ. Calif. Publ. Bot.,1941,"18: 195, tab. 14, 15",1087-2,citation,"Univ. Calif. Publ. Bot. 18: 195, tab. 14, 15. 1941 ",NA,FALSE,TRUE,1.4,169845-2,urn:lsid:ipni.org:names:169845-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1941&rft.spage=195&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/4268&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001023959,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parabouchetia_brasiliensis,Baill.,Baill.,,spec.,/n/182880-2,Solanaceae,Parabouchetia,brasiliensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Hist. Pl. (Baillon),1888,"9[3]: 357, adnot. 8",14339-2,citation,"Hist. Pl. (Baillon) 9[3]: 357, adnot. 8. 1888 [Feb-Mar 1888] ",NA,FALSE,TRUE,1.3.2.1,182880-2,urn:lsid:ipni.org:names:182880-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,Feb-Mar 1888,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pionandra_floribunda,Miers,Miers,,spec.,/n/306503-2,Solanaceae,Pionandra,floribunda,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,London J. Bot.,1845,4: 354,704-2,citation,London J. Bot. 4: 354. 1845 ,NA,FALSE,TRUE,1.5,306503-2,urn:lsid:ipni.org:names:306503-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1845&rft.spage=354&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,J.Miers,NA,NA,NA,lectotype BM;isotype A;isotype K;isotype NY;isotype P;isotype US,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pionandra_gardneri,Miers,Miers,,spec.,/n/304763-2,Solanaceae,Pionandra,gardneri,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,London J. Bot.,1845,4: 358,704-2,citation,London J. Bot. 4: 358. 1845 ,NA,FALSE,TRUE,1.5,304763-2,urn:lsid:ipni.org:names:304763-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1845&rft.spage=358&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,5041,G.Gardner,NA,NA,NA,lectotype BM;isotype K,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pionandra_premnifolia,Miers,Miers,,spec.,/n/312409-2,Solanaceae,Pionandra,premnifolia,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,London J. Bot.,1845,4: 360,704-2,citation,London J. Bot. 4: 360. 1845 ,NA,FALSE,TRUE,1.6,312409-2,urn:lsid:ipni.org:names:312409-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1845&rft.spage=360&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA," A.Cunningham,J.Bowie",NA,NA,NA,lectotype BM,,NA,NA,NA,NA,NA,NA,NA,NA,NA
