name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,pageAsText,remarks,bhlLink,referenceRemarks,typeCoordinates,infraspecies,originalTaxonDistribution,speciesAuthor,basionymStr,basionymAuthorStr,basionymId,typeRemarks,originalRemarks,typeName,collectionDate2
Ameroglossum_fulniorum,"E.M.Almeida, A.M.Wanderley & L.P.Felix","E.M.Almeida, A.M.Wanderley & L.P.Felix",,spec.,/n/77216328-1,Scrophulariaceae,Ameroglossum,fulniorum,tax. nov.,439,E.M.Almeida &amp; A.M.Wanderley,21 Aug 2012,"Pernambuco (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Águas Belas, Quilombo, 903 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 13,20016745-1,citation,Eur. J. Taxon. 746: 13. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype K,1.2,77216328-1,urn:lsid:ipni.org:names:77216328-1,wfo-1000025445,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.5852/ejt.2021.746.1313 The specific epithet is dedicated to the Fulni-ô Amerindians whose territories are located in the Serra do Comunaty where the type material was collected.,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_genaroanum,"E.M.Almeida, J.M.P.Cordeiro & L.P.Felix","E.M.Almeida, J.M.P.Cordeiro & L.P.Felix",,spec.,/n/77216329-1,Scrophulariaceae,Ameroglossum,genaroanum,tax. nov.,397,"E.M.Almeida, E.M.Almeida &amp; S.L.M.Almeida",28 Jul 2012,"Paraíba (Brazil Northeast, Brazil, Southern America);Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,"Paraíba: Tacima, Sítio Pão de Açúcar, 198 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 14,20016745-1,citation,Eur. J. Taxon. 746: 14. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype IPA;isotype K;isotype RB;isotype UFP,1.2,77216329-1,urn:lsid:ipni.org:names:77216329-1,wfo-1000025446,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"doi:10.5852/ejt.2021.746.1313 The specific name honours Prof. Genaro Viana Dornelas, a senior professor at the Universidade Federal da Paraíba, who has a vast knowledge of the flora of Paraíba State.",NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_intermedium,"E.M.Almeida, A.M.Wanderley & L.P.Felix","E.M.Almeida, A.M.Wanderley & L.P.Felix",,spec.,/n/77216330-1,Scrophulariaceae,Ameroglossum,intermedium,tax. nov.,478,E.M.Almeida &amp; A.M.Wanderley,23 Aug 2012,"Alagoas (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Quebrangulo, 502 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 16,20016745-1,citation,Eur. J. Taxon. 746: 16. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype IMA;isotype IPA;isotype K;isotype RB,1.2,77216330-1,urn:lsid:ipni.org:names:77216330-1,wfo-1000025447,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.5852/ejt.2021.746.1313,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_manoel-felixii,L.P.Felix & E.M.Almeida,L.P.Felix & E.M.Almeida,,spec.,/n/77157265-1,Scrophulariaceae,Ameroglossum,manoel-felixii,tax. nov.,785,E.M.Almeida &amp; H.C.M.Oliveira,30 Aug 2013,"Paraíba (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Município de Esperança, Distrito de Lagoa de Pedra, Fazenda Timbaúba, 699 m",,Syst. Bot.,2016,28 Jun 2016,41(2): 424,1295-2,citation,Syst. Bot. 41(2): 424. 2016 [28 Jun 2016] [epublished],FALSE,TRUE,holotype EAN;isotype IPA;isotype K;isotype UEFS;isotype UFP,1.2,77157265-1,urn:lsid:ipni.org:names:77157265-1,wfo-0001318234,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.1600/036364416X691740 the specific epithet honours Dr. Manoel Felix da Silva,NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_pernambucense,"Eb.Fisch., S.Vogel & A.V.Lopes","Eb.Fisch., S.Vogel & A.V.Lopes",,spec.,/n/319189-2,Scrophulariaceae,Ameroglossum,pernambucense,tax. nov.,1998-46,S.Vogel,NA,"Mun. de Brejo da Madre de Deus, near the Brejo do Bituri, 8°9'S, 36°22'15W, shrub vegetation at the foot of a steep granite slope, ca. 800 m, Pernambuco (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Feddes Repert.,1999,Dec 1999,"110(Heft 7-8): 529 (-534, figs. 1-3, tab. 1)",914-2,citation,"Feddes Repert. 110(Heft 7-8): 529 (-534, figs. 1-3, tab. 1). 1999 [Dec 1999] ",FALSE,TRUE,holotype UFP;isotype WU,1.1.1.4,319189-2,urn:lsid:ipni.org:names:319189-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi 4 Jan 2000],NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameroglossum_xukuruorum,"E.M.Almeida, Christenh. & L.P.Felix","E.M.Almeida, Christenh. & L.P.Felix",,spec.,/n/77216331-1,Scrophulariaceae,Ameroglossum,xukuruorum,tax. nov.,15647,L.P.Felix et al.,30 Jun 2015,"Pernambuco (Brazil Northeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);",FALSE,FALSE,TRUE,"Pernambuco: Pesqueira, Serra do Ororubá, Reserva Indígena Xukuru de Cimbres, 1122 m",,Eur. J. Taxon.,2021,15 Apr 2021,746: 20,20016745-1,citation,Eur. J. Taxon. 746: 20. 2021 [15 Apr 2021] [epublished],FALSE,TRUE,holotype EAN;isotype IPA;isotype K;isotype RB;isotype UFP,1.2,77216331-1,urn:lsid:ipni.org:names:77216331-1,wfo-1000025448,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"doi:10.5852/ejt.2021.746.1313 The specific epithet is dedicated to the Amerindian Xukuru people, because the type material was collected with their assistance on tribal lands in the Serra do Ororubá Range.",NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelonia_alternifolia,V.C.Souza,V.C.Souza,,spec.,/n/313501-2,Scrophulariaceae,Angelonia,alternifolia,tax. nov.,586,A.C.Sarmento,NA,"Proximo a cidade de Almas. 11°34'S, 47°27'W, Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bradea,1997,NA,"8: 37, fig",1276-2,citation,"Bradea 8: 37, fig. 1997 ",FALSE,TRUE,holotype RB;isotype HRB,1.3,313501-2,urn:lsid:ipni.org:names:313501-2,wfo-0000536472,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelonia_goyazensis,Benth.,Benth.,,spec.,/n/986069-1,Scrophulariaceae,Angelonia,goyazensis,tax. nov.,NA,NA,NA,Brazil West-central (Goiás),FALSE,FALSE,TRUE,NA,,Prodr. [A. P. de Candolle],1846,1846,"10: 253 (1846), in I.K. vol. 1 as 'goyayensis'",1051-2,citation,"Prodr. [A. P. de Candolle] 10: 253 (1846), in I.K. vol. 1 as 'goyayensis'. ",FALSE,TRUE,NA,1.6,986069-1,urn:lsid:ipni.org:names:986069-1,wfo-0000536492,FALSE,TRUE,TRUE,TRUE,FALSE,161934,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/161934&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,,NA,Brazil West-central (Goiás),NA,NA,NA,NA,NA,NA,NA,NA
Angelonia_linarioides,Taub.,Taub.,,spec.,/n/13684-2,Scrophulariaceae,Angelonia,linarioides,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1895,1895,21(4): 451,553-2,citation,Bot. Jahrb. Syst. 21(4): 451. 1895 [1895] ;  a preprint,FALSE,TRUE,NA,1.7,13684-2,urn:lsid:ipni.org:names:13684-2,wfo-0000536501,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=451&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,a preprint,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelonia_micrantha,Benth.,Benth.,,spec.,/n/13685-2,Scrophulariaceae,Angelonia,micrantha,tax. nov.,2274,G.Gardner,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Prodr. [A. P. de Candolle],1846,8 Apr 1846,10: 252,1051-2,citation,Prodr. [A. P. de Candolle] 10: 252. 1846 [8 Apr 1846] ,FALSE,TRUE,lectotype K,1.9,13685-2,urn:lsid:ipni.org:names:13685-2,wfo-0000536504,FALSE,TRUE,TRUE,FALSE,FALSE,161933,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/161933&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelonia_verticillata,Philcox,Philcox,,spec.,/n/13687-2,Scrophulariaceae,Angelonia,verticillata,tax. nov.,19929,R.M.Harley,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bradea,1980,NA,"3(8): 53, fig",1276-2,citation,"Bradea 3(8): 53, fig. 1980 ",FALSE,TRUE,holotype CEPEC,1.4,13687-2,urn:lsid:ipni.org:names:13687-2,wfo-0000536518,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacopa_arenaria,(J.A.Schmidt) Edwall,Edwall,,spec.,/n/28280-2,Scrophulariaceae,Bacopa,arenaria,comb. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bol. Commiss. Geogr. Estado Sao Paulo,1897,NA,"13(Fl. Paul., pt. 2): 176, in clavi.",1350-2,citation,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 176, in clavi. 1897 ",FALSE,TRUE,NA,1.4,28280-2,urn:lsid:ipni.org:names:28280-2,wfo-0000558210,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,NA,NA,,NA,NA,NA,Scrophulariaceae Herpestis arenaria J.A.Schmidt,(J.A.Schmidt),urn:lsid:ipni.org:names:120671-2,NA,NA,NA,NA
Bacopa_australis,V.C.Souza,V.C.Souza,,spec.,/n/321439-2,Scrophulariaceae,Bacopa,australis,tax. nov.,3358," H.Haas,J.C.Lindeman",NA,"Rio Iguacu (mun. Capanema), Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Acta Bot. Brasil.,2001,NA,15(1): 58 (57-61; fig. 1),1225-2,citation,Acta Bot. Brasil. 15(1): 58 (57-61; fig. 1). 2001 ,FALSE,TRUE,holotype MBM;isotype K,1.2,321439-2,urn:lsid:ipni.org:names:321439-2,wfo-0001318229,FALSE,TRUE,TRUE,FALSE,FALSE,NA,[Gandhi 8 Aug 2001],NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacopa_diffusa,(J.A.Schmidt) Edwall,Edwall,,spec.,/n/28304-2,Scrophulariaceae,Bacopa,diffusa,comb. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bol. Commiss. Geogr. Estado Sao Paulo,1897,NA,"13(Fl. Paul., pt. 2): 176, in clavi.",1350-2,citation,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 176, in clavi. 1897 ",FALSE,TRUE,NA,1.4,28304-2,urn:lsid:ipni.org:names:28304-2,wfo-0000558240,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,NA,NA,,NA,NA,NA,Scrophulariaceae Herpestis diffusa J.A.Schmidt,(J.A.Schmidt),urn:lsid:ipni.org:names:120687-2,NA,NA,NA,NA
Bacopa_divaricata,(J.A.Schmidt) Edwall,Edwall,,spec.,/n/28305-2,Scrophulariaceae,Bacopa,divaricata,comb. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bol. Commiss. Geogr. Estado Sao Paulo,1897,NA,"13(Fl. Paul., pt. 2): 176, in clavi.",1350-2,citation,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 176, in clavi. 1897 ",FALSE,TRUE,NA,1.5,28305-2,urn:lsid:ipni.org:names:28305-2,wfo-0000558241,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,NA,NA,,NA,NA,NA,Scrophulariaceae Herpestis divaricata J.A.Schmidt,(J.A.Schmidt),urn:lsid:ipni.org:names:1179356-2,NA,NA,NA,NA
Bacopa_gracilis,(Benth.) Edwall,Edwall,,spec.,/n/28312-2,Scrophulariaceae,Bacopa,gracilis,comb. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bol. Commiss. Geogr. Estado Sao Paulo,1897,NA,"13(Fl. Paul., pt. 2): 176, in clavi.",1350-2,citation,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 176, in clavi. 1897 ",FALSE,TRUE,NA,1.4,28312-2,urn:lsid:ipni.org:names:28312-2,wfo-0000558251,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,NA,NA,,NA,NA,NA,Scrophulariaceae Herpestis gracilis Benth.,(Benth.),urn:lsid:ipni.org:names:120697-2,NA,NA,NA,NA
Bacopa_gratioloides,(Cham.) Edwall,Edwall,,spec.,/n/28313-2,Scrophulariaceae,Bacopa,gratioloides,comb. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bol. Commiss. Geogr. Estado Sao Paulo,1897,NA,"13(Fl. Paul., pt. 2): 175, in clavi.",1350-2,citation,"Bol. Commiss. Geogr. Estado Sao Paulo 13(Fl. Paul., pt. 2): 175, in clavi. 1897 ",FALSE,TRUE,NA,1.4,28313-2,urn:lsid:ipni.org:names:28313-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Reference to the basionym lacking; Shenzhen Code Art. 41.4 applies,NA,NA,,NA,NA,NA,Scrophulariaceae Caconapea gratioloides Cham.,(Cham.),urn:lsid:ipni.org:names:800130-1,NA,NA,NA,NA
Bartsia_glabra,Edwin,Edwin,,spec.,/n/29720-2,Scrophulariaceae,Bartsia,glabra,tax. nov.,NA,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Phytologia,1970,NA,19(6): 365,1034-2,citation,Phytologia 19(6): 365. 1970 ,FALSE,TRUE,NA,1.3,29720-2,urn:lsid:ipni.org:names:29720-2,wfo-0000560875,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1970&rft.issue=6&rft.spage=365&rft.volume=19&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basistemon_argutus,Barringer,Barringer,,spec.,/n/273132-2,Scrophulariaceae,Basistemon,argutus,tax. nov.,13109,A.F.M.Glaziou,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Syst. Bot.,1985,NA,10: 132,1295-2,citation,Syst. Bot. 10: 132. 1985 ,FALSE,TRUE,holotype P,1.4,273132-2,urn:lsid:ipni.org:names:273132-2,wfo-0000561051,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basistemon_brasiliensis,Moldenke,Moldenke,,spec.,/n/29786-2,Scrophulariaceae,Basistemon,brasiliensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Revista Sudamer. Bot.,1937,NA,4: 15,1064-2,citation,Revista Sudamer. Bot. 4: 15. 1937 ,FALSE,TRUE,NA,1.4,29786-2,urn:lsid:ipni.org:names:29786-2,wfo-0000561053,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beyrichia_ocymoides,Cham. & Schltdl.,Cham. & Schltdl.,,spec.,/n/32259-2,Scrophulariaceae,Beyrichia,ocymoides,tax. nov.,s.n.,H.K.Beyrich,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Linnaea,1828,NA,3: 21,703-2,citation,Linnaea 3: 21. 1828 ,FALSE,TRUE,NA,1.1.5.1.1.2,32259-2,urn:lsid:ipni.org:names:32259-2,wfo-0000565056,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=21&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buchnera_carajasensis,Scatigna & N.Mota,Scatigna & N.Mota,,spec.,/n/77161219-1,Scrophulariaceae,Buchnera,carajasensis,tax. nov.,3364,Mota &amp; Scatigna,NA,"Pará (Brazil North, Brazil, Southern America)",FALSE,FALSE,TRUE,Parauapebas,,Kew Bull.,2017,5 May 2017,72(2)-25: 2,987-2,citation,Kew Bull. 72(2)-25: 2. 2017 [5 May 2017] [epublished],FALSE,TRUE,holotype MG;isotype INPA;isotype K;isotype NY;isotype RB;isotype UEC,1.5,77161219-1,urn:lsid:ipni.org:names:77161219-1,wfo-0001348283,TRUE,TRUE,TRUE,FALSE,FALSE,NA,"doi:10.1007/S12225-017-9698-1 The specific epithet refers to the name of the Serra dos Carajás, where the species is believed to be endemic.",NA,[epublished],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
