name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,infraspecies,inPowo,pageAsText,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,typeLocations,speciesAuthor,referenceRemarks,originalTaxonDistribution,collectionDate1,locality,remarks,typeCoordinates,originalRemarks,basionymStr,basionymAuthorStr,basionymId,nameStatus,nameStatusType,bibliographicReference,typeChosenBy
Peperomia_prolifera,Yunck.,Yunck.,,spec.,/n/189433-2,Piperaceae,Peperomia,prolifera,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Brittonia,1961,NA,"13: 62, fig. 5",561-2,citation,"Brittonia 13: 62, fig. 5. 1961 ",FALSE,TRUE,1.3,189433-2,urn:lsid:ipni.org:names:189433-2,wfo-0001093927,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_rosulatiformis,Yunck.,Yunck.,,spec.,/n/189585-2,Piperaceae,Peperomia,rosulatiformis,tax. nov.,"Southeastern Brazil, Brazil (Southern America)",FALSE,FALSE,NA,TRUE,NA,,Bol. Inst. Bot. (São Paulo),1966,NA,"no. 3: 150, fig. 134",5530-2,citation,"Bol. Inst. Bot. (São Paulo) no. 3: 150, fig. 134. 1966 ",FALSE,TRUE,1.3,189585-2,urn:lsid:ipni.org:names:189585-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia_schenckeana,Dahlst.,Dahlst.,,spec.,/n/189669-2,Piperaceae,Peperomia,schenckeana,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,FALSE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1900,NA,33(2): 91,20010256-1,citation,Kongl. Svenska Vetensk.-Akad. Handl. 33(2): 91. 1900 ,FALSE,TRUE,1.3,189669-2,urn:lsid:ipni.org:names:189669-2,wfo-0000490441,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.issue=2&rft.spage=91&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_aromaticum,C.DC.,C.DC.,,spec.,/n/197307-2,Piperaceae,Piper,aromaticum,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Bull. Herb. Boissier,1901,NA,"ser. 2, 1: 355",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 355. 1901 ",FALSE,TRUE,1.1.2.1.1.1,197307-2,urn:lsid:ipni.org:names:197307-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_brumadinense,Carv.-Silva & E.F.Guim.,Carv.-Silva & E.F.Guim.,,spec.,/n/77312891-1,Piperaceae,Piper,brumadinense,tax. nov.,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Acta Bot. Brasil.,2022,4 Nov 2022,36-e20210360: 7,1225-2,citation,Acta Bot. Brasil. 36-e20210360: 7. 2022 [4 Nov 2022] [epublished],FALSE,TRUE,1.1,77312891-1,urn:lsid:ipni.org:names:77312891-1,wfo-1000043582,TRUE,TRUE,TRUE,FALSE,FALSE,NA,106,H.E.S.Costa &amp; R.C.Mota,holotype BHCB 052556;isotype UB 0312466,NA,[epublished],NA,5 Dec 2009,"Brumadinho, Inhotim, 870 m",doi:10.1590/1677-941X-ABB-2021-0360,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_cariacicaense,Carv.-Silva & E.F.Guim.,Carv.-Silva & E.F.Guim.,,spec.,/n/77312892-1,Piperaceae,Piper,cariacicaense,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,NA,FALSE,NA,,Acta Bot. Brasil.,2022,4 Nov 2022,36-e20210360: 7,1225-2,citation,Acta Bot. Brasil. 36-e20210360: 7. 2022 [4 Nov 2022] [epublished],FALSE,TRUE,1.1,77312892-1,urn:lsid:ipni.org:names:77312892-1,wfo-1000043583,TRUE,TRUE,TRUE,FALSE,FALSE,NA,10626,L.Kollmann et al.,holotype RB 00522000;isotype MBML,NA,[epublished],NA,15 Feb 2008,"Cariacica, Reserva Biológica Duas Bocas, localidade de Alegre, trilha do Pau Oco, 608 m",doi:10.1590/1677-941X-ABB-2021-0360,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_corintoananum,Yunck.,Yunck.,,spec.,/n/197670-2,Piperaceae,Piper,corintoananum,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,NA,TRUE,NA,,Bol. Inst. Bot. (São Paulo),1966,NA,"no. 3: 33, fig. 27",5530-2,citation,"Bol. Inst. Bot. (São Paulo) no. 3: 33, fig. 27. 1966 ",FALSE,TRUE,1.4,197670-2,urn:lsid:ipni.org:names:197670-2,wfo-0000478600,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_franciscanum,Trel. in J.F.Macbr.,Trel. in J.F.Macbr.,,spec.,/n/197959-2,Piperaceae,Piper,franciscanum,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1936,NA,"13, no. 357: 166",1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13, no. 357: 166. 1936 ",FALSE,TRUE,1.5,197959-2,urn:lsid:ipni.org:names:197959-2,wfo-0001092786,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_glaziovii,C.DC.,C.DC.,,spec.,/n/198023-2,Piperaceae,Piper,glaziovii,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Annuaire Conserv. Jard. Bot. Genève,1898,NA,2: 265,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 2: 265. 1898 ,FALSE,TRUE,1.1.2.1.1.1,198023-2,urn:lsid:ipni.org:names:198023-2,wfo-0000478904,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.spage=265&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Piper_hispidonervum,C.DC.,C.DC.,,spec.,/n/198128-2,Piperaceae,Piper,hispidonervum,tax. nov.,Brazil (Southern America),FALSE,FALSE,NA,TRUE,NA,,Candollea,1923,NA,"1: 114, 252",885-2,citation,"Candollea 1: 114, 252. 1923 ",FALSE,TRUE,1.1.2.1,198128-2,urn:lsid:ipni.org:names:198128-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
