name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,otherLinks,remarks,bhlLink,infraspecies,pageAsText,publicationYearNote,speciesAuthor,referenceRemarks,collectionDate1,locality,typeCoordinates,typeNote,originalRemarks,nameStatus,nameStatusType,typeRemarks,originalTaxonDistribution
Ipomoea_cipo-colla,Glaz.,Glaz.,,spec.,/n/129248-2,Convolvulaceae,Ipomoea,cipo-colla,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1910,57(Mém. 3e): 484,578-2,citation,Bull. Soc. Bot. France 57(Mém. 3e): 484. 1910 ,FALSE,TRUE,NA,1.3,129248-2,urn:lsid:ipni.org:names:129248-2,wfo-0000155088,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_corumbaensis,Hoehne,Hoehne,,spec.,/n/129277-2,Convolvulaceae,Ipomoea,corumbaensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,"Anexos Mem. Inst. Butantan, Secc. Bot.",1922,"1, Fasc. 6: 74, pl. 17",3497-2,citation,"Anexos Mem. Inst. Butantan, Secc. Bot. 1, Fasc. 6: 74, pl. 17. 1922 ",FALSE,TRUE,NA,1.2,129277-2,urn:lsid:ipni.org:names:129277-2,wfo-0000155091,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_glutinosa,Dammer,Dammer,,spec.,/n/129366-2,Convolvulaceae,Ipomoea,glutinosa,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1897,"23(5, Beibl. 57): 39",553-2,citation,"Bot. Jahrb. Syst. 23(5, Beibl. 57): 39. 1897 [27 Aug 1897] ",FALSE,TRUE,NA,1.3,129366-2,urn:lsid:ipni.org:names:129366-2,wfo-0000155097,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,27 Aug 1897,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_hypoleuca,Taub.,Taub.,,spec.,/n/129400-2,Convolvulaceae,Ipomoea,hypoleuca,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1895,21(4): 449,553-2,citation,Bot. Jahrb. Syst. 21(4): 449. 1895 [1895] ;  a preprint,FALSE,TRUE,NA,1.5,129400-2,urn:lsid:ipni.org:names:129400-2,wfo-0000155099,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.issue=4&rft.spage=449&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,1895,NA,a preprint,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_lanifolia,D.Santos & Buril,D.Santos & Buril,,spec.,/n/77296019-1,Convolvulaceae,Ipomoea,lanifolia,tax. nov.,4626,E.B.Souza et al.,"Ceará (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Rodriguésia,2021,72(e00782020): 3,1167-2,citation,Rodriguésia 72(e00782020): 3. 2021 [epublished],FALSE,TRUE,holotype EAC;isotype HUEFS;isotype HUVA;isotype K;isotype RB,1.1,77296019-1,urn:lsid:ipni.org:names:77296019-1,wfo-1000027492,TRUE,TRUE,TRUE,FALSE,FALSE,NA,doi:10.1590/2175-7860202172076 Etymology: 'The name of this species refers to the remarkable dense woolly indumentum covering the entire plant'.,NA,NA,NA,NA,NA,[epublished],21 May 2017,"Tianguá, Queimadas, Serra da Ibiapaba",,NA,NA,NA,NA,NA,NA
Ipomoea_marabensis,D.F.Austin & Secco,D.F.Austin & Secco,,spec.,/n/278834-2,Convolvulaceae,Ipomoea,marabensis,tax. nov.,730,"Secco, Bahia",Brazil (Southern America),FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1988,"4: 188, fig",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 4: 188, fig. 1988 ",FALSE,TRUE,holotype MG,1.4,278834-2,urn:lsid:ipni.org:names:278834-2,wfo-0001251465,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ipomoea_papillosa,Bertol.,Bertol.,,spec.,/n/2927723-1,Convolvulaceae,Ipomoea,papillosa,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,FALSE,,et Giorn. Arcad.,1826,29: 343 (1826);,NA,citation,et Giorn. Arcad. 29: 343 (1826);. ,FALSE,TRUE,NA,1.3,2927723-1,urn:lsid:ipni.org:names:2927723-1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1826,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Brazil.
Ipomoea_papillosa,Bertol.,Bertol.,,spec.,/n/4927723-1,Convolvulaceae,Ipomoea,papillosa,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,FALSE,,cf. D.J. Mabberley in Taxon,1826,32(1): 82 (1983),NA,citation,cf. D.J. Mabberley in Taxon 32(1): 82 (1983). 1826 ,FALSE,TRUE,NA,1.4,4927723-1,urn:lsid:ipni.org:names:4927723-1,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1826,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Brazil.
Ipomoea_papillosa,Bertol.,Bertol.,,spec.,/n/927723-1,Convolvulaceae,Ipomoea,papillosa,tax. nov.,NA,NA,Brazil.,FALSE,FALSE,FALSE,,Hort. Bot. Bonon.,1826,1826: 5 (1826),NA,citation,Hort. Bot. Bonon. 1826: 5 (1826). ,FALSE,TRUE,NA,1.3,927723-1,urn:lsid:ipni.org:names:927723-1,wfo-0000157644,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1826,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Brazil.
Ipomoea_paraensis,Peter,Peter,,spec.,/n/129553-2,Convolvulaceae,Ipomoea,paraensis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Nat. Pflanzenfam. [Engler & Prantl],1891,"4, Abt. 3a: 30",14495-2,citation,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3a: 30. 1891 ",FALSE,TRUE,NA,1.5,129553-2,urn:lsid:ipni.org:names:129553-2,wfo-0000155108,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
