name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,bibliographicReference,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeChosenBy,typeLocations,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,speciesAuthor,originalTaxonDistribution,publicationYearNote,referenceRemarks,remarks,typeCoordinates,originalRemarks,nameStatus,nameStatusType,typeNote,bibliographicTypeInfo,typeName,typeRemarks,originalBasionymAuthorTeam,wfoId,basionymAuthorStr,collectionDate2
Cereus_penicillatus,Gürke,Gürke,,spec.,/n/53193-2,Cactaceae,Cereus,penicillatus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1908,18: 70,5497-2,citation,Monatsschr. Kakteenk. 18: 70. 1908 ,FALSE,TRUE,NA,NA,1.1.2.3.1.1,53193-2,urn:lsid:ipni.org:names:53193-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=70&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_perlucens,K.Schum.,K.Schum.,,spec.,/n/53201-2,Cactaceae,Cereus,perlucens,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1900,10: 173,5497-2,citation,Monatsschr. Kakteenk. 10: 173. 1900 ,FALSE,TRUE,NA,NA,1.1.2.3.1.1,53201-2,urn:lsid:ipni.org:names:53201-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=173&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_phaeacanthus,Gürke,Gürke,,spec.,/n/53209-2,Cactaceae,Cereus,phaeacanthus,Cacti Eastern Brazil 267. 2004 ,tax. nov.,7022,Ule,Sep 1906,Brazil (Southern America),FALSE,FALSE,TRUE,"Bahia, nr Maracás",NA,,Monatsschr. Kakteenk.,1908,18: 57,5497-2,citation,Monatsschr. Kakteenk. 18: 57. 1908 ,FALSE,TRUE,N.P.Taylor &amp; Zappi,lectotype HBG,1.1.2.4.1.2,53209-2,urn:lsid:ipni.org:names:53209-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=57&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_pierre-braunianus,Esteves,Esteves,,spec.,/n/329507-2,Cactaceae,Cereus,pierre-braunianus,NA,tax. nov.,E-13,E.Esteves Pereira,NA,"NE Goiás, vicinity of urbis Campos Belos, 650 m, Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),2003,75(6): 266 (263-270; figs. 1-10),1964-2,citation,Cact. Succ. J. (Los Angeles) 75(6): 266 (263-270; figs. 1-10). 2003 [15 Dec 2003] ,FALSE,TRUE,NA,holotype UFG,1.1.2.3.1.1.2.1,329507-2,urn:lsid:ipni.org:names:329507-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,15 Dec 2003,NA,as C. pierre-braunianus; specific name honors: Dr. Pierre Braun (friend & colleague of author).,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_rhodanthus,Gürke,Gürke,,spec.,/n/53253-2,Cactaceae,Cereus,rhodanthus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1908,18: 69,5497-2,citation,Monatsschr. Kakteenk. 18: 69. 1908 ,FALSE,TRUE,NA,NA,1.1.2.3.1.2,53253-2,urn:lsid:ipni.org:names:53253-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=69&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_ridleii,Andrade-Lima ex Backeb.,Andrade-Lima ex Backeb.,,spec.,/n/53255-2,Cactaceae,Cereus,ridleii,NA,tax. nov.,NA,NA,NA,"Fernando de Noronha, Brazil (Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cactaceae (Backeberg),1960,4: 2352,14505-2,citation,Cactaceae (Backeberg) 4: 2352. 1960 ,FALSE,TRUE,NA,NA,1.1.2.3.1.2,53255-2,urn:lsid:ipni.org:names:53255-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_tunicatus,Lehm. ex Pfeiff.,Lehm. ex Pfeiff.,,spec.,/n/328060-2,Cactaceae,Cereus,tunicatus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Enum. Diagn. Cact.,1837,170,11074-2,citation,Enum. Diagn. Cact. 170. 1837 [19-25 Feb 1837] ,FALSE,TRUE,NA,NA,1.1.2.3.1.3,328060-2,urn:lsid:ipni.org:names:328060-2,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1837&rft.spage=170&rft_id=http://www.biodiversitylibrary.org/bibliography/15207&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,19-25 Feb 1837,NA,invalid (pro syn. of Opuntia tunicata (Lehm.) Pfeiff. 1837),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus_wittii,K.Schum.,K.Schum.,,spec.,/n/53394-2,Cactaceae,Cereus,wittii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Monatsschr. Kakteenk.,1900,10: 153,5497-2,citation,Monatsschr. Kakteenk. 10: 153. 1900 ,FALSE,TRUE,NA,NA,1.1.2.3.1.3,53394-2,urn:lsid:ipni.org:names:53394-2,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=153&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/51655&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleistocactus_horstii,P.J.Braun,P.J.Braun,,spec.,/n/60209-2,Cactaceae,Cleistocactus,horstii,NA,tax. nov.,373/1974,K.I.Horst,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1982,"33: 208 (-209), fig",3349-2,citation,"Kakteen And. Sukk. 33: 208 (-209), fig. 1982 ",FALSE,TRUE,NA,holotype KOELN,1.3,60209-2,urn:lsid:ipni.org:names:60209-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleocephalocereus_estevesii,Diers,Diers,,spec.,/n/62965-2,Cactaceae,Coleocephalocereus,estevesii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1978,"29(9): 205, figs",3349-2,citation,"Kakteen And. Sukk. 29(9): 205, figs. 1978 ",FALSE,TRUE,NA,NA,1.2.2.1.1.1,62965-2,urn:lsid:ipni.org:names:62965-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleocephalocereus_flavisetus,F.Ritter,F.Ritter,,spec.,/n/62966-2,Cactaceae,Coleocephalocereus,flavisetus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen Südamerika,1979,1: 127,11126-2,citation,Kakteen Südamerika 1: 127. 1979 ,FALSE,TRUE,NA,NA,1.3,62966-2,urn:lsid:ipni.org:names:62966-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_albispinus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/82235-2,Cactaceae,Discocactus,albispinus,NA,tax. nov.,H390,NA,NA,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1974,"46: 253, f. 1-9",1964-2,citation,"Cact. Succ. J. (Los Angeles) 46: 253, f. 1-9. 1974 ",FALSE,TRUE,NA,holotype U,1.5,82235-2,urn:lsid:ipni.org:names:82235-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_araneispinus,J.Theun.,J.Theun.,,spec.,/n/275961-2,Cactaceae,Discocactus,araneispinus,NA,tax. nov.,H440,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56: 258 (-259),2959-2,citation,Succulenta (Netherlands) 56: 258 (-259). 1977 ,FALSE,TRUE,NA,holotype U,1.3,275961-2,urn:lsid:ipni.org:names:275961-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_araneispinus,Buining ex Brederoo,Buining ex Brederoo,,spec.,/n/82168-2,Cactaceae,Discocactus,araneispinus,NA,tax. nov.,H440,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56(11): 258 (-259),2959-2,citation,Succulenta (Netherlands) 56(11): 258 (-259). 1977 ,FALSE,TRUE,NA,holotype U,1.3,82168-2,urn:lsid:ipni.org:names:82168-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_araneispinus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896015-1,Cactaceae,Discocactus,araneispinus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,39 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 39 (?1976). ",FALSE,TRUE,NA,NA,1.5,896015-1,urn:lsid:ipni.org:names:896015-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_cangaensis,Diers & Esteves,Diers & Esteves,,spec.,/n/82236-2,Cactaceae,Discocactus,cangaensis,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1980,"52: 107, figs",1964-2,citation,"Cact. Succ. J. (Los Angeles) 52: 107, figs. 1980 ",FALSE,TRUE,NA,NA,1.3,82236-2,urn:lsid:ipni.org:names:82236-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_cephaliaciculosus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/30090299-2,Cactaceae,Discocactus,cephaliaciculosus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Kakteen And. Sukk.,1995,46(3): 63,3349-2,citation,Kakteen And. Sukk. 46(3): 63. 1995 ,FALSE,TRUE,NA,NA,1.2,30090299-2,urn:lsid:ipni.org:names:30090299-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Buining and Brederoo (in Kakteen And. Sukk. 26(5): 97-100. 1975) proposed the name “Discocactus cephaliaciculosus”, provided a Latin description, and cited “Holotypus im Herbar Utrecht, Niederlande, unter Nr. 430/431” (referring to 2 collections; typification not achieved); therefore, the preceding name was invalid when published. Braun & Esteves, referenced to Buining and Brederoo, cited a single collection as the type, and validated the name. Nevertheless, Buining and Brederoo are the authors of the species name (see Shenzhen Code Art. 46 Exs. 22-23)",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_cephaliaciculosus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/82173-2,Cactaceae,Discocactus,cephaliaciculosus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Kakteen And. Sukk.,1975,"26(5): 97 (-100), fig",3349-2,citation,"Kakteen And. Sukk. 26(5): 97 (-100), fig. 1975 ",FALSE,TRUE,NA,holotype U,1.3,82173-2,urn:lsid:ipni.org:names:82173-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_crassispinus,P.J.Braun & Esteves,P.J.Braun & Esteves,,spec.,/n/303260-2,Cactaceae,Discocactus,crassispinus,NA,tax. nov.,44,E.Esteves Pereira,NA,"Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1994,66: 228-232        fig,1964-2,citation,Cact. Succ. J. (Los Angeles) 66: 228-232        fig. 1994 ,FALSE,TRUE,NA,holotype UFG;isotype ZSS;isotype B,1.4,303260-2,urn:lsid:ipni.org:names:303260-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_estevesii,Diers,Diers,,spec.,/n/82176-2,Cactaceae,Discocactus,estevesii,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1978,"50: 83, figs",1964-2,citation,"Cact. Succ. J. (Los Angeles) 50: 83, figs. 1978 ",FALSE,TRUE,NA,NA,1.3,82176-2,urn:lsid:ipni.org:names:82176-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_flavispinus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/82178-2,Cactaceae,Discocactus,flavispinus,NA,tax. nov.,H326a,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56(11): 259,2959-2,citation,Succulenta (Netherlands) 56(11): 259. 1977 ,FALSE,TRUE,NA,holotype U,1.3,82178-2,urn:lsid:ipni.org:names:82178-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_flavispinus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896016-1,Cactaceae,Discocactus,flavispinus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,157 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 157 (?1976). ",FALSE,TRUE,NA,NA,1.5,896016-1,urn:lsid:ipni.org:names:896016-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_goianus,Diers & Esteves,Diers & Esteves,,spec.,/n/82239-2,Cactaceae,Discocactus,goianus,NA,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1980,"31(3): 79, figs",3349-2,citation,"Kakteen And. Sukk. 31(3): 79, figs. 1980 ",FALSE,TRUE,NA,NA,1.3,82239-2,urn:lsid:ipni.org:names:82239-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_griseus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/82179-2,Cactaceae,Discocactus,griseus,NA,tax. nov.,H 343,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Succulenta (Netherlands),1975,"54: 186 (-190), figs",2959-2,citation,"Succulenta (Netherlands) 54: 186 (-190), figs. 1975 ",FALSE,TRUE,NA,holotype U,1.5,82179-2,urn:lsid:ipni.org:names:82179-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_latispinus,Buining ex Brederoo,Buining ex Brederoo,,spec.,/n/82184-2,Cactaceae,Discocactus,latispinus,NA,tax. nov.,H146,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56(11): 259,2959-2,citation,Succulenta (Netherlands) 56(11): 259. 1977 ,FALSE,TRUE,NA,holotype U,1.3,82184-2,urn:lsid:ipni.org:names:82184-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_latispinus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896017-1,Cactaceae,Discocactus,latispinus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,95 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 95 (?1976). ",FALSE,TRUE,NA,NA,1.5,896017-1,urn:lsid:ipni.org:names:896017-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_lindaianus,Diers & Esteves,Diers & Esteves,,spec.,/n/82185-2,Cactaceae,Discocactus,lindaianus,NA,tax. nov.,E-9,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,NA,,Cact. Succ. J. (Los Angeles),1981,"53: 56 (-57), figs",1964-2,citation,"Cact. Succ. J. (Los Angeles) 53: 56 (-57), figs. 1981 ",FALSE,TRUE,NA,holotype KOELN,1.4,82185-2,urn:lsid:ipni.org:names:82185-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_melanochlorus,Buining ex Brederoo,Buining ex Brederoo,,spec.,/n/82189-2,Cactaceae,Discocactus,melanochlorus,NA,tax. nov.,H453,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56(11): 260,2959-2,citation,Succulenta (Netherlands) 56(11): 260. 1977 ,FALSE,TRUE,NA,holotype U,1.3,82189-2,urn:lsid:ipni.org:names:82189-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_melanochlorus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896018-1,Cactaceae,Discocactus,melanochlorus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,135 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 135 (?1976). ",FALSE,TRUE,NA,NA,1.5,896018-1,urn:lsid:ipni.org:names:896018-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_nigrisaetosus,Buining ex Brederoo,Buining ex Brederoo,,spec.,/n/82193-2,Cactaceae,Discocactus,nigrisaetosus,NA,tax. nov.,H448,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56(11): 260,2959-2,citation,Succulenta (Netherlands) 56(11): 260. 1977 ,FALSE,TRUE,NA,holotype U,1.4,82193-2,urn:lsid:ipni.org:names:82193-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_nigrisaetosus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896019-1,Cactaceae,Discocactus,nigrisaetosus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,129 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 129 (?1976). ",FALSE,TRUE,NA,NA,1.5,896019-1,urn:lsid:ipni.org:names:896019-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_paranaensis,Backeb.,Backeb.,,spec.,/n/82195-2,Cactaceae,Discocactus,paranaensis,NA,tax. nov.,NA,NA,NA,"Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,NA,,Cactaceae (Backeberg),1960,4: 2628,14505-2,citation,Cactaceae (Backeberg) 4: 2628. 1960 ,FALSE,TRUE,NA,NA,1.2,82195-2,urn:lsid:ipni.org:names:82195-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_piscibarbarus,N.P.Taylor & Olsthoorn,N.P.Taylor & Olsthoorn,,spec.,/n/77323170-1,Cactaceae,Discocactus,piscibarbarus,NA,tax. nov.,353,Gerardus Olsthoorn,Nov 2022,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,"Município Rio  Pardo de Minas, c.5km S of Nova Aurora village, in the  valley of the Rio Peixe Bravo",NA,,Bradleya,2023,41: 134,3683-2,citation,Bradleya 41: 134. 2023 [1 May 2023] ,FALSE,TRUE,NA,holotype UB,1.1.1.2,77323170-1,urn:lsid:ipni.org:names:77323170-1,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,1 May 2023,NA,doi:10.25223/brad.n41.2023.a7 Etymology: from the valley of the Rio Peixe Bravo.,,NA,NA,NA,NA,NA,NA,"Cult. Holambra, São Paulo state, from material collected 2012.",NA,NA,NA,NA
Discocactus_promentigibbus,Diers & Esteves,Diers & Esteves,,spec.,/n/275972-2,Cactaceae,Discocactus,promentigibbus,NA,tax. nov.,E-151,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Kakteen And. Sukk.,1988,39(1): 18 (-19; fig.),3349-2,citation,Kakteen And. Sukk. 39(1): 18 (-19; fig.). 1988 ,FALSE,TRUE,NA,holotype KOELN,1.3.2.2,275972-2,urn:lsid:ipni.org:names:275972-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_prominentigibbus,Diers & Esteves,Diers & Esteves,,spec.,/n/934283-1,Cactaceae,Discocactus,prominentigibbus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,Kakteen And. Sukk.,1988,39(1): 18 (1988),3349-2,citation,Kakteen And. Sukk. 39(1): 18 (1988). ,FALSE,TRUE,NA,NA,1.6,934283-1,urn:lsid:ipni.org:names:934283-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1988,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_pugionacanthus,Buining ex Brederoo,Buining ex Brederoo,,spec.,/n/82198-2,Cactaceae,Discocactus,pugionacanthus,NA,tax. nov.,H462,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,NA,,Succulenta (Netherlands),1977,56(11): 260 (-261),2959-2,citation,Succulenta (Netherlands) 56(11): 260 (-261). 1977 ,FALSE,TRUE,NA,holotype U,1.3,82198-2,urn:lsid:ipni.org:names:82198-2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_pugionacanthus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896020-1,Cactaceae,Discocactus,pugionacanthus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,61 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 61 (?1976). ",FALSE,TRUE,NA,NA,1.5,896020-1,urn:lsid:ipni.org:names:896020-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_pulvinicapitatus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/896021-1,Cactaceae,Discocactus,pulvinicapitatus,NA,tax. nov.,NA,NA,NA,Brazil.,FALSE,FALSE,TRUE,NA,NA,,"in A.F.H. Buining, Discocactus",1976,100 (?1976),NA,citation,"in A.F.H. Buining, Discocactus 100 (?1976). ",FALSE,TRUE,NA,NA,1.5,896021-1,urn:lsid:ipni.org:names:896021-1,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,Brazil.,1976,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discocactus_rapirhizus,Buining & Brederoo,Buining & Brederoo,,spec.,/n/305819-2,Cactaceae,Discocactus,rapirhizus,NA,tax. nov.,s.n.,L. D. J. Theunissen,NA,Brazil (Southern America),FALSE,FALSE,TRUE,"'Habitat: ad Posse (Rodoviana), Goias orientalis, Brasilia, in altitudine 800m in solo harenoso inter herbas altas, arbusculas distortas vel sub arbustis'",NA,,Ashingtonia,1975,"2(3): 44, photogr.",306-2,citation,"Ashingtonia 2(3): 44, photogr. 1975 [Nov 1975] ",FALSE,TRUE,NA,holotype Herbario Ultrajecti [sub nr. H200],1.2,305819-2,urn:lsid:ipni.org:names:305819-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,Nov 1975,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
