name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,referenceRemarks,remarks,typeLocations,typeCoordinates,pageAsText,typeRemarks,infraspecies,speciesAuthor,basionymAuthorStr,originalTaxonDistribution,originalHybridParentage,typeNote,bibliographicReference,typeChosenBy,nameStatus,nameStatusType,originalRemarks
Billbergia_× claudioi,Leme,Leme,,spec.,/n/933616-1,Bromeliaceae,Billbergia,claudioi,tax. nov.,Brazil.,TRUE,FALSE,TRUE,,Bradea,1987,1987,4(39): 314 (1987),1276-2,citation,Bradea 4(39): 314 (1987). ,FALSE,TRUE,1.1.2.2.1.1,933616-1,urn:lsid:ipni.org:names:933616-1,wfo-0000341304,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Brazil.,(B. distachia var. distachia × vittata).,NA,NA,NA,NA,NA,NA
Billbergia_richteriana,E.Pereira,E.Pereira,,spec.,/n/33185-2,Bromeliaceae,Billbergia,richteriana,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1973,NA,"1(29): 315, fig",1276-2,citation,"Bradea 1(29): 315, fig. 1973 ",FALSE,TRUE,1.3,33185-2,urn:lsid:ipni.org:names:33185-2,wfo-0000341475,FALSE,TRUE,TRUE,FALSE,FALSE,NA,s/n,Rudolph Richter (Germany),NA,NA,NA,NA,holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Billbergia_rubicunda,Mez,Mez,,spec.,/n/33188-2,Bromeliaceae,Billbergia,rubicunda,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1916,NA,14: 244,788-2,citation,Repert. Spec. Nov. Regni Veg. 14: 244. 1916 ,FALSE,TRUE,1.4,33188-2,urn:lsid:ipni.org:names:33188-2,wfo-0000341482,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/243871&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,243871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromelia_ferox,"Esteves, Hofacker & Scharf","Esteves, Hofacker & Scharf",,spec.,/n/77142289-1,Bromeliaceae,Bromelia,ferox,tax. nov.,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Bromelie,2014,NA,2014(2): 87,16760-2,citation,Bromelie 2014(2): 87. ,FALSE,TRUE,1.2,77142289-1,urn:lsid:ipni.org:names:77142289-1,wfo-0001340474,FALSE,TRUE,TRUE,FALSE,FALSE,NA,E-507,E.Esteves Pereira,Nov 2010,"Montezuma, North of Minas Gerais State, along the road to Mortugaba, Bahia, in open Cerrado vegetation, 1080 m",NA,NA,holotype UFG 47-926,,NA,ex. cult.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromelia_rhodocincta,Brongn. ex Baker,Brongn. ex Baker,,spec.,/n/36887-2,Bromeliaceae,Bromelia,rhodocincta,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,FALSE,,Handb. Bromel.,1889,Aug-Oct 1889,11,3845-2,citation,Handb. Bromel. 11. 1889 [Aug-Oct 1889] ,FALSE,TRUE,1.4,36887-2,urn:lsid:ipni.org:names:36887-2,wfo-0001234671,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=11&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canistrum_binoti,Mez,Mez,,spec.,/n/44384-2,Bromeliaceae,Canistrum,binoti,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1919,NA,16: 5,788-2,citation,Repert. Spec. Nov. Regni Veg. 16: 5. 1919 ,FALSE,TRUE,1.3,44384-2,urn:lsid:ipni.org:names:44384-2,wfo-0000343690,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/185629&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,185629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canistrum_camacaensis,Martinelli & Leme,Martinelli & Leme,,spec.,/n/274014-2,Bromeliaceae,Canistrum,camacaensis,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1986,NA,"4(33): 256 (-257), fig",1276-2,citation,"Bradea 4(33): 256 (-257), fig. 1986 ",FALSE,TRUE,1.4,274014-2,urn:lsid:ipni.org:names:274014-2,wfo-0000343691,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1445,T.S.dos Santos,NA,NA,NA,NA,holotype RB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canistrum_exiguum,E.Pereira & Leme,E.Pereira & Leme,,spec.,/n/274015-2,Bromeliaceae,Canistrum,exiguum,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bradea,1985,NA,"4: 165, fig",1276-2,citation,"Bradea 4: 165, fig. 1985 ",FALSE,TRUE,1.4,274015-2,urn:lsid:ipni.org:names:274015-2,wfo-0000343697,FALSE,TRUE,TRUE,FALSE,FALSE,NA,1765," Kuhn,M.Kuhlmann",NA,NA,NA,NA,holotype SP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cottendorfia_dendritica,L.B.Sm.,L.B.Sm.,,spec.,/n/275168-2,Bromeliaceae,Cottendorfia,dendritica,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Mem. New York Bot. Gard.,1969,NA,"18: 31, fig",719-2,citation,"Mem. New York Bot. Gard. 18: 31, fig. 1969 ",FALSE,TRUE,1.3,275168-2,urn:lsid:ipni.org:names:275168-2,wfo-0001218678,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1969&rft.spage=31&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_apiculatantherus,"D.M.C.Ferreira, E.M.Almeida & Louzada","D.M.C.Ferreira, E.M.Almeida & Louzada",,spec.,/n/77221469-1,Bromeliaceae,Cryptanthus,apiculatantherus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,15 Oct 2021,523(1): 100,20011462-1,citation,Phytotaxa 523(1): 100. 2021 [15 Oct 2021] [epublished],FALSE,TRUE,1.1,77221469-1,urn:lsid:ipni.org:names:77221469-1,wfo-1000026551,TRUE,TRUE,TRUE,FALSE,FALSE,NA,2757,E. M. Almeida,24 Jan 2019,"Itacaré, Serra dos Vinháticos, 124 m",[epublished],doi:10.11646/phytotaxa.523.1.6 The specific epithet refers to the apiculate apices of the anthers.,holotype UFP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_argyrophyllus,Leme,Leme,,spec.,/n/321197-2,Bromeliaceae,Cryptanthus,argyrophyllus,tax. nov.,"Santa Cruz da Vitória, Bahia (Brazil, Southern America)",FALSE,FALSE,FALSE,,Cryptanthus Soc. J.,2001,Jan-Mar 2001,16(1): 12 (-14; fig. 1),3096-2,citation,Cryptanthus Soc. J. 16(1): 12 (-14; fig. 1). 2001 [Jan-Mar 2001] ,FALSE,TRUE,1.2,321197-2,urn:lsid:ipni.org:names:321197-2,wfo-0001352139,FALSE,TRUE,TRUE,FALSE,FALSE,NA,4872,E.M.C.Leme,NA,NA,NA,"[Gandhi 7 Jun 2001] Type collection, originally collected by E. Colnago, flowered in cultivation",holotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_brevibracteatus,D.M.C.Ferreira & Louzada,D.M.C.Ferreira & Louzada,,spec.,/n/77221470-1,Bromeliaceae,Cryptanthus,brevibracteatus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,15 Oct 2021,523(1): 107,20011462-1,citation,Phytotaxa 523(1): 107. 2021 [15 Oct 2021] [epublished],FALSE,TRUE,1.1,77221470-1,urn:lsid:ipni.org:names:77221470-1,wfo-1000026552,TRUE,TRUE,TRUE,FALSE,FALSE,NA,744,L. Daneu,29 Oct 2020,"Boa Nova, Fazenda Cotermaia, 781 m",[epublished],doi:10.11646/phytotaxa.523.1.6 The specific epithet refers to the shorter floral bracts compared to the other species of the genus.,holotype UFP;isotype CEPEC;isotype RB,,NA,"Collected 18 October 2020, fl. in cult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_burle-marxii,Leme,Leme,,spec.,/n/983649-1,Bromeliaceae,Cryptanthus,burle-marxii,tax. nov.,Brazil Northeast (Pernambuco).,FALSE,FALSE,TRUE,,Cryptanthus Soc. J.,1990,1990,5(1): 12 (1990),NA,citation,Cryptanthus Soc. J. 5(1): 12 (1990). ,FALSE,TRUE,1.1.2.1.1.3,983649-1,urn:lsid:ipni.org:names:983649-1,wfo-0000364883,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Brazil Northeast (Pernambuco).,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_euglossinii,E.D.S.Almeida & Leme,E.D.S.Almeida & Leme,,spec.,/n/77319979-1,Bromeliaceae,Cryptanthus,euglossinii,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Rodriguésia,2022,NA,73(e02092020): 2,1167-2,citation,Rodriguésia 73(e02092020): 2. 2022 [epublished],FALSE,TRUE,1.3,77319979-1,urn:lsid:ipni.org:names:77319979-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,101,E.D.S.Almeida,12 Jun 2017,"Miguel Calmon, trail to the waterfall Véu de Noiva, 669 m",[epublished],doi:10.1590/2175-7860202273073 Etymology: 'The epithet euglossinii refers to the observed phenomenon of male euglossine bees (Euglossini) visiting the flowers'.,holotype HVASF;isotype RB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_flesheri,E.H.Souza & Leme,E.H.Souza & Leme,,spec.,/n/77221501-1,Bromeliaceae,Cryptanthus,flesheri,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,20 Oct 2021,523(2): 181,20011462-1,citation,"Phytotaxa 523(2): 181. 2021 [20 Oct 2021] [epublished] , as 'flesherii'",FALSE,TRUE,1.1,77221501-1,urn:lsid:ipni.org:names:77221501-1,wfo-1000026553,TRUE,TRUE,TRUE,FALSE,FALSE,NA,180,E.H. Souza,27 Feb 2021,"Igrapíuna, BA 001, Mata de Vila 5, Trilha Principal, Reserva Ecológica Michelin, 171 m","[epublished] , as 'flesherii'","doi:10.11646/phytotaxa.523.2.5 The specific epithet honours the ecologist Kevin Michael Flesher, Director of the Reserva Ecológica Michelin and responsible for the conservation and research management of the area where this new species was discovered.",holotype HURB;isotype RB,,NA,"Originally collected 29 December 2018, flowered in cult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_lutandensis,E.H.Souza & Leme,E.H.Souza & Leme,,spec.,/n/77221502-1,Bromeliaceae,Cryptanthus,lutandensis,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,20 Oct 2021,523(2): 184,20011462-1,citation,Phytotaxa 523(2): 184. 2021 [20 Oct 2021] [epublished],FALSE,TRUE,1.1,77221502-1,urn:lsid:ipni.org:names:77221502-1,wfo-1000026554,TRUE,TRUE,TRUE,FALSE,FALSE,NA,212,"E.H. Souza, M.M. Leodegário, J.G.S. Santos &amp; A. Ferreira",4 Oct 2019,"Pindobaçu, Lutanda, Serra da Fumaça, parte superior do Poço das Estrelas, próximo ao acampamento, 870 m",[epublished],doi:10.11646/phytotaxa.523.2.5,holotype HURB;isotype RB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_pirambuensis,D.M.C.Ferreira & Louzada,D.M.C.Ferreira & Louzada,,spec.,/n/77307616-1,Bromeliaceae,Cryptanthus,pirambuensis,tax. nov.,"Sergipe (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2022,1 Nov 2022,571(1): 66,20011462-1,citation,Phytotaxa 571(1): 66. 2022 [1 Nov 2022] [epublished],FALSE,TRUE,1.2,77307616-1,urn:lsid:ipni.org:names:77307616-1,wfo-1000041394,TRUE,TRUE,TRUE,FALSE,FALSE,NA,904,D.Cavalcanti &amp; E.Ferreira,18 Apr 2018,"Pirambu, Mata de Sambaíba, 41 m",[epublished],doi:10.11646/phytotaxa.571.1.5,holotype UFP,,NA,Cultivated from specimen collected on 9 Nov 2017.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_roberto-kautskyi,Leme,Leme,,spec.,/n/983820-1,Bromeliaceae,Cryptanthus,roberto-kautskyi,tax. nov.,Brazil Southeast (Espírito Santo).,FALSE,FALSE,TRUE,,Cryptanthus Soc. J.,1991,1991,6(3): 12 (1991),NA,citation,Cryptanthus Soc. J. 6(3): 12 (1991). ,FALSE,TRUE,1.1.2.1.1.3,983820-1,urn:lsid:ipni.org:names:983820-1,wfo-0000365076,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Brazil Southeast (Espírito Santo).,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_robsonianus,Leme,Leme,,spec.,/n/77145188-1,Bromeliaceae,Cryptanthus,robsonianus,tax. nov.,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,J. Bromeliad Soc.,2014,Oct 2014,64(3): 150,3393-2,citation,J. Bromeliad Soc. 64(3): 150. 2014 [Oct 2014] ,FALSE,TRUE,1.1,77145188-1,urn:lsid:ipni.org:names:77145188-1,wfo-0001341621,FALSE,TRUE,TRUE,FALSE,FALSE,NA,8895,"E.Leme, R.Lopes &amp; V.Leme",20 Jun 2014,"Jaguaré, Palmitinho, Mussununga Córrego do Mosquito, near Fazenda Alegre, 15 m",NA,NA,holotype RB;isotype HB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_ruthae,Philcox,Philcox,,spec.,/n/300656-2,Bromeliaceae,Cryptanthus,ruthae,tax. nov.,"Bahia (Brazil, Southern America)",FALSE,FALSE,TRUE,,Kew Bull.,1992,29 Jun 1992,"47(2): 268, fig. 5",987-2,citation,"Kew Bull. 47(2): 268, fig. 5. 1992 [29 Jun 1992] ",FALSE,TRUE,1.5,300656-2,urn:lsid:ipni.org:names:300656-2,wfo-0000365081,FALSE,TRUE,TRUE,FALSE,FALSE,NA,18507,Roger Harley et al.,NA,NA,NA,NA,holotype CEPEC;isotype K,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_santosii,Leme & E.H.Souza,Leme & E.H.Souza,,spec.,/n/77221503-1,Bromeliaceae,Cryptanthus,santosii,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,20 Oct 2021,523(2): 186,20011462-1,citation,Phytotaxa 523(2): 186. 2021 [20 Oct 2021] [epublished],FALSE,TRUE,1.1,77221503-1,urn:lsid:ipni.org:names:77221503-1,wfo-1000026555,TRUE,TRUE,TRUE,FALSE,FALSE,NA,9835,"E. Leme, J.E. Santos &amp; E.H. Souza",12 Oct 2019,"Belmonte, BA-275, near to Rio Preto, entrance to the right toward Rio do BU, Comunidade do Canta Galo, 75 m",[epublished],"doi:10.11646/phytotaxa.523.2.5 The name honours its collector, João Eduardo dos Santos, responsible for the preservation of an important fragment of Atlantic Forest in the county of Itapebi, Bahia state, and responsible for several botanical discoveries.",holotype RB;isotype HURB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_solidadeanus,Leme & E.H.Souza,Leme & E.H.Souza,,spec.,/n/77221505-1,Bromeliaceae,Cryptanthus,solidadeanus,tax. nov.,"Bahia (Brazil Northeast, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,20 Oct 2021,523(2): 188,20011462-1,citation,Phytotaxa 523(2): 188. 2021 [20 Oct 2021] [epublished],FALSE,TRUE,1.1,77221505-1,urn:lsid:ipni.org:names:77221505-1,wfo-1000026556,TRUE,TRUE,TRUE,FALSE,FALSE,NA,327,E.H. Souza &amp; M.S.O. Santos,18 Jun 2017,"Brejões, Distrito de Serrana, Fazenda Camaçari, Mata Camaçari, 875 m",[epublished],"doi:10.11646/phytotaxa.523.2.5 The name honours the local conservationist Maria da Solidade Oliveira da Silva, who called our attention to the high biodiversity in the forest fragments of the Distrito de Serrana, now under serious threat by the expansion of agricultural and cattle breeding activities.",holotype HURB;isotype RB;isotype SEL,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptanthus_suaveolens,É.Morren in Baker,É.Morren in Baker,,spec.,/n/71661-2,Bromeliaceae,Cryptanthus,suaveolens,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Handb. Bromel.,1889,Aug-Oct 1889,15,3845-2,citation,Handb. Bromel. 15. 1889 [Aug-Oct 1889] ,FALSE,TRUE,1.5,71661-2,urn:lsid:ipni.org:names:71661-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=15&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
