name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,collectionDate1,locality,typeCoordinates,typeLocations,referenceRemarks,remarks,infraspecies,pageAsText,speciesAuthor,typeRemarks,originalRemarks,nameStatus,nameStatusType,originalTaxonDistribution
Begonia_macduffieana,L.B.Sm. & B.G.Schub.,L.B.Sm. & B.G.Schub.,,spec.,/n/273174-2,Begoniaceae,Begonia,macduffieana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Begonian,1985,NA,52: 135,1815-2,citation,Begonian 52: 135. 1985 ,FALSE,TRUE,1.4,273174-2,urn:lsid:ipni.org:names:273174-2,wfo-0000833950,FALSE,TRUE,TRUE,FALSE,FALSE,NA,s.n.,McDuffie,NA,NA,,holotype US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_per-dusenii,Brade,Brade,,spec.,/n/30816-2,Begoniaceae,Begonia,per-dusenii,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,FALSE,,Arch. Jard. Bot. Rio de Janeiro,1953,NA,"12: 10, tab. 3, 5, fig. 22-31",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 12: 10, tab. 3, 5, fig. 22-31. 1953 ",FALSE,TRUE,1.2,30816-2,urn:lsid:ipni.org:names:30816-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_piraquara,E.L.Jacques,E.L.Jacques,,spec.,/n/77326248-1,Begoniaceae,Begonia,piraquara,tax. nov.,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,FALSE,,Phytotaxa,2023,1 Sep 2023,612(1): 100,20011462-1,citation,Phytotaxa 612(1): 100. 2023 [1 Sep 2023] [epublished],FALSE,TRUE,1.1,77326248-1,urn:lsid:ipni.org:names:77326248-1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,2084,"E.L.Jacques, R.Z. Zanatta, &amp; M.F.B. Nascimento",26 Sep 2022,"Realengo, Parque Estadual da Pedra Branca",,holotype RBR 00057486;isotype RB,[epublished],"doi:10.11646/phytotaxa.612.1.9 Etymology: name honours the place where the species occurs, Piraquara, one of three administrative centers of Parque Estadual da Pedra Branca.",NA,NA,NA,NA,NA,NA,NA,NA
Begonia_ragozini,Schwacke,Schwacke,,spec.,/n/30861-2,Begoniaceae,Begonia,ragozini,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Pl. Nov. Mineir.,1900,NA,"2: 4, tab. 3",11591-2,citation,"Pl. Nov. Mineir. 2: 4, tab. 3. 1900 ",FALSE,TRUE,1.2,30861-2,urn:lsid:ipni.org:names:30861-2,wfo-0000825282,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=4&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_rubrotincta,L.B.Sm. & B.G.Schub.,L.B.Sm. & B.G.Schub.,,spec.,/n/30875-2,Begoniaceae,Begonia,rubrotincta,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot.",1964,NA,17: 4,8297-2,citation,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot. 17: 4. 1964 ",FALSE,TRUE,1.3,30875-2,urn:lsid:ipni.org:names:30875-2,wfo-0000825388,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_santos-limae,Brade,Brade,,spec.,/n/30883-2,Begoniaceae,Begonia,santos-limae,tax. nov.,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Serv. Florest.,1944,NA,"2, no. 1: 23, tab. 5",8356-2,citation,"Arq. Serv. Florest. 2, no. 1: 23, tab. 5. 1944 ",FALSE,TRUE,1.3,30883-2,urn:lsid:ipni.org:names:30883-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_schenkii,Irmsch.,Irmsch.,,spec.,/n/30888-2,Begoniaceae,Begonia,schenkii,tax. nov.,"Santa Catarina (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1953,Jan 1953,76(1): 81,553-2,citation,Bot. Jahrb. Syst. 76(1): 81. 1953 [Jan 1953] ,FALSE,TRUE,1.3,30888-2,urn:lsid:ipni.org:names:30888-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1953&rft.issue=1&rft.spage=81&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_soli-mutata,L.B.Sm. & Wassh.,L.B.Sm. & Wassh.,,spec.,/n/273191-2,Begoniaceae,Begonia,soli-mutata,tax. nov.,cult. ex Brazil,FALSE,FALSE,TRUE,,Begonian,1990,NA,"57: 217, pl. 1",1815-2,citation,"Begonian 57: 217, pl. 1. 1990 ",FALSE,TRUE,1.4,273191-2,urn:lsid:ipni.org:names:273191-2,wfo-0000825560,FALSE,TRUE,TRUE,FALSE,FALSE,NA,20,O'Reilly,NA,NA,,holotype US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_soror,Irmsch.,Irmsch.,,spec.,/n/30912-2,Begoniaceae,Begonia,soror,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1953,Jan 1953,76(1): 71,553-2,citation,Bot. Jahrb. Syst. 76(1): 71. 1953 [Jan 1953] ,FALSE,TRUE,1.3,30912-2,urn:lsid:ipni.org:names:30912-2,wfo-0000825570,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1953&rft.issue=1&rft.spage=71&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia_wurdackii,L.B.Sm. & B.G.Schub.,L.B.Sm. & B.G.Schub.,,spec.,/n/31011-2,Begoniaceae,Begonia,wurdackii,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot.",1964,NA,17: 5,8297-2,citation,"Publ. Mus. Hist. Nat. Javier Prado, Ser. B, Bot. 17: 5. 1964 ",FALSE,TRUE,1.3,31011-2,urn:lsid:ipni.org:names:31011-2,wfo-0000825944,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
