name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,remarks,typeLocations,bhlLink,publicationYearNote,infraspecies,pageAsText,referenceRemarks,collectionDate1,locality,typeCoordinates,speciesAuthor,originalBasionymAuthorTeam,originalTaxonDistribution,nameStatus,nameStatusType,typeRemarks
Ficus_sclerostipula,Warb.,Warb.,,spec.,/n/104718-2,Moraceae,Ficus,sclerostipula,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104718-2,urn:lsid:ipni.org:names:104718-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_subaporuloides,Warb.,Warb.,,spec.,/n/104731-2,Moraceae,Ficus,subaporuloides,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104731-2,urn:lsid:ipni.org:names:104731-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_substipitata,Warb.,Warb.,,spec.,/n/104734-2,Moraceae,Ficus,substipitata,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104734-2,urn:lsid:ipni.org:names:104734-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_trapezicola,Dugand,Dugand,,spec.,/n/104747-2,Moraceae,Ficus,trapezicola,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,Caldasia,1956,7: 244,883-2,citation,Caldasia 7: 244. 1956 ,FALSE,TRUE,1.3,104747-2,urn:lsid:ipni.org:names:104747-2,wfo-0000690657,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Ficus_warburgii,Glaz.,Glaz.,,spec.,/n/104763-2,Moraceae,Ficus,warburgii,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 642,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 642. 1913 ,FALSE,TRUE,1.4,104763-2,urn:lsid:ipni.org:names:104763-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Maclura_trilobata,Rojas Acosta,Rojas Acosta,,spec.,/n/148747-2,Moraceae,Maclura,trilobata,tax. nov.,"Brazil, Argentina",FALSE,FALSE,TRUE,,Bull. Géogr. Bot.,1914,24: 211,20019080-1,citation,Bull. Géogr. Bot. 24: 211. 1914 ,FALSE,TRUE,1.4,148747-2,urn:lsid:ipni.org:names:148747-2,wfo-0001236000,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=211&rft.volume=24&rft_id=http://www.biodiversitylibrary.org/bibliography/3635&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Pharmacosycea_brittonii,Rusby,Rusby,,spec.,/n/192317-2,Moraceae,Pharmacosycea,brittonii,tax. nov.,Bolivia and Brazil,FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1901,28: 309,586-2,citation,Bull. Torrey Bot. Club 28: 309. 1901 ,FALSE,TRUE,1.6,192317-2,urn:lsid:ipni.org:names:192317-2,wfo-0000473925,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/728866&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,728866,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Pharmacosycea_crebrinervis,Warb.,Warb.,,spec.,/n/192318-2,Moraceae,Pharmacosycea,crebrinervis,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,FALSE,TRUE,1.5,192318-2,urn:lsid:ipni.org:names:192318-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Pharmacosycea_duplojuncta,Warb.,Warb.,,spec.,/n/192319-2,Moraceae,Pharmacosycea,duplojuncta,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,FALSE,TRUE,1.5,192319-2,urn:lsid:ipni.org:names:192319-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Piratinera_angustifolia,Ducke,Ducke,,spec.,/n/60449803-2,Moraceae,Piratinera,angustifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (-25)",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (-25). 1922 ",FALSE,TRUE,1.1.2.1,60449803-2,urn:lsid:ipni.org:names:60449803-2,wfo-0000510065,FALSE,TRUE,TRUE,FALSE,FALSE,16594,A. Ducke,An alternative name to Brosimum angustifolium Ducke (1922).,holotype RB,NA,NA,NA,NA,NA,11 Dec 1916,"prope Victoria ad Tucuruhy fluvii Xingú inferioris affluentem, 1.",,NA,NA,NA,NA,NA,NA
