name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,collectionDate1,distribution,hybrid,hybridGenus,inPowo,locality,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,referenceRemarks,remarks,suppressed,topCopy,typeCoordinates,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,infraspecies,originalTaxonDistribution,speciesAuthor,pageAsText,collectionDate2,bibliographicReference,typeChosenBy,originalBasionymAuthorTeam,nameStatus,nameStatusType,typeRemarks
Polygala_glaziowii,Chodat,Chodat,,spec.,/n/205542-2,Polygalaceae,Polygala,glaziowii,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 276, t. 25",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 276, t. 25. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.1,205542-2,urn:lsid:ipni.org:names:205542-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_goyazensis,Glaz.,Glaz.,,spec.,/n/205550-2,Polygalaceae,Polygala,goyazensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bull. Soc. Bot. France,1905,NA,52(Mém. 3[a]): 26,578-2,citation,Bull. Soc. Bot. France 52(Mém. 3[a]): 26. 1905 Nomen subnudum,Nomen subnudum,NA,FALSE,TRUE,,NA,1.4,205550-2,urn:lsid:ipni.org:names:205550-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_hatschbachii,Brade,Brade,,spec.,/n/205569-2,Polygalaceae,Polygala,hatschbachii,tax. nov.,NA,NA,NA,"Paraná (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Arch. Jard. Bot. Rio de Janeiro,1954,NA,"13: 22, tab. 2, fig. 36-42",848-2,citation,"Arch. Jard. Bot. Rio de Janeiro 13: 22, tab. 2, fig. 36-42. 1954 ",NA,NA,FALSE,TRUE,,NA,1.3,205569-2,urn:lsid:ipni.org:names:205569-2,wfo-0000487019,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_intricata,S.F.Blake,S.F.Blake,,spec.,/n/205589-2,Polygalaceae,Polygala,intricata,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Contr. Gray Herb.,1916,NA,"47: 26, pl. 1, fig. 13",896-2,citation,"Contr. Gray Herb. 47: 26, pl. 1, fig. 13. 1916 ",NA,NA,FALSE,TRUE,,NA,1.4,205589-2,urn:lsid:ipni.org:names:205589-2,wfo-0001265205,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1916&rft.spage=26&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/59986&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_leptolopha,Chodat,Chodat,,spec.,/n/205607-2,Polygalaceae,Polygala,leptolopha,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 147, t. 20",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 147, t. 20. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205607-2,urn:lsid:ipni.org:names:205607-2,wfo-0000488542,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_nitens,Chodat,Chodat,,spec.,/n/205672-2,Polygalaceae,Polygala,nitens,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 84, t. 16",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 84, t. 16. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205672-2,urn:lsid:ipni.org:names:205672-2,wfo-0000477382,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_opaca,Chodat,Chodat,,spec.,/n/205688-2,Polygalaceae,Polygala,opaca,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 82, t. 16",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 82, t. 16. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205688-2,urn:lsid:ipni.org:names:205688-2,wfo-0000477383,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_petricola,J.F.B.Pastore,J.F.B.Pastore,,spec.,/n/77248981-1,Polygalaceae,Polygala,petricola,tax. nov.,1632,"Paiva, J.A.M., Souza, J.A.M. &amp; Silva, S.H.A.",29 Jan 2018,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",FALSE,FALSE,TRUE,"Brumadinho, Fazenda Cachoeira, 1158 m",,Edinburgh J. Bot.,2021,14 Apr 2021,78-356: 2,12129-2,citation,Edinburgh J. Bot. 78-356: 2. 2021 [14 Apr 2021] [epublished],[epublished],doi:10.24823/EJB.2021.356 The epithet refers to its preference for rocky habitats.,FALSE,TRUE,,holotype CTBS;isotype BHCB,1.2,77248981-1,urn:lsid:ipni.org:names:77248981-1,wfo-1000028502,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_piauhiensis,Chodat,Chodat,,spec.,/n/205752-2,Polygalaceae,Polygala,piauhiensis,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 60, t. 15",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 60, t. 15. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205752-2,urn:lsid:ipni.org:names:205752-2,wfo-0000488962,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_pseudocoelosioides,Chodat,Chodat,,spec.,/n/205774-2,Polygalaceae,Polygala,pseudocoelosioides,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 237, t. 24",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 237, t. 24. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.1,205774-2,urn:lsid:ipni.org:names:205774-2,wfo-0000490528,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_pseudostricta,Chodat,Chodat,,spec.,/n/205781-2,Polygalaceae,Polygala,pseudostricta,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2: 500, t. 24",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2: 500, t. 24. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.1,205781-2,urn:lsid:ipni.org:names:205781-2,wfo-0000490527,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_rubiifolia,Chodat ex Grondona,Chodat ex Grondona,,spec.,/n/205819-2,Polygalaceae,Polygala,rubiifolia,tax. nov.,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Darwiniana,1949,NA,"9: 37, fig. 7",900-2,citation,"Darwiniana 9: 37, fig. 7. 1949 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205819-2,urn:lsid:ipni.org:names:205819-2,wfo-0000490537,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_salicina,Chodat,Chodat,,spec.,/n/205826-2,Polygalaceae,Polygala,salicina,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Mém. Soc. Phys. Genève,1893,NA,"31, pt. 2, no. 2: 83, t. 16",723-2,citation,"Mém. Soc. Phys. Genève 31, pt. 2, no. 2: 83, t. 16. 1893 ",NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.2,205826-2,urn:lsid:ipni.org:names:205826-2,wfo-0000488880,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polygala_sinuata,Chodat,Chodat,,spec.,/n/205858-2,Polygalaceae,Polygala,sinuata,tax. nov.,NA,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bull. Herb. Boissier,1896,NA,4: 234,573-2,citation,Bull. Herb. Boissier 4: 234. 1896 ,NA,NA,FALSE,TRUE,,NA,1.1.2.1.1.1,205858-2,urn:lsid:ipni.org:names:205858-2,wfo-0000488141,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1896&rft.spage=234&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
