name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,pageAsText,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,publicationYearNote,collectionDate1,locality,referenceRemarks,remarks,typeCoordinates,infraspecies,speciesAuthor,nameStatus,nameStatusType,otherLinks,bibliographicReference,typeChosenBy,basionymAuthorStr,typeRemarks,originalRemarks,originalTaxonDistribution
Heteropterys_microdon,Skottsb.,Skottsb.,,spec.,/n/121269-2,Malpighiaceae,Heteropterys,microdon,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 19, pl. 4",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 19, pl. 4. 1901 ",FALSE,TRUE,NA,1.4,121269-2,urn:lsid:ipni.org:names:121269-2,wfo-0000721481,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=19&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_nudicaulis,S.Moore,S.Moore,,spec.,/n/121282-2,Malpighiaceae,Heteropterys,nudicaulis,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 325",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 325. 1895 ",FALSE,TRUE,NA,1.3,121282-2,urn:lsid:ipni.org:names:121282-2,wfo-0000721492,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_ocellata,L.B.Sm.,L.B.Sm.,,spec.,/n/121286-2,Malpighiaceae,Heteropterys,ocellata,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,J. Wash. Acad. Sci.,1955,"45: 197, fig. 5-9",686-2,citation,"J. Wash. Acad. Sci. 45: 197, fig. 5-9. 1955 ",FALSE,TRUE,NA,1.3,121286-2,urn:lsid:ipni.org:names:121286-2,wfo-0000721497,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=197&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_praecox,Nied.,Nied.,,spec.,/n/121310-2,Malpighiaceae,Heteropterys,praecox,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 24,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 24. 1903 De genere Heteropteryge,FALSE,TRUE,NA,1.2,121310-2,urn:lsid:ipni.org:names:121310-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,De genere Heteropteryge,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_rosea,Kralik,Kralik,,spec.,/n/121329-2,Malpighiaceae,Heteropterys,rosea,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 281,610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 281. 1908 ",FALSE,TRUE,NA,1.3,121329-2,urn:lsid:ipni.org:names:121329-2,wfo-0001243025,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=281&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_schenckiana,Nied.,Nied.,,spec.,/n/121337-2,Malpighiaceae,Heteropterys,schenckiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 33,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 33. 1903 De genere Heteropteryge,FALSE,TRUE,NA,1.2,121337-2,urn:lsid:ipni.org:names:121337-2,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,De genere Heteropteryge,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heteropterys_transiens,Nied.,Nied.,,spec.,/n/121358-2,Malpighiaceae,Heteropterys,transiens,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 39,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 39. 1903 De genere Heteropteryge,FALSE,TRUE,NA,1.2,121358-2,urn:lsid:ipni.org:names:121358-2,wfo-0001076422,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,De genere Heteropteryge,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hiraea_cordifolia,A.Juss.,A.Juss.,,spec.,/n/301394-2,Malpighiaceae,Hiraea,cordifolia,tax. nov.,NA,A.F.C.P.de Saint-Hilaire,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1833,"3(21): 19, pl. 164",8262-2,citation,"Fl. Bras. Merid. (A. St.-Hil.). 3(21): 19, pl. 164. 1833 [4 Feb 1833] ",FALSE,TRUE,lectotype P;isotype P,1.2.2.1.1.1,301394-2,urn:lsid:ipni.org:names:301394-2,wfo-0001076209,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=21&rft.spage=19&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,4 Feb 1833,NA,near Curumatahy,NA,NA,,NA,NA,NA,NA,NA,Contr. Univ. Michigan Herb. 19: 380. 1993 ,W.R.Anderson,NA,NA,NA,NA
Hiraea_glabrata,W.R.Anderson & C.Davis,W.R.Anderson & C.Davis,,spec.,/n/60438527-2,Malpighiaceae,Hiraea,glabrata,tax. nov.,390,"M. G. Vieira, J. L. Zarucchi, Silva, C. D. A. Mota &amp; J. F. Ramos","Rondonia (Terr.) (Brazil, Southern America)",FALSE,FALSE,TRUE,12697880,,Contr. Univ. Michigan Herb.,2005,24: 43 (-44),1151-2,citation,Contr. Univ. Michigan Herb. 24: 43 (-44). 2005 [7 Feb 2005] ,FALSE,TRUE,holotype INPA;isotype MICH;isotype NY,1.1.1.1,60438527-2,urn:lsid:ipni.org:names:60438527-2,wfo-0000723893,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12697880&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,7 Feb 2005,11 Oct 1979,"Mineraçao Taboca, capoeira, solo pedregoso",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hiraea_parvifolia,Nied.,Nied.,,spec.,/n/30145876-2,Malpighiaceae,Hiraea,parvifolia,tax. nov.,11810,A. F. M. Glaziou,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 2",553-2,citation,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 2. 1891 [5 May 1891] ",FALSE,TRUE,holotype B?;isotype P?,1.1.2.1.1.2,30145876-2,urn:lsid:ipni.org:names:30145876-2,wfo-0000723938,FALSE,TRUE,TRUE,FALSE,FALSE,NA,5 May 1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malpighia_macrophylla,Pers.,Pers.,,spec.,/n/308406-2,Malpighiaceae,Malpighia,macrophylla,tax. nov.,NA,KGANDHI²ESHAW²ESHAW,Brazil (Southern America),FALSE,FALSE,TRUE,235291,,Syn. Pl. [Persoon],1805,1: 506,1079-2,citation,Syn. Pl. [Persoon] 1: 506. 1805 ,FALSE,TRUE,holotype P-JU,1.5,308406-2,urn:lsid:ipni.org:names:308406-2,wfo-0001249662,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/235291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mascagnia_parvifolia,Nied.,Nied.,,spec.,/n/153845-2,Malpighiaceae,Mascagnia,parvifolia,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 2",553-2,citation,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 2. 1891 [5 May 1891] ",FALSE,TRUE,NA,1.3,153845-2,urn:lsid:ipni.org:names:153845-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,5 May 1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezia_araujei,Schwacke,Schwacke,,spec.,/n/158637-2,Malpighiaceae,Mezia,araujei,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 3, pl. 1, A",553-2,citation,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 3, pl. 1, A. 1891 [5 May 1891] ",FALSE,TRUE,NA,1.3,158637-2,urn:lsid:ipni.org:names:158637-2,wfo-0000453426,FALSE,TRUE,TRUE,FALSE,FALSE,NA,5 May 1891,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterandra_psidiifolia,A.Juss.,A.Juss.,,spec.,/n/213748-2,Malpighiaceae,Pterandra,psidiifolia,tax. nov.,C(1) 395,A.F.C.P.de Saint-Hilaire,"monte Serra da Canastra, Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1833,3: 73,8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 3: 73. 1833 [1832 publ. 1833] ,FALSE,TRUE,holotype P,1.7,213748-2,urn:lsid:ipni.org:names:213748-2,wfo-0000477060,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=73&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1832 publ. 1833,NA,NA,NA,[Gandhi 9 Apr 1998; Contr. Univ. Mich. Herb. 21: 8. 1997],,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_alulatum,Nied.,Nied.,,spec.,/n/245701-2,Malpighiaceae,Stigmaphyllon,alulatum,tax. nov.,636,J.T.de Moura,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,"Stigmatoph. 2 [Niedenzu, 1900]",1900,16,17588-2,citation,"Stigmatoph. 2 [Niedenzu, 1900] 16. 1900 ",FALSE,TRUE,holotype B,1.2,245701-2,urn:lsid:ipni.org:names:245701-2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 226. 1997]",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_digitatum,Nied.,Nied.,,spec.,/n/245716-2,Malpighiaceae,Stigmaphyllon,digitatum,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Repert. Spec. Nov. Regni Veg.,1933,33: 70,788-2,citation,Repert. Spec. Nov. Regni Veg. 33: 70. 1933 as Stigmatophyllum,FALSE,TRUE,NA,1.3,245716-2,urn:lsid:ipni.org:names:245716-2,wfo-0000502279,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=70&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,as Stigmatophyllum,Anderson (Syst. Bot. Monogr. 51: 262. 1997) indicated this¹name to be superfluous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_felixii,Cuatrec.,Cuatrec.,,spec.,/n/245725-2,Malpighiaceae,Stigmaphyllon,felixii,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Brittonia,1962,14: 55,561-2,citation,Brittonia 14: 55. 1962 ,FALSE,TRUE,NA,1.3,245725-2,urn:lsid:ipni.org:names:245725-2,wfo-0001076590,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_gaudichaudianum,A.Juss.,A.Juss.,,spec.,/n/313527-2,Malpighiaceae,Stigmaphyllon,gaudichaudianum,tax. nov.,s.n.,P.L.de Sacramento,"Sebastianopolis, Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Fl. Bras. Merid. (A. St.-Hil.).,1833,3: 50,8262-2,citation,Fl. Bras. Merid. (A. St.-Hil.). 3: 50. 1833 [1832 publ. 1833] ,FALSE,TRUE,lectotype P;isotype BR;isotype M;isotype P,1.6,313527-2,urn:lsid:ipni.org:names:313527-2,NA,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.spage=50&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1832 publ. 1833,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_hagmannii,Markgr.,Markgr.,,spec.,/n/245730-2,Malpighiaceae,Stigmaphyllon,hagmannii,tax. nov.,NA,NA,"Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Notizbl. Bot. Gart. Berlin-Dahlem,1940,15: 219,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 15: 219. 1940 as Stigmatophyllum,FALSE,TRUE,NA,1.3,245730-2,urn:lsid:ipni.org:names:245730-2,wfo-0001247482,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=219&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,as Stigmatophyllum,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 173. 1997]",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_heringerianum,Paula & J.L.H.Alves,Paula & J.L.H.Alves,,spec.,/n/245739-2,Malpighiaceae,Stigmaphyllon,heringerianum,tax. nov.,741,E.J.de Paula,"Maranhao (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Rodriguésia,1978,"no. 46: 165, figs",1167-2,citation,"Rodriguésia no. 46: 165, figs. 1978 ",FALSE,TRUE,holotype UB,1.3,245739-2,urn:lsid:ipni.org:names:245739-2,wfo-0001247378,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 55. 1997]",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_hirsutum,Nied.,Nied.,,spec.,/n/245740-2,Malpighiaceae,Stigmaphyllon,hirsutum,tax. nov.,s.n.,J.Lhotsky,"Santa Cruz, Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,"Stigmatoph. 2 [Niedenzu, 1900]",1900,25,17588-2,citation,"Stigmatoph. 2 [Niedenzu, 1900] 25. 1900 ",FALSE,TRUE,lectotype G,1.2,245740-2,urn:lsid:ipni.org:names:245740-2,wfo-0001076273,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_psilocardium,Nied.,Nied.,,spec.,/n/245784-2,Malpighiaceae,Stigmaphyllon,psilocardium,tax. nov.,10362,A.F.M.Glaziou,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,"Stigmatoph. 2 [Niedenzu, 1900]",1900,15,17588-2,citation,"Stigmatoph. 2 [Niedenzu, 1900] 15. 1900 ",FALSE,TRUE,holotype B,1.2,245784-2,urn:lsid:ipni.org:names:245784-2,wfo-0001247499,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 230. 1997]",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmaphyllon_trifidum,Nied.,Nied.,,spec.,/n/245813-2,Malpighiaceae,Stigmaphyllon,trifidum,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 4",553-2,citation,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 4. 1891 [5 May 1891] ",FALSE,TRUE,NA,1.4,245813-2,urn:lsid:ipni.org:names:245813-2,wfo-0001247508,FALSE,TRUE,TRUE,FALSE,FALSE,NA,5 May 1891,NA,NA,NA,"[Gandhi; Anderson, Syst. Bot. Monogr. 51: 262. 1997]",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrapterys_adenoloma,Skottsb.,Skottsb.,,spec.,/n/251831-2,Malpighiaceae,Tetrapterys,adenoloma,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,Kongl. Svenska Vetensk.-Akad. Handl.,1901,"35(6): 10, pl. 2",20010256-1,citation,"Kongl. Svenska Vetensk.-Akad. Handl. 35(6): 10, pl. 2. 1901 ",FALSE,TRUE,NA,1.4,251831-2,urn:lsid:ipni.org:names:251831-2,wfo-0001278837,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=6&rft.spage=10&rft.volume=35&rft_id=http://www.biodiversitylibrary.org/bibliography/50688&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrapterys_ligustrifolia,Nied.,Nied.,,spec.,/n/251902-2,Malpighiaceae,Tetrapterys,ligustrifolia,tax. nov.,NA,NA,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1912,4: 14,8771-2,citation,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 4: 14. 1912 Malpighiaceae Americanae 1: 14. 1912,FALSE,TRUE,NA,1.3,251902-2,urn:lsid:ipni.org:names:251902-2,wfo-0001076299,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,Malpighiaceae Americanae 1: 14. 1912,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrapterys_lundiana,Nied.,Nied.,,spec.,/n/251906-2,Malpighiaceae,Tetrapterys,lundiana,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,FALSE,NA,,Tetrapt.,1909,6,16326-2,citation,Tetrapt. 6. 1909 ,FALSE,TRUE,NA,1.2,251906-2,urn:lsid:ipni.org:names:251906-2,wfo-0000459666,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrapterys_martiana,Nied.,Nied.,,spec.,/n/251910-2,Malpighiaceae,Tetrapterys,martiana,tax. nov.,s.n. [Fl. Itahipe],L. Riedel,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,NA,,Tetrapt.,1909,29,16326-2,citation,Tetrapt. 29. 1909 ,FALSE,TRUE,lectotype K;isolectotype K,1.2.2.1,251910-2,urn:lsid:ipni.org:names:251910-2,wfo-0001076302,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Novon 16(2): 199. 2006 [26 Jul 2006] ,W.R.Anderson,NA,NA,NA,NA
Tetrapterys_pallida,Cuatrec.,Cuatrec.,,spec.,/n/251940-2,Malpighiaceae,Tetrapterys,pallida,tax. nov.,NA,NA,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,Webbia,1958,13: 443,826-2,citation,Webbia 13: 443. 1958 ,FALSE,TRUE,NA,1.4,251940-2,urn:lsid:ipni.org:names:251940-2,wfo-0001076591,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1958&rft.spage=443&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/120521&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrapterys_pilifera,S.Moore,S.Moore,,spec.,/n/251950-2,Malpighiaceae,Tetrapterys,pilifera,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 326",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 326. 1895 ",FALSE,TRUE,NA,1.3,251950-2,urn:lsid:ipni.org:names:251950-2,wfo-0000459668,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrapterys_praecox,S.Moore,S.Moore,,spec.,/n/251953-2,Malpighiaceae,Tetrapterys,praecox,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,NA,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 327",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 327. 1895 ",FALSE,TRUE,NA,1.3,251953-2,urn:lsid:ipni.org:names:251953-2,wfo-0000459670,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thryallis_rotundifolia,A.Gray,A.Gray,,spec.,/n/302607-2,Malpighiaceae,Thryallis,rotundifolia,tax. nov.,NA,Wilkes Expedition,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,NA,,"U.S. Expl. Exped., Phan.",1854,15: 264,10212-2,citation,"U.S. Expl. Exped., Phan. 15: 264. 1854 ; C. Wilkes Expl. Exped.",FALSE,TRUE,lectotype US MICH(PHOTO) (PHOTO);isotype GH;isotype K,1.4,302607-2,urn:lsid:ipni.org:names:302607-2,wfo-0001225503,TRUE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.spage=264&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/61410&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,C. Wilkes Expl. Exped.,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
