name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,collectionNumber,collectorTeam,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,typeLocations,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,infraspecies,remarks,speciesAuthor,bhlLink,pageAsText,publicationYearNote,referenceRemarks,collectionDate1,locality,typeCoordinates,originalTaxonDistribution
Siparuna_heteropoda,Perkins,Perkins,,spec.,/n/237217-2,Monimiaceae,Siparuna,heteropoda,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 135,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 135. 1914 ,FALSE,TRUE,NA,1.4,237217-2,urn:lsid:ipni.org:names:237217-2,wfo-0001084456,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=135&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA
Siparuna_hylophila,Perkins,Perkins,,spec.,/n/237219-2,Monimiaceae,Siparuna,hylophila,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,28(5): 685,553-2,citation,Bot. Jahrb. Syst. 28(5): 685. 1901 [11 Jan 1901] ,FALSE,TRUE,NA,1.5,237219-2,urn:lsid:ipni.org:names:237219-2,wfo-0001084459,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=685&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
Siparuna_itacaiunensis,Jangoux,Jangoux,,spec.,/n/302273-2,Monimiaceae,Siparuna,itacaiunensis,tax. nov.,12292," R.P.Belem,J.Murca Pires","Pará (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 129, fig. 7, 8b",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 129, fig. 7, 8b. 1991 ",FALSE,TRUE,holotype IAN,1.4,302273-2,urn:lsid:ipni.org:names:302273-2,wfo-0001241285,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_krukovii,A.C.Sm.,A.C.Sm.,,spec.,/n/237222-2,Monimiaceae,Siparuna,krukovii,tax. nov.,NA,NA,"Mato Grosso (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bull. Torrey Bot. Club,1933,60: 352,586-2,citation,Bull. Torrey Bot. Club 60: 352. 1933 ,FALSE,TRUE,NA,1.4,237222-2,urn:lsid:ipni.org:names:237222-2,wfo-0001240637,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=352&rft.volume=60&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA
Siparuna_langsdorffii,Tolm.,Tolm.,,spec.,/n/237223-2,Monimiaceae,Siparuna,langsdorffii,tax. nov.,NA,NA,"Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,FALSE,,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R.,1921,2: 154,866-2,citation,Bot. Mater. Gerb. Glavn. Bot. Sada R.S.F.S.R. 2: 154. 1921 ,FALSE,TRUE,NA,1.3.2.1.1.1,237223-2,urn:lsid:ipni.org:names:237223-2,wfo-0001278931,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_lepidantha,Perkins,Perkins,,spec.,/n/237224-2,Monimiaceae,Siparuna,lepidantha,tax. nov.,NA,NA,Between Peru and Brazil,FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,28(5): 701,553-2,citation,Bot. Jahrb. Syst. 28(5): 701. 1901 [11 Jan 1901] ,FALSE,TRUE,NA,1.5,237224-2,urn:lsid:ipni.org:names:237224-2,wfo-0001084462,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=701&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
Siparuna_manaosensis,Jangoux,Jangoux,,spec.,/n/302672-2,Monimiaceae,Siparuna,manaosensis,tax. nov.,NA,A.Ducke,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 132, fig. 11a",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 132, fig. 11a. 1991 ",FALSE,TRUE,holotype RB;isotype MO,1.4,302672-2,urn:lsid:ipni.org:names:302672-2,wfo-0000505995,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
Siparuna_microphylla,Perkins,Perkins,,spec.,/n/237236-2,Monimiaceae,Siparuna,microphylla,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Verh. Bot. Vereins Prov. Brandenburg,1905,47: 140,823-2,citation,Verh. Bot. Vereins Prov. Brandenburg 47: 140. 1905 ,FALSE,TRUE,NA,1.4,237236-2,urn:lsid:ipni.org:names:237236-2,wfo-0001084471,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=140&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,,NA
Siparuna_minutiflora,Perkins,Perkins,,spec.,/n/237237-2,Monimiaceae,Siparuna,minutiflora,tax. nov.,NA,NA,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,"28(5): 674, pl. 12",553-2,citation,"Bot. Jahrb. Syst. 28(5): 674, pl. 12. 1901 [11 Jan 1901] ",FALSE,TRUE,NA,1.5,237237-2,urn:lsid:ipni.org:names:237237-2,wfo-0001084472,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1901&rft.issue=5&rft.spage=674&rft.volume=28&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,11 Jan 1901,NA,NA,NA,,NA
Siparuna_monogyna,Jangoux,Jangoux,,spec.,/n/300416-2,Monimiaceae,Siparuna,monogyna,tax. nov.,17233,E.Lleras et al.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1991,"7: 133, fig. 9, 11b",1871-2,citation,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 7: 133, fig. 9, 11b. 1991 ",FALSE,TRUE,holotype MG,1.4,300416-2,urn:lsid:ipni.org:names:300416-2,wfo-0001229279,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
