name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,collectionNumber,collectorTeam,infraspecies,typeLocations,bhlLink,referenceRemarks,pageAsText,wfoId,publicationYearNote,speciesAuthor,collectionDate1,locality,remarks,typeCoordinates,typeNote,basionymAuthorStr,bibliographicReference,typeChosenBy,originalTaxonDistribution,nameStatus,nameStatusType
Coccoloba_sublobata,Heimerl,Heimerl,,spec.,/n/62297-2,Polygonaceae,Coccoloba,sublobata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 244,610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 244. 1908 ",FALSE,TRUE,1.3,62297-2,urn:lsid:ipni.org:names:62297-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=244&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0000613413,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Coccoloba_zernyi,Standl.,Standl.,,spec.,/n/62332-2,Polygonaceae,Coccoloba,zernyi,tax. nov.,"Amazonas (Brazil, Southern America)",FALSE,FALSE,TRUE,,"Publ. Field Mus. Nat. Hist., Bot. Ser.",1940,22: 18,1054-2,citation,"Publ. Field Mus. Nat. Hist., Bot. Ser. 22: 18. 1940 ",FALSE,TRUE,1.3,62332-2,urn:lsid:ipni.org:names:62332-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=18&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0000613457,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Magonia_scandens,Vell.,Vell.,,spec.,/n/149340-2,Polygonaceae,Magonia,scandens,tax. nov.,Brazil?,FALSE,FALSE,TRUE,,Fl. Flumin.,1829,165,932-2,citation,Fl. Flumin. 165. 1829 [1825 publ. 7 Sep-28 Nov 1829] ; see also Fl. Flumin. Icon. 4: t. 60. 1831 [1827 publ. 29 Oct 1831].,FALSE,TRUE,1.4,149340-2,urn:lsid:ipni.org:names:149340-2,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=165&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,see also Fl. Flumin. Icon. 4: t. 60. 1831 [1827 publ. 29 Oct 1831].,NA,wfo-0001271875,1825 publ. 7 Sep-28 Nov 1829,NA,NA,NA,NA,,Fl. Flumin. Icon. 4: t. 60. 1831.,NA,NA,NA,NA,NA,NA
Persicaria_humboldtiana,Funez & Hassemer,Funez & Hassemer,,spec.,/n/77216116-1,Polygonaceae,Persicaria,humboldtiana,tax. nov.,"Santa Catarina (Brazil South, Brazil, Southern America)",FALSE,FALSE,TRUE,,Phytotaxa,2021,490(1): 61,20011462-1,citation,Phytotaxa 490(1): 61. 2021 [10 Mar 2021] [epublished],FALSE,TRUE,1.1,77216116-1,urn:lsid:ipni.org:names:77216116-1,TRUE,TRUE,TRUE,FALSE,FALSE,9599,L.A. Funez,NA,holotype FURB,NA,[epublished],NA,NA,10 Mar 2021,NA,12 Jan 2020,Corupá: RPPN Emílio Fiorentino Battistella,"doi:10.11646/phytotaxa.490.1.5 The specific epithet is a tribute to the German explorer, geographer and naturalist Friedrich Wilhelm Heinrich Alexander von Humboldt (1769–1859), who was originally honoured by the name Hansa Humboldt, the original name of Corupá, the Brazilian municipality where the new species, according to the best of evidence, is restricted to.",,NA,NA,NA,NA,NA,NA,NA
Polygonum_alfredi,Pilg.,Pilg.,,spec.,/n/206048-2,Polygonaceae,Polygonum,alfredi,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Repert. Spec. Nov. Regni Veg.,1921,17: 126,788-2,citation,Repert. Spec. Nov. Regni Veg. 17: 126. 1921 ,FALSE,TRUE,1.4,206048-2,urn:lsid:ipni.org:names:206048-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/181308&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,181308,wfo-0001100891,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Polygonum_antihaemorrhoidale,Mart.,Mart.,,spec.,/n/30124189-2,Polygonaceae,Polygonum,antihaemorrhoidale,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Reise Bras. (Spix & Mart.),1828,2: 550,1469-2,citation,Reise Bras. (Spix & Mart.) 2: 550. 1828 ,FALSE,TRUE,1.1.2.1.1.1,30124189-2,urn:lsid:ipni.org:names:30124189-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=550&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/16406&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Polygonum_beyrichianum,Cham. & Schltdl.,Cham. & Schltdl.,,spec.,/n/206104-2,Polygonaceae,Polygonum,beyrichianum,tax. nov.,"prope Nov. Friburgum, Rio de Janeiro (Brazil, Southern America)",FALSE,FALSE,TRUE,,Linnaea,1830,3: 42,703-2,citation,Linnaea 3: 42. 1830 ,FALSE,TRUE,1.1.2.1.1.2,206104-2,urn:lsid:ipni.org:names:206104-2,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,H.K.Beyrich,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1830&rft.spage=42&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001101764,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Polygonum_frutescens,Vell.,Vell.,,spec.,/n/695762-1,Polygonaceae,Polygonum,frutescens,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Flumin. Icon.,1831,4: t. 44,12892-2,citation,Fl. Flumin. Icon. 4: t. 44. 1831 [dt. 1827; publ. 29 Oct 1831] ,FALSE,TRUE,1.3.2.1,695762-1,urn:lsid:ipni.org:names:695762-1,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,dt. 1827; publ. 29 Oct 1831,NA,NA,NA,NA,,NA,NA,NA,NA,NA,nom. illeg. later homonym    non L. (1753),nom. illeg.
Polygonum_modestum,Heimerl,Heimerl,,spec.,/n/206305-2,Polygonaceae,Polygonum,modestum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 241,610-2,citation,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 241. 1908 ",FALSE,TRUE,1.3,206305-2,urn:lsid:ipni.org:names:206305-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=241&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0000489770,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Polygonum_virgatum,Cham. & Schltdl.,Cham. & Schltdl.,,spec.,/n/206454-2,Polygonaceae,Polygonum,virgatum,tax. nov.,"Chile, Brazil",FALSE,FALSE,FALSE,,Linnaea,1828,3: 45 (-46),703-2,citation,Linnaea 3: 45 (-46). 1828 ,FALSE,TRUE,1.1.2.1.1.2,206454-2,urn:lsid:ipni.org:names:206454-2,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=45&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001101143,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Rumex_argentinus,Rech.f.,Rech.f.,,spec.,/n/224399-2,Polygonaceae,Rumex,argentinus,tax. nov.,"Range: Argentina (Formosa Terr., Santa Fe, Buenos Aires), Brazil, Central (Paraguay, Southern South America, Southern America)",FALSE,FALSE,TRUE,,Ark. Bot.,1934,26A(3): 24,536-2,citation,Ark. Bot. 26A(3): 24. 1934 ,FALSE,TRUE,1.3,224399-2,urn:lsid:ipni.org:names:224399-2,FALSE,TRUE,TRUE,FALSE,FALSE,12759,E.Hassler,NA,null G,NA,NA,NA,wfo-0001101774,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Ruprechtia_maracaensis,Brandbyge,Brandbyge,,spec.,/n/284482-2,Polygonaceae,Ruprechtia,maracaensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Nordic J. Bot.,1990,"10: 155, fig. 1A-C",2633-2,citation,"Nordic J. Bot. 10: 155, fig. 1A-C. 1990 ",FALSE,TRUE,1.3,284482-2,urn:lsid:ipni.org:names:284482-2,FALSE,TRUE,TRUE,FALSE,FALSE,377," Bowles,Milliken",NA,holotype AAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Triplaris_baturitensis,Huber,Huber,,spec.,/n/286388-2,Polygonaceae,Triplaris,baturitensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,"ser. 2, 1: 300",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 300. 1901 ",FALSE,TRUE,1.4,286388-2,urn:lsid:ipni.org:names:286388-2,FALSE,TRUE,TRUE,FALSE,FALSE,170,Huber,NA,lectotype RB,NA,NA,NA,wfo-0000454393,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Triplaris_formicosa,S.Moore,S.Moore,,spec.,/n/286398-2,Polygonaceae,Triplaris,formicosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,"Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 444, figs",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 444, figs. 1895 ",FALSE,TRUE,1.3,286398-2,urn:lsid:ipni.org:names:286398-2,FALSE,TRUE,TRUE,FALSE,FALSE,301,Moore,NA,lectotype BM,NA,NA,NA,wfo-0001101797,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Triplaris_laurifolia,Cham. & Schltdl.,Cham. & Schltdl.,,spec.,/n/331040-2,Polygonaceae,Triplaris,laurifolia,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Linnaea,1828,3: 55 (-56),703-2,citation,Linnaea 3: 55 (-56). 1828 ,FALSE,TRUE,1.1.2.1.1.2,331040-2,urn:lsid:ipni.org:names:331040-2,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,F.Sellow,NA,lectotype B,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=55&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001266527,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Triplaris_mato-grossensis,Brandbyge,Brandbyge,,spec.,/n/286410-2,Polygonaceae,Triplaris,mato-grossensis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Nordic J. Bot.,1990,"10: 158, fig. 3A-D",2633-2,citation,"Nordic J. Bot. 10: 158, fig. 3A-D. 1990 ",FALSE,TRUE,1.3,286410-2,urn:lsid:ipni.org:names:286410-2,FALSE,TRUE,TRUE,FALSE,FALSE,668,"Macedo, Assumpcao",NA,holotype NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
Triplaris_salicifolia,Cham. & Schltdl.,Cham. & Schltdl.,,spec.,/n/331041-2,Polygonaceae,Triplaris,salicifolia,tax. nov.,"meridionalis, Brazil (Southern America)",FALSE,FALSE,TRUE,,Linnaea,1828,3: 56 (-58),703-2,citation,Linnaea 3: 56 (-58). 1828 ,FALSE,TRUE,1.1.2.1.1.2,331041-2,urn:lsid:ipni.org:names:331041-2,FALSE,TRUE,TRUE,FALSE,FALSE,s.n.,F.Sellow,NA,lectotype B;isotype C;isotype E;isotype K;isotype NY,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=56&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,wfo-0001101781,NA,NA,NA,NA,Pendry the date of the LT. as 1845 (error).,,NA,NA,NA,NA,NA,NA,NA
Triplaris_speciosa,Taub.,Taub.,,spec.,/n/286423-2,Polygonaceae,Triplaris,speciosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1890,"12(1-2, Beibl. 27): 14",553-2,citation,"Bot. Jahrb. Syst. 12(1-2, Beibl. 27): 14. 1890 [24 Jun 1890] ",FALSE,TRUE,1.5,286423-2,urn:lsid:ipni.org:names:286423-2,FALSE,TRUE,TRUE,FALSE,FALSE,11442,A.F.M.Glaziou,NA,lectotype C,NA,NA,NA,wfo-0000454262,24 Jun 1890,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
