family,genus,species,taxon_name,authors,scientific_name,publication,native_to_country,native_to_botanical_countries,introduced_to_country,introduced_to_botanical_countries,kew_id,powo_uri
Passifloraceae,Piriqueta,assurensis,Piriqueta_assurensis,Urb.,Piriqueta assurensis Urb.,Jahrb. Königl. Bot. Gart. Berlin 2: 60 (1883),Brazil,Brazil Northeast,unknown,unknown,836447-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:836447-1
Passifloraceae,Piriqueta,aurea,Piriqueta_aurea,(Cambess.) Urb.,Piriqueta aurea (Cambess.) Urb.,Jahrb. Königl. Bot. Gart. Berlin 2: 69 (1883),Brazil,"Brazil Southeast, Brazil West-Central",unknown,unknown,836448-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:836448-1
Passifloraceae,Piriqueta,breviseminata,Piriqueta_breviseminata,Arbo,Piriqueta breviseminata Arbo,Fl. Neotrop. Monogr. 67: 91 (1995),Brazil,"Brazil North, Brazil Northeast, Brazil West-Central",unknown,unknown,302107-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:302107-2
Passifloraceae,Piriqueta,caiapoensis,Piriqueta_caiapoensis,Arbo,Piriqueta caiapoensis Arbo,Fl. Neotrop. Monogr. 67: 74 (1995),Brazil,Brazil West-Central,unknown,unknown,304838-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:304838-2
Passifloraceae,Piriqueta,carnea,Piriqueta_carnea,Urb.,Piriqueta carnea Urb.,Repert. Spec. Nov. Regni Veg. 4: 131 (1907),Brazil,Brazil Northeast,unknown,unknown,199916-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:199916-2
Passifloraceae,Piriqueta,cistoides,Piriqueta_cistoides,(L.) Griseb.,Piriqueta cistoides (L.) Griseb.,Fl. Brit. W. I.: 297 (1860),"Argentina, Bahamas, Belize, Bolivia, Brazil, Colombia, Costa Rica, Cuba, Dominican Republic, French Guiana, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Suriname, Trinidad-Tobago, United States, Venezuela, Windward Is.","Alabama, Argentina Northeast, Bahamas, Belize, Bolivia, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Cuba, Dominican Republic, Florida, French Guiana, Georgia, Guatemala, Guyana, Haiti, Honduras, Jamaica, Leeward Is., Mexico Gulf, Mexico Southeast, Mexico Southwest, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, South Carolina, Suriname, Trinidad-Tobago, Venezuela, Windward Is.",unknown,unknown,30068867-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30068867-2
Passifloraceae,Piriqueta,constellata,Piriqueta_constellata,Arbo,Piriqueta constellata Arbo,Kew Bull. 48: 9 (1993),Brazil,"Brazil Northeast, Brazil Southeast",unknown,unknown,304794-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:304794-2
Passifloraceae,Piriqueta,corumbensis,Piriqueta_corumbensis,Moura,Piriqueta corumbensis Moura,Phytologia 17: 247 (1968),"Bolivia, Brazil","Bolivia, Brazil West-Central",unknown,unknown,199929-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:199929-2
Passifloraceae,Piriqueta,crenata,Piriqueta_crenata,"L.Rocha, I.M.Souza & Arbo","Piriqueta crenata L.Rocha, I.M.Souza & Arbo",Phytotaxa 159: 106 (2014),Brazil,Brazil Northeast,unknown,unknown,77137315-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77137315-1
Passifloraceae,Piriqueta,cristobaliae,Piriqueta_cristobaliae,Arbo,Piriqueta cristobaliae Arbo,Fl. Neotrop. Monogr. 67: 74 (1995),Brazil,Brazil West-Central,unknown,unknown,306430-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:306430-2
Passifloraceae,Piriqueta,densiflora,Piriqueta_densiflora,Urb.,Piriqueta densiflora Urb.,Repert. Spec. Nov. Regni Veg. 4: 129 (1907),Brazil,"Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central",unknown,unknown,311934-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:311934-2
