name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Sida bedfordiana,Malvaceae,Sida,bedfordiana,Hook.,tax_nov,spec.,Bot. Mag. 68: t. 3892. 1841 ,Bot. Mag.,1841,68: t. 3892,864-2,lectotype G;isotype NY,George Gardner,320,NA,"Rio de Janeiro (Brazil, Southern America)",NA,323462-2,NA,NA,www.ipni.org/n/323462-2,IPNI
Sida bradei,Malvaceae,Sida,bradei,Ulbr.,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 9: 42. 1924 ,Notizbl. Bot. Gart. Berlin-Dahlem,1924,9: 42,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,235561-2,NA,NA,www.ipni.org/n/235561-2,IPNI
Sida callitricha,Malvaceae,Sida,callitricha,Gand.,tax_nov,spec.,Bull. Soc. Bot. France 71(5-6): 627. 1924 [18 Sep 1924] ,Bull. Soc. Bot. France,1924,71(5-6): 627,578-2,NA,Novaes,488,NA,"Brazil Southeast (Brazil, Southern America)",S.Paulo,77101575-1,18 Sep 1924,NA,www.ipni.org/n/77101575-1,IPNI
Sida compressi-caulis,Malvaceae,Sida,compressi-caulis,Larrañaga,tax_nov,spec.,Escritos Damaso Antonio Larranaga 1: 413. 1922 Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,1: 413,1322-2,NA,NA,NA,NA,Brazil (Southern America),NA,235602-2,NA,NA,www.ipni.org/n/235602-2,IPNI
Sida conferta,Malvaceae,Sida,conferta,Link,tax_nov,spec.,Enum. Hort. Berol. Alt. 2: 207. 1822 [Jan-Jun 1822] ,Enum. Hort. Berol. Alt.,1822,2: 207,1251-2,NA,NA,NA,NA,Brazil (Southern America),NA,313698-2,Jan-Jun 1822,"Type unknown. non Triana & Planchon 1862, nec Sesse & Mocino¹1894. [Gandhi; Fryxell, Syst. Bot. Monogr. 25: 389. 1988]",www.ipni.org/n/313698-2,IPNI
Sida fluviatilis,Malvaceae,Sida,fluviatilis,Vell.,tax_nov,spec.,Fl. Flumin. 278. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,Fl. Flumin.,1829,278,932-2,null B,A.C.V.Schott,s.n.,NA,"Aquaeduct bei Rio de Janeiro, Brazil (Southern America)",NA,326448-2,1825 publ. 7 Sep-28 Nov 1829,NA,www.ipni.org/n/326448-2,IPNI
Sida fulva,Malvaceae,Sida,fulva,A.St.-Hil.,tax_nov,spec.,Fl. Bras. Merid. (A. St.-Hil.). 1: 176. 1827 ,Fl. Bras. Merid. (A. St.-Hil.).,1827,1: 176,8262-2,holotype P,A.F.C.P.de Saint-Hilaire,s.n.,NA,"Rio de Janeiro (Brazil, Southern America)",NA,313699-2,NA,"[Gandhi; Fryxell, Syst. Bot. Monogr. 25: 386. 1988]",www.ipni.org/n/313699-2,IPNI
Sida glocimarii,Malvaceae,Sida,glocimarii,Krapov.,tax_nov,spec.,"Bonplandia (Corrientes) 21(1): 82, fig. 4. 2012 [Jul 2012] (as Glocimari)",Bonplandia (Corrientes),2012,"21(1): 82, fig. 4",13502-2,holotype CEN;isotype CTES,Glocimar Pereira-Silva &amp; al.,9494,21 Feb 2005,"Tocantins (Brazil, Southern America)","Tocantinopolis, ponte sobre o rio curicaca ... alt. 176 m",60462856-2,Jul 2012,NA,www.ipni.org/n/60462856-2,IPNI
Sida grazielae,Malvaceae,Sida,grazielae,Monteiro,tax_nov,spec.,"Portugaliae Acta Biol., Sér. B, Sist. 12: 146, t. 6. 1974 ","Portugaliae Acta Biol., Sér. B, Sist.",1974,"12: 146, t. 6",2747-2,holotype RBR," Barrozo,Monteiro",8000,NA,"Goiás (Brazil, Southern America)",NA,235668-2,NA,NA,www.ipni.org/n/235668-2,IPNI
Sida inaequalis,Malvaceae,Sida,inaequalis,Link & Otto,tax_nov,spec.,Icon. Pl. Select. 75 (t. 34). 1825 ,Icon. Pl. Select.,1825,75 (t. 34),9066-2,NA,NA,NA,NA,Brazil (Southern America),NA,235692-2,NA,NA,www.ipni.org/n/235692-2,IPNI
Sida intermedia,Malvaceae,Sida,intermedia,A.St.-Hil.,tax_nov,spec.,"Fl. Bras. Merid. (A. St.-Hil.). 1(5): 188, t.34. 1827 ",Fl. Bras. Merid. (A. St.-Hil.).,1827,"1(5): 188, t.34",8262-2,NA,NA,NA,NA,Brazil (Southern America),NA,235699-2,NA,NA,www.ipni.org/n/235699-2,IPNI
Sida lineata,Malvaceae,Sida,lineata,Vell.,tax_nov,spec.,Fl. Flumin. 280. 1829 [1825 publ. 7 Sep-28 Nov 1829] ; see also Fl. Flumin. Icon. 7: t. 25. 1831 [1827 publ. 29 Oct 1831].,Fl. Flumin.,1829,280,932-2,NA,NA,NA,NA,Brazil (Southern America),NA,235716-2,1825 publ. 7 Sep-28 Nov 1829,NA,www.ipni.org/n/235716-2,IPNI
