name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Epidendrum almasyi,Orchidaceae,Epidendrum,almasyi,Hoehne,tax_nov,spec.,"Arq. Bot. Estado São Paulo (n. s.) 2: 84, t. 25. 1947 ",Arq. Bot. Estado São Paulo,1947,"(n. s.) 2: 84, t. 25",850-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,91233-2,NA,NA,www.ipni.org/n/91233-2,IPNI
Epidendrum begottii,Orchidaceae,Epidendrum,begottii,V.P.Castro & J.B.F.Silva,tax_nov,spec.,"Bol. CAOB No. 2, 3 & 4: 9, fig. 1995 ",Bol. CAOB,1995,"No. 2, 3 & 4: 9, fig",6391-2,holotype MG," A.Begot,J.B.F.da Silva",s.n.,NA,"Mun. Ourem: Fazenda Batuira, 10 m, Pará (Brazil, Southern America)",NA,313476-2,NA,As begotti; volume no. (presumed to be 6) not cited in¹this issue of the journal,www.ipni.org/n/313476-2,IPNI
Epidendrum belmontense,Orchidaceae,Epidendrum,belmontense,V.P.Castro & Marçal,tax_nov,spec.,Icon. Orchid. Brasil. 3: t. 253. 2012 [Oct 2012] ,Icon. Orchid. Brasil.,2012,3: t. 253,20006432-2,holotype Herb. Centro de Pesquisas do Cacau,Sydnei Marçal &amp; V.P.Castro,0139,NA,"Bahia (Brazil Northeast, Brazil, Southern America)",Municipality of Belmonte,77129144-1,Oct 2012,NA,www.ipni.org/n/77129144-1,IPNI
Epidendrum cottoniiflorum,Orchidaceae,Epidendrum,cottoniiflorum,(Rchb.f.) Hágsater,tax_nov,spec.,Native Colomb. Orchids 2: 168. 1991 [pre-Apr 1991] (as cottoniaeflorum),Native Colomb. Orchids,1991,2: 168,20009902-2,NA,NA,NA,NA,Brazil (Southern America),NA,309065-2,pre-Apr 1991,NA,www.ipni.org/n/309065-2,IPNI
Epidendrum dayseae,Orchidaceae,Epidendrum,dayseae,Krahl & Hágsater,tax_nov,spec.,Phytotaxa 530(1): 97. 2022 [6 Jan 2022] [epublished],Phytotaxa,2022,530(1): 97,20011462-1,holotype INPA,A.H.Krahl &amp; D.R.P.Krahl,1577,16 Apr 2021,"Amazonas (Brazil North, Brazil, Southern America)","Manaus, Ramal da Usina, 55 m",77235196-1,6 Jan 2022,"doi:10.11646/phytotaxa.530.1.8 The specific epithet honours Brazilian botanist Dayse Raiane Passos Krahl, wife of the first author and co-collector of the type specimen.",www.ipni.org/n/77235196-1,IPNI
Epidendrum itacolomiense,Orchidaceae,Epidendrum,itacolomiense,E.M.Pessoa & L.G.Pedrosa,tax_nov,spec.,"Syst. Bot. 47(4): 938. 2022 [12 Dec 2022] , as 'itacolomiensis' [epublished]",Syst. Bot.,2022,47(4): 938,1295-2,holotype OUPR;isotype RB,L.G.Pedrosa,3603,15 Nov 2021,"Minas Gerais (Brazil Southeast, Brazil, Southern America)","Ouro Preto, Parque Estadual do Itacolomi, 1200 m",77311226-1,12 Dec 2022,"doi:10.1600/036364422X16674053033930 Etymology: 'The name of the new species refers to its type locality, the Itacolomi peak'.",www.ipni.org/n/77311226-1,IPNI
Epidendrum luizae,Orchidaceae,Epidendrum,luizae,"Krahl, Hágsater & Chiron",tax_nov,spec.,"Richardiana, N.S. 6: 77. 2022 [6 Jul 2022] [epublished]","Richardiana, N.S.",2022,6: 77,20022374-1,holotype INPA,A.H.Krahl,1603,9 Jul 2021,"Amazonas (Brazil North, Brazil, Southern America)","Manaus, Ramal da Usina, km 7, campinarana, 62 m",77301542-1,6 Jul 2022,"Etymology: the specific epithet honours Luíza Passos Krahl, daugher of the first two authors.",www.ipni.org/n/77301542-1,IPNI
Epidendrum magelhaesii,Orchidaceae,Epidendrum,magelhaesii,Schltr.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 16: 445. 1920 ,Repert. Spec. Nov. Regni Veg.,1920,16: 445,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,91794-2,NA,NA,www.ipni.org/n/91794-2,IPNI
Epidendrum mantiqueranum,Orchidaceae,Epidendrum,mantiqueranum,Porto & Brade,tax_nov,spec.,"Anais Reunião Sul-Amer. Bot. 3: 38, tab. 5, fig. 1. 1940 ",Anais Reunião Sul-Amer. Bot.,1940,"3: 38, tab. 5, fig. 1",4693-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,91803-2,NA,NA,www.ipni.org/n/91803-2,IPNI
Epidendrum morimotoi,Orchidaceae,Epidendrum,morimotoi,V.P.Castro & Marçal,tax_nov,spec.,Icon. Orchid. Brasil. 3: t. 256. 2012 [Oct 2012] ,Icon. Orchid. Brasil.,2012,3: t. 256,20006432-2,holotype SP,Sydnei Marçal &amp; V.P.Castro 0143,NA,NA,"Bahia (Brazil Northeast, Brazil, Southern America)",Municipality of Arataca,77129147-1,Oct 2012,NA,www.ipni.org/n/77129147-1,IPNI
Epidendrum pluriracemosum,Orchidaceae,Epidendrum,pluriracemosum,Hágsater & E.Santiago,tax_nov,spec.,Icon. Orchid. 14(10): t. 1476. 2013 [31 May 2013] ,Icon. Orchid.,2013,14(10): t. 1476,15175-2,holotype CAY;isotype P,Georges Cremers,6492,30 Aug 1980,"French Guiana (Northern South America, Southern America);Amapá (Brazil North, Brazil, Southern America);Suriname (Northern South America, Southern America);Pará (Brazil North, Brazil, Southern America);","French Guiana: Cayenne (Cayena): Sommet Tabulaire, centre ouest, ca. 45 km SE de Saül, 600 m",77130652-1,31 May 2013,NA,www.ipni.org/n/77130652-1,IPNI
Epidendrum rupicola,Orchidaceae,Epidendrum,rupicola,Cogn.,tax_nov,spec.,Fl. Bras. (Martius) 3(5): 153. 1898 [1 Jun 1898] ,Fl. Bras. (Martius),1898,3(5): 153,629-2,NA,NA,NA,NA,Brazil (Southern America),NA,92131-2,1 Jun 1898,NA,www.ipni.org/n/92131-2,IPNI
Epidendrum welsii-windischii,Orchidaceae,Epidendrum,welsii-windischii,Pabst,tax_nov,spec.,"Bradea 2(10): 50, t. 1, fig. B. 1975 ",Bradea,1975,"2(10): 50, t. 1, fig. B",1276-2,holotype HB,R.Wels-Windisch,140,NA,"Minas Gerais (Brazil, Southern America)",NA,92347-2,NA,NA,www.ipni.org/n/92347-2,IPNI
Galeandra coxinnensis,Orchidaceae,Galeandra,coxinnensis,Hoehne,tax_nov,spec.,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas annexo 5,  Bot. 4: 15 (t. 70). 1912 ",Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas,1912,"annexo 5,  Bot. 4: 15 (t. 70)",16436-2,NA,NA,NA,NA,Brazil (Southern America),NA,106798-2,NA,as coxinensis on t. 70.,www.ipni.org/n/106798-2,IPNI
Galeandra schmidtii,Orchidaceae,Galeandra,schmidtii,V.P.Castro,tax_nov,spec.,"Icon. Orchid. Brasil. 3: t. 259. 2012 [Oct 2012] , author also wrote as 'schmidti'",Icon. Orchid. Brasil.,2012,3: t. 259,20006432-2,holotype SP,Antonio Schmidt &amp; V.P.Castro,00123,NA,"Mato Grosso (Brazil West-Central, Brazil, Southern America)",Alta Floresta,77129148-1,Oct 2012,NA,www.ipni.org/n/77129148-1,IPNI
Galeandra schunkii,Orchidaceae,Galeandra,schunkii,V.P.Castro & Chiron,tax_nov,spec.,Richardiana 9(2): 64 (63-69; figs.). 2009 [Apr 2009] ,Richardiana,2009,9(2): 64 (63-69; figs.),18831-2,holotype SP,V.P.Castro,106,NA,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Município de Marechal Floriano, 500-600m",77098216-1,Apr 2009,NA,www.ipni.org/n/77098216-1,IPNI
Gomeza emiliana,Orchidaceae,Gomeza,emiliana,H.Barbosa,tax_nov,spec.,Auri-Verde 1(9): 4 (Orchidaceaes plate: fig. 1). 1920 ,Auri-Verde,1920,1(9): 4 (Orchidaceaes plate: fig. 1),20011330-2,NA,NA,NA,NA,Brazil (Southern America),in Juiz de Fora loco accurato haud indicato.,60451741-2,NA,specific name is dedicated to: Dr. Emilio Machado Pereira,www.ipni.org/n/60451741-2,IPNI
Gongora longiracemosa,Orchidaceae,Gongora,longiracemosa,G.Gerlach & J.B.F.Silva,tax_nov,spec.,Colet. Orquídeas Brasil. 17: 688. 2021 [12 Mar 2021] ,Colet. Orquídeas Brasil.,2021,17: 688,20004826-2,holotype MG,J.B.F.Silva,3394,16 Jul 2010,"Pará (Brazil North, Brazil, Southern America)",Novo Progreso: FLONA Jamanxim,77298957-1,12 Mar 2021,Etymology: The specific epithet refers to it having the longest inflorescence of the genus.,www.ipni.org/n/77298957-1,IPNI
