name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Solanum banks,Solanaceae,Solanum,banks,Vand.,tax_nov,spec.,Fasc. Pl. 10. 1771 [Sep 1771] (as Bäncks),Fasc. Pl.,1771,10,18920-2,NA,NA,NA,NA,Brazil (Southern America),"Habitat, in Brasilia, et vulgo Rebentabois vocatur",60468937-2,Sep 1771,Presumed eponymy: Joseph Banks (1743-1820),www.ipni.org/n/60468937-2,IPNI
Solanum caelicola,Solanaceae,Solanum,caelicola,Giacomin & Stehmann,tax_nov,spec.,"J. Bot. Res. Inst. Texas 7(1): 102. 2013 [27 Aug 2013] , as caelicolum",J. Bot. Res. Inst. Texas,2013,7(1): 102,20007714-1,holotype MBML;isotype BHCB 002734,V.Demuner et al.,3273,20 Mar 2007,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Colatina, Alto Moacir, Prop.: Lalau (property of Sr. Landislau), 200 m",77139517-1,27 Aug 2013,NA,www.ipni.org/n/77139517-1,IPNI
Solanum delicatum,Solanaceae,Solanum,delicatum,L.B.Sm. & Downs,tax_nov,spec.,Phytologia 10: 424. 1964 ,Phytologia,1964,10: 424,1034-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,238698-2,NA,NA,www.ipni.org/n/238698-2,IPNI
Solanum helix,Solanaceae,Solanum,helix,Giacomin & Stehmann,tax_nov,spec.,Acta Bot. Brasil. 37-e20230026: 2. [24 Jul 2023] [epublished],Acta Bot. Brasil.,2023,37-e20230026: 2,1225-2,holotype BHCB BHCB019123; BHCB019124;isotype BM;isotype UT;isotype HUEFS HUEFS000109618;isotype NY NY02240756,"L.L.Giacomin, L.Bohs, S.Knapp &amp; L.C.Marinho",2000,6 Nov 2013,"Bahia (Brazil Northeast, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);","Bahia: Santa Teresinha, Serra da Jibóia, 700 m",77322646-1,24 Jul 2023,"doi:10.1590/1677-941X-ABB-2023-0026 Etymology: The epithet helix is applied as a noun in apposition and represents a Latin and English word for spiral or coil. Its usage in English also applies to a propeller of a boat or plane, to which the fruiting calyx is similar, with its spreading lobes.",www.ipni.org/n/77322646-1,IPNI
Solanum kuhlmannianum,Solanaceae,Solanum,kuhlmannianum,Mattos,tax_nov,spec.,"Loefgrenia 32: [1], fig. 1969 ",Loefgrenia,1969,"32: [1], fig",994-2,holotype SP,Kuhlmann,s/n,NA,"Sao Paulo (Brazil, Southern America)",NA,239097-2,NA,NA,www.ipni.org/n/239097-2,IPNI
Solanum maracayuense,Solanaceae,Solanum,maracayuense,Bitter,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 11: 227. 1912 ,Repert. Spec. Nov. Regni Veg.,1912,11: 227,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,239232-2,NA,NA,www.ipni.org/n/239232-2,IPNI
Solanum pseudomelongena,Solanaceae,Solanum,pseudomelongena,Ten.,tax_nov,spec.,"Ann. Sci. Nat., Bot. ser. 3, 14: 345. 1850 (as Pseudo-Melongena)","Ann. Sci. Nat., Bot.",1850,"ser. 3, 14: 345",525-2,NA,NA,NA,NA,Brazil (Southern America),Hortus Neapolitanus (cultivated).,60457685-2,NA,NA,www.ipni.org/n/60457685-2,IPNI
Solanum saldanhaei,Solanaceae,Solanum,saldanhaei,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 496. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 496,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,239639-2,NA,NA,www.ipni.org/n/239639-2,IPNI
Solanum sarachoides,Solanaceae,Solanum,sarachoides,Sendtn.,tax_nov,spec.,"Fl. Bras. (Martius) 10: 18, t. 1. 1846 [1 Jul 1846] ",Fl. Bras. (Martius),1846,"10: 18, t. 1",629-2,NA,NA,NA,NA,Brazil (Southern America),NA,330680-2,1 Jul 1846,NA,www.ipni.org/n/330680-2,IPNI
Solanum subsylvestris,Solanaceae,Solanum,subsylvestris,L.B.Sm. & Downs,tax_nov,spec.,Phytologia 10: 429. 1964 ,Phytologia,1964,10: 429,1034-2,NA,NA,NA,NA,"Santa Catarina (Brazil, Southern America)",NA,239802-2,NA,NA,www.ipni.org/n/239802-2,IPNI
