name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Ipomoea hypoleuca,Convolvulaceae,Ipomoea,hypoleuca,Taub.,tax_nov,spec.,Bot. Jahrb. Syst. 21(4): 449. 1895 [1895] ;  a preprint,Bot. Jahrb. Syst.,1895,21(4): 449,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,129400-2,1895,NA,www.ipni.org/n/129400-2,IPNI
Ipomoea lanifolia,Convolvulaceae,Ipomoea,lanifolia,D.Santos & Buril,tax_nov,spec.,Rodriguésia 72(e00782020): 3. 2021 [epublished],Rodriguésia,2021,72(e00782020): 3,1167-2,holotype EAC;isotype HUEFS;isotype HUVA;isotype K;isotype RB,E.B.Souza et al.,4626,21 May 2017,"Ceará (Brazil Northeast, Brazil, Southern America)","Tianguá, Queimadas, Serra da Ibiapaba",77296019-1,NA,doi:10.1590/2175-7860202172076 Etymology: 'The name of this species refers to the remarkable dense woolly indumentum covering the entire plant'.,www.ipni.org/n/77296019-1,IPNI
Ipomoea marabensis,Convolvulaceae,Ipomoea,marabensis,D.F.Austin & Secco,tax_nov,spec.,"Bol. Mus. Paraense Emilio Goeldi, N.S., Bot. 4: 188, fig. 1988 ","Bol. Mus. Paraense Emilio Goeldi, N.S., Bot.",1988,"4: 188, fig",1871-2,holotype MG,"Secco, Bahia",730,NA,Brazil (Southern America),NA,278834-2,NA,NA,www.ipni.org/n/278834-2,IPNI
Ipomoea papillosa,Convolvulaceae,Ipomoea,papillosa,Bertol.,tax_nov,spec.,et Giorn. Arcad. 29: 343 (1826);. ,et Giorn. Arcad.,1826,29: 343 (1826);,NA,NA,NA,NA,NA,Brazil.,NA,2927723-1,1826,NA,www.ipni.org/n/2927723-1,IPNI
Ipomoea paraensis,Convolvulaceae,Ipomoea,paraensis,Peter,tax_nov,spec.,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3a: 30. 1891 ",Nat. Pflanzenfam. [Engler & Prantl],1891,"4, Abt. 3a: 30",14495-2,NA,NA,NA,NA,Brazil (Southern America),NA,129553-2,NA,NA,www.ipni.org/n/129553-2,IPNI
Ipomoea paranaenensis,Convolvulaceae,Ipomoea,paranaenensis,Hoehne,tax_nov,spec.,"Bol. Agric. (Sao Paulo) 35: 474, tab. 1934 ",Bol. Agric. (Sao Paulo),1934,"35: 474, tab",9000-2,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,129554-2,NA,NA,www.ipni.org/n/129554-2,IPNI
Ipomoea pickelii,Convolvulaceae,Ipomoea,pickelii,Hoehne,tax_nov,spec.,"Bol. Agric. (Sao Paulo) 35: 477, tab. 1934 ",Bol. Agric. (Sao Paulo),1934,"35: 477, tab",9000-2,NA,NA,NA,NA,"Pernambuco (Brazil, Southern America)",NA,129581-2,NA,NA,www.ipni.org/n/129581-2,IPNI
Ipomoea sampaionis,Convolvulaceae,Ipomoea,sampaionis,Herter,tax_nov,spec.,"Arq. Mus. Nac. Rio de Janeiro 18: 13, 28. 1916 ",Arq. Mus. Nac. Rio de Janeiro,1916,"18: 13, 28",3790-2,NA,NA,NA,NA,Brazil (Southern America),NA,129680-2,NA,NA,www.ipni.org/n/129680-2,IPNI
Ipomoea supersticiosa,Convolvulaceae,Ipomoea,supersticiosa,Barb.Rodr.,tax_nov,spec.,"Vellosia ed. 2, 1: 61, pl. 17. 1891 as superstitiosa",Vellosia,1891,"ed. 2, 1: 61, pl. 17",3884-2,NA,NA,NA,NA,Brazil (Southern America),NA,129740-2,NA,NA,www.ipni.org/n/129740-2,IPNI
Jacquemontia atlantica,Convolvulaceae,Jacquemontia,atlantica,S.C.Nepom. & Buril,tax_nov,spec.,Syst. Bot. 47(3): 761. 2022 [16 Sep 2022] [epublished],Syst. Bot.,2022,47(3): 761,1295-2,holotype PEUFR,Staples et al.,1717,10 Nov 2015,"Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);Paraíba (Brazil Northeast, Brazil, Southern America);Pernambuco (Brazil Northeast, Brazil, Southern America);Rio Grande do Norte (Brazil Northeast, Brazil, Southern America);Sergipe (Brazil Northeast, Brazil, Southern America);","Pernambuco: Igarassu, R.P.P.N. Fazenda Tabatinga, in patch of Atlantic forest between ocean beach and main road (Hwy PE-49), near gate to prawn farm-aquaculture area.",77313423-1,16 Sep 2022,"doi:10.1600/036364422X16573019348292 Etymology: name refers to the species' area of occurrence, the Atlantic Forest, and honours this phytogeographic domain whose preservation is urgent.",www.ipni.org/n/77313423-1,IPNI
