name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Digitaria induta,Poaceae,Digitaria,induta,Swallen,tax_nov,spec.,Contr. U.S. Natl. Herb. 29: 266. 1949 ,Contr. U.S. Natl. Herb.,1949,29: 266,605-2,NA,NA,NA,NA,"Maranhao (Brazil, Southern America)",NA,80266-2,NA,NA,www.ipni.org/n/80266-2,IPNI
Digitaria sabulicola,Poaceae,Digitaria,sabulicola,Henrard,tax_nov,spec.,Blumea 1: 108. 1934 ,Blumea,1934,1: 108,549-2,NA,NA,NA,NA,"Espirito Santo (Brazil, Southern America)",NA,80314-2,NA,NA,www.ipni.org/n/80314-2,IPNI
Diplachne barbata,Poaceae,Diplachne,barbata,Hack.,tax_nov,spec.,Oesterr. Bot. Z. 52: 240. 1902 ,Oesterr. Bot. Z.,1902,52: 240,768-2,holotype W,J.H.R.Schenck,4310,NA,"Pernambuco (Brazil, Southern America)",NA,310986-2,NA,NA,www.ipni.org/n/310986-2,IPNI
Diplachne cearensis,Poaceae,Diplachne,cearensis,Ekman,tax_nov,spec.,"Ark. Bot. 10, no. 17: 32, pl. 5, 6. 1911 ",Ark. Bot.,1911,"10, no. 17: 32, pl. 5, 6",536-2,NA,NA,NA,NA,Brazil (Southern America),NA,81359-2,NA,NA,www.ipni.org/n/81359-2,IPNI
Eleusine barbata,Poaceae,Eleusine,barbata,Desv.,tax_nov,spec.,Opusc. Sci. Phys. Nat. 1: 140. 1831 ,Opusc. Sci. Phys. Nat.,1831,1: 140,8140-2,NA,NA,NA,NA,Brazil (Southern America),NA,305231-2,NA,NA,www.ipni.org/n/305231-2,IPNI
Elionurus planifolius,Poaceae,Elionurus,planifolius,Renvoize,tax_nov,spec.,Kew Bull. 32(3): 669. 1978 [19 Apr 1978] ,Kew Bull.,1978,32(3): 669,987-2,holotype K,Harley et al,10852,NA,Brazil (Southern America),NA,90414-2,19 Apr 1978,NA,www.ipni.org/n/90414-2,IPNI
Eragrostis multipes,Poaceae,Eragrostis,multipes,S.Moore,tax_nov,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 511. 1895 ","Trans. Linn. Soc. London, Bot.",1895,"ser. 2, 4: 511",1084-2,null BM,S.L.Moore,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,93157-2,NA,NA,www.ipni.org/n/93157-2,IPNI
Eragrostis polyneura,Poaceae,Eragrostis,polyneura,Jedwabn.,tax_nov,spec.,Bot. Arch. 5(3-4): 205. 1924 ,Bot. Arch.,1924,5(3-4): 205,1652-2,NA,A.F.M.Glaziou,18559,NA,Brazil (Southern America),NA,93188-2,NA,NA,www.ipni.org/n/93188-2,IPNI
Eremitis aemula,Poaceae,Eremitis,aemula,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,"Acta Bot. Brasil. 36-e2021abb0030: 2, figs. 1-2. 2022 [15 Apr 2022] [epublished]",Acta Bot. Brasil.,2022,"36-e2021abb0030: 2, figs. 1-2",1225-2,holotype HUEFS;isotype BHCB;isotype CEN;isotype CEPEC;isotype CESJ;isotype CVRD;isotype HUFU;isotype ICN;isotype ISC;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype US,"F.M. Ferreira, P.L. Viana &amp; M.O.D. Pivari",2152,8 Jul 2009,"Minas Gerais (Brazil, Southern America)","Santa Maria do Salto, Alto Cariri State Park",77299538-1,15 Apr 2022,"Etymology: 'The specific epithet “aemula”, from the Latin, means “what imitates, who seeks to match” (Faria 1956), a reference to the morphological complexity of the new species, overlapping other congeneric species in various morphological characters' doi:10.1590/0102-33062021abb0030",www.ipni.org/n/77299538-1,IPNI
Eremitis berbertii,Poaceae,Eremitis,berbertii,F.M.Ferreira & R.P.Oliveira,tax_nov,spec.,Novon 28(4): 242. 2020 [12 Nov 2020] [epublished],Novon,2020,28(4): 242,14256-2,holotype HUEFS;isotype BHCB;isotype BR;isotype CEN;isotype CEPEC;isotype CESJ;isotype CVRD;isotype F;isotype HUFU;isotype ICN;isotype K;isotype MBM;isotype MO;isotype P;isotype R;isotype RB;isotype SP;isotype SPF;isotype US;isotype ISC,F.M.Ferreira &amp; A.L.C.Lima,2212,12 Nov 2009,"Bahia (Brazil Northeast, Brazil, Southern America)","Jussari, Private Reserve of Natural Heritage (RPPN) Serra do Teimoso",77213762-1,12 Nov 2020,"doi:10.3417/2020562 The specific epithet honours Mr. Henrique Berbert (in memoriam), owner of the RPPN Serra do Teimoso and a great defender of the Atlantic forest of southern Bahia.",www.ipni.org/n/77213762-1,IPNI
