name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Heteropterys ocellata,Malpighiaceae,Heteropterys,ocellata,L.B.Sm.,tax_nov,spec.,"J. Wash. Acad. Sci. 45: 197, fig. 5-9. 1955 ",J. Wash. Acad. Sci.,1955,"45: 197, fig. 5-9",686-2,NA,NA,NA,NA,"Minas Gerais (Brazil, Southern America)",NA,121286-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1955&rft.spage=197&rft.volume=45&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121286-2,IPNI,NA
Heteropterys praecox,Malpighiaceae,Heteropterys,praecox,Nied.,tax_nov,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 24. 1903 De genere Heteropteryge,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 24,8771-2,NA,NA,NA,NA,Brazil (Southern America),NA,121310-2,NA,NA,NA,www.ipni.org/n/121310-2,IPNI,NA
Heteropterys rosea,Malpighiaceae,Heteropterys,rosea,Kralik,tax_nov,spec.,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 79: 281. 1908 ","Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.",1908,79: 281,610-2,NA,NA,NA,NA,Brazil (Southern America),NA,121329-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=281&rft.volume=79&rft_id=http://www.biodiversitylibrary.org/bibliography/6733&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/121329-2,IPNI,NA
Heteropterys schenckiana,Malpighiaceae,Heteropterys,schenckiana,Nied.,tax_nov,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 33. 1903 De genere Heteropteryge,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 33,8771-2,NA,NA,NA,NA,Brazil (Southern America),NA,121337-2,NA,NA,NA,www.ipni.org/n/121337-2,IPNI,NA
Heteropterys transiens,Malpighiaceae,Heteropterys,transiens,Nied.,tax_nov,spec.,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 2: 39. 1903 De genere Heteropteryge,Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg,1903,2: 39,8771-2,NA,NA,NA,NA,Brazil (Southern America),NA,121358-2,NA,NA,NA,www.ipni.org/n/121358-2,IPNI,NA
Hiraea cordifolia,Malpighiaceae,Hiraea,cordifolia,A.Juss.,tax_nov,spec.,"Fl. Bras. Merid. (A. St.-Hil.). 3(21): 19, pl. 164. 1833 [4 Feb 1833] ",Fl. Bras. Merid. (A. St.-Hil.).,1833,"3(21): 19, pl. 164",8262-2,lectotype P;isotype P,A.F.C.P.de Saint-Hilaire,NA,NA,Brazil (Southern America),near Curumatahy,301394-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1833&rft.issue=21&rft.spage=19&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/45474&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,4 Feb 1833,NA,www.ipni.org/n/301394-2,IPNI,NA
Hiraea glabrata,Malpighiaceae,Hiraea,glabrata,W.R.Anderson & C.Davis,tax_nov,spec.,Contr. Univ. Michigan Herb. 24: 43 (-44). 2005 [7 Feb 2005] ,Contr. Univ. Michigan Herb.,2005,24: 43 (-44),1151-2,holotype INPA;isotype MICH;isotype NY,"M. G. Vieira, J. L. Zarucchi, Silva, C. D. A. Mota &amp; J. F. Ramos",390,11 Oct 1979,"Rondonia (Terr.) (Brazil, Southern America)","Mineraçao Taboca, capoeira, solo pedregoso",60438527-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/12697880&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,7 Feb 2005,NA,www.ipni.org/n/60438527-2,IPNI,NA
Hiraea parvifolia,Malpighiaceae,Hiraea,parvifolia,Nied.,tax_nov,spec.,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 2. 1891 [5 May 1891] ",Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 2",553-2,holotype B?;isotype P?,A. F. M. Glaziou,11810,NA,Brazil (Southern America),NA,30145876-2,NA,5 May 1891,NA,www.ipni.org/n/30145876-2,IPNI,NA
Malpighia macrophylla,Malpighiaceae,Malpighia,macrophylla,Pers.,tax_nov,spec.,Syn. Pl. [Persoon] 1: 506. 1805 ,Syn. Pl. [Persoon],1805,1: 506,1079-2,holotype P-JU,KGANDHI²ESHAW²ESHAW,NA,NA,Brazil (Southern America),NA,308406-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/235291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/308406-2,IPNI,NA
Mascagnia parvifolia,Malpighiaceae,Mascagnia,parvifolia,Nied.,tax_nov,spec.,"Bot. Jahrb. Syst. 14(1-2, Beibl. 30): 2. 1891 [5 May 1891] ",Bot. Jahrb. Syst.,1891,"14(1-2, Beibl. 30): 2",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,153845-2,NA,5 May 1891,NA,www.ipni.org/n/153845-2,IPNI,NA
