name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Laxoplumeria longipetiolata,Apocynaceae,Laxoplumeria,longipetiolata,J.F.Morales,tax_nov,spec.,Phytotaxa 343(1): 39. 2018 [6 Mar 2018] [epublished],Phytotaxa,2018,343(1): 39,20011462-1,holotype WAG;isotype MO;isotype NY,Kawasaki,112,12 Nov 1987,"Amazonas (Brazil North, Brazil, Southern America)","Boca do rio Içana, local chamado Boa Vista (antigo Grilo)",77177551-1,NA,6 Mar 2018,doi:10.11646/phytotaxa.343.1.3,www.ipni.org/n/77177551-1,IPNI,https://doi.org/10.11646/phytotaxa.343.1.3
Laxoplumeria verticillata,Apocynaceae,Laxoplumeria,verticillata,J.F.Morales & I.L.Morais,tax_nov,spec.,Phytotaxa 343(1): 45. 2018 [6 Mar 2018] [epublished],Phytotaxa,2018,343(1): 45,20011462-1,holotype BHCB;isotype CR;isotype MO;isotype WAG,Mendes-Magalhães,15670,16 Nov 1959,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);","Minas Gerais: Novo Cruzeiro, Estrela, estrada para Lufa",77177552-1,NA,6 Mar 2018,doi:10.11646/phytotaxa.343.1.3,www.ipni.org/n/77177552-1,IPNI,https://doi.org/10.11646/phytotaxa.343.1.3
Mandevilla bullata,Apocynaceae,Mandevilla,bullata,J.F.Morales & L.Kollmann,tax_nov,spec.,"Darwiniana n.s., 8(2): 451. 2020 [3 Sep 2020] [epublished]",Darwiniana,2020,"n.s., 8(2): 451",900-2,holotype SP;isotype CR;isotype K 000989062; 000989063,"N.Roque, C.M.Sakuragui, R.M.Harley, P.T.Sano &amp; V.C.Souza",15044,15 Mar 1994,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Goiás (Brazil West-Central, Brazil, Southern America);","Minas Gerais, divisa entre municipios de Espinosa e Montezuma, a 35 km de Serra do Pau D`Arco, 1300-1400 m",77222856-1,NA,3 Sep 2020,doi:10.14522/darwiniana.2020.82.903 The name refers to the bullate leaf blade.,www.ipni.org/n/77222856-1,IPNI,https://doi.org/10.14522/darwiniana.2020.82.903
Mandevilla calcicola,Apocynaceae,Mandevilla,calcicola,"J.F.Morales, M.E.Endress & I.L.Morais",tax_nov,spec.,Acta Bot. Brasil. 37-e20230123: 2. [27 Oct 2023] [epublished],Acta Bot. Brasil.,2023,37-e20230123: 2,1225-2,holotype JAR;isotype HUFU,I.L.de Morais &amp; J.F.Morales,5850,6 Jan 2020,"Goiás (Brazil West-Central, Brazil, Southern America)","Estrada GO-50, c. 30 km após a cidade de Motividiu, estrada para Paraúna, Ponte de Pedra, margens do Ribeirão Corrente",77333266-1,NA,27 Oct 2023,doi:10.1590/1677-941X-ABB-2023-0123 Etymology: 'The name refers to the limestone cliff habitat where it grows'.,www.ipni.org/n/77333266-1,IPNI,https://doi.org/10.1590/1677-941X-ABB-2023-0123
Mandevilla declinata,Apocynaceae,Mandevilla,declinata,"J.F.Morales, A.P.Fontana & L.Kollmann",tax_nov,spec.,Syst. Bot. 47(4): 1081. 2022 [12 Dec 2022] [epublished],Syst. Bot.,2022,47(4): 1081,1295-2,holotype MBML MBML036948,"A. P. Fontana, J. F. Morales and M. Demuner",5702,22 Nov 2008,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Afonso Claudio, Serra Pelada, Pedra dos Tres Pontoes",77314571-1,NA,12 Dec 2022,"doi:10.1600/036364422X16674053033912 Etymology: name refers to the habit, usually with the main stem declinate or curving downwards at the steep slopes of rocky outcrops.",www.ipni.org/n/77314571-1,IPNI,https://doi.org/10.1600/036364422X16674053033912
Mandevilla fornograndensis,Apocynaceae,Mandevilla,fornograndensis,"J.F.Morales, L.Kollmann & Fraga",tax_nov,spec.,Syst. Bot. 47(4): 1082. 2022 [12 Dec 2022] [epublished],Syst. Bot.,2022,47(4): 1082,1295-2,holotype MBML MBML024116,"A. P. Fontana, L. Kollmann and R. L. Kollmann",967,30 Oct 2004,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Castelo, Forno Grande, Forninho, 1600 m",77314572-1,NA,12 Dec 2022,doi:10.1600/036364422X16674053033912,www.ipni.org/n/77314572-1,IPNI,https://doi.org/10.1600/036364422X16674053033912
Mandevilla manicorensis,Apocynaceae,Mandevilla,manicorensis,"C.A.Coelho, B.S.Amorim & J.F.Morales",tax_nov,spec.,Syst. Bot. 45(2): 323. 2020 [13 May 2020] [epublished],Syst. Bot.,2020,45(2): 323,1295-2,holotype INPA;isotype HUEFS;isotype MO;isotype RB,C.Almeida &amp; A.Castro,205,22 Dec 2018,"Amazonas (Brazil North, Brazil, Southern America)","Municipality of Manicoré, estrada do Hotel de Selva",77210787-1,NA,13 May 2020,doi:10.1600/036364420X15862838474060,www.ipni.org/n/77210787-1,IPNI,https://doi.org/10.1600/036364420X15862838474060
Mandevilla mysteriosa,Apocynaceae,Mandevilla,mysteriosa,"J.F.Morales, A.P.Fontana & Fraga",tax_nov,spec.,Syst. Bot. 47(4): 1085. 2022 [12 Dec 2022] [epublished],Syst. Bot.,2022,47(4): 1085,1295-2,holotype MBML MBML024054,"A.P.Fontana, C.Esgario, R.C. de Brito, F.Fadini and L.N.Lima",1071,15 Nov 2004,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Sao Roque do Canaa, Alto Misterioso, Pedra 2",77314573-1,NA,12 Dec 2022,"doi:10.1600/036364422X16674053033912 Etymology: name refers to the type locality Alto Misterioso (Mysterious Hill), a formation of inselbergs located at Sao Roque do Canaa, Espirito Santo.",www.ipni.org/n/77314573-1,IPNI,https://doi.org/10.1600/036364422X16674053033912
Mandevilla obovata,Apocynaceae,Mandevilla,obovata,"J.F.Morales, A.P.Fontana & Fraga",tax_nov,spec.,Syst. Bot. 47(4): 1085. 2022 [12 Dec 2022] [epublished],Syst. Bot.,2022,47(4): 1085,1295-2,holotype MBML MBML030700;isotype CR,"L. Kollmann, A. P. Fontana and K. Brahim",9785,17 May 2007,"Espírito Santo (Brazil Southeast, Brazil, Southern America)","Sao Roque de Canaa, Pedra dos Tres Carneiros",77314574-1,NA,12 Dec 2022,doi:10.1600/036364422X16674053033912 Etymology: name refers to the obovate shape of its leaf blades.,www.ipni.org/n/77314574-1,IPNI,https://doi.org/10.1600/036364422X16674053033912
Mandevilla parvifolia,Apocynaceae,Mandevilla,parvifolia,K.Schum.,tax_nov,spec.,Bot. Jahrb. Syst. 40(2): 163. 1907 [2 Aug 1907] ,Bot. Jahrb. Syst.,1907,40(2): 163,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,152030-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.issue=2&rft.spage=163&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,2 Aug 1907,NA,www.ipni.org/n/152030-2,IPNI,NA
