name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Pharmacosycea brittonii,Moraceae,Pharmacosycea,brittonii,Rusby,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 28: 309. 1901 ,Bull. Torrey Bot. Club,1901,28: 309,586-2,FALSE,NA,NA,NA,NA,Bolivia and Brazil,NA,192317-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/728866&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/192317-2,IPNI,NA,NA,NA,NA,
Pharmacosycea crebrinervis,Moraceae,Pharmacosycea,crebrinervis,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,192318-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/192318-2,IPNI,NA,NA,NA,NA,
Pharmacosycea duplojuncta,Moraceae,Pharmacosycea,duplojuncta,Warb.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 59(Mém. 3g): 643. 1913 ,Bull. Soc. Bot. France,1913,59(Mém. 3g): 643,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,192319-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/192319-2,IPNI,NA,NA,NA,NA,
Piratinera angustifolia,Moraceae,Piratinera,angustifolia,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (-25). 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (-25)",848-2,FALSE,holotype RB,A. Ducke,16594,11 Dec 1916,Brazil (Southern America),"prope Victoria ad Tucuruhy fluvii Xingú inferioris affluentem, 1.",60449803-2,TRUE,NA,NA,An alternative name to Brosimum angustifolium Ducke (1922).,NA,www.ipni.org/n/60449803-2,IPNI,NA,NA,NA,NA,
Piratinera glaucifolia,Moraceae,Piratinera,glaucifolia,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (29). 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (29)",848-2,FALSE,holotype RB,A. Ducke,17265,26 Aug 1918,Brazil (Southern America),"montium Arumanduba prope Almeirim, 1.",60449804-2,TRUE,NA,NA,An alternative name to Brosimum glaucifolium Ducke (1922).,NA,www.ipni.org/n/60449804-2,IPNI,NA,NA,NA,NA,
Piratinera lecointei,Moraceae,Piratinera,lecointei,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (28-29). 1922 (as  Le Cointei)",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (28-29)",848-2,FALSE,lectotype RB;isolectotype BM;isolectotype F;isolectotype G;isolectotype NY;isolectotype P;isolectotype U;isolectotype US,A. Ducke,15694,27 Feb 1915,"Pará (Brazil, Southern America)","Oriximiná, ad flumen Trombetas inferius",60449806-2,TRUE,NA,NA,"An alternative name to Brosimum lecointei Ducke (1922). The LT. information is from Berg, Fl. Neotrop. Monogr. 7: 181. 1972.",(as  Le Cointei),www.ipni.org/n/60449806-2,IPNI,NA,NA,NA,NA,
Piratinera ovatifolia,Moraceae,Piratinera,ovatifolia,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (25-26). 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (25-26)",848-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,77093741-1,TRUE,NA,NA,An alternative name to Brosimum ovatifolium Ducke (1922),NA,www.ipni.org/n/77093741-1,IPNI,NA,NA,NA,NA,
Piratinera parinarioides,Moraceae,Piratinera,parinarioides,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (27-28). 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (27-28)",848-2,FALSE,lectotype RB,A. Ducke,15109,7 Dec 1913,"Pará (Brazil, Southern America)","silvis ad Obidos, terris altis",77093742-1,TRUE,NA,NA,"An alternative name to Brosimum parinarioides Ducke (1922). The LT. information is from Berg, Fl. Neotrop. Monogr. 7: 206. 1972.",NA,www.ipni.org/n/77093742-1,IPNI,NA,NA,NA,NA,
Piratinera potabilis,Moraceae,Piratinera,potabilis,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (26). 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (26)",848-2,FALSE,lectotype RB;isolectotype B;isolectotype F;isolectotype G;isolectotype MG;isolectotype P;isolectotype US,A. Ducke,10521,22 Jan 1910,"Pará (Brazil, Southern America)",prope Faro,77093743-1,TRUE,NA,NA,"An alternative name to Brosimum potabile Ducke (1922). The LT. information is from Berg, Fl. Neotrop. Monogr. 7: 204. 1972.",NA,www.ipni.org/n/77093743-1,IPNI,NA,NA,NA,NA,
Piratinera rigida,Moraceae,Piratinera,rigida,Ducke,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 3: 24, footnote (27). 1922 ",Arch. Jard. Bot. Rio de Janeiro,1922,"3: 24, footnote (27)",848-2,FALSE,holotype RB,A. Ducke,14966,12 Oct 1913,Brazil (Southern America),terris altis flumina Cuminá-mirim et Ariramba (regione fluminis Trombetas) silva primaria,77093744-1,TRUE,NA,NA,An alternative name to Brosimum rigidum Ducke (1922).,NA,www.ipni.org/n/77093744-1,IPNI,NA,NA,NA,NA,
