name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Justicia paraensis,Acanthaceae,Justicia,paraensis,"F.A.Silva, A.Gil & Kameyama",tax_nov,spec.,Syst. Bot. 46(2): 439. 2021 [11 Aug 2021] [epublished],Syst. Bot.,2021,46(2): 439,1295-2,holotype MG;isotype HCJS,D.F.Silva,851,25 Jul 2013,"Pará (Brazil North, Brazil, Southern America)","Parauapebas, estrada interna do Loteamento Chico Oliveira",77254316-1,NA,11 Aug 2021,doi:10.1600/036364421X16231782047389,www.ipni.org/n/77254316-1,IPNI,https://doi.org/10.1600/036364421X16231782047389
Justicia praetermissa,Acanthaceae,Justicia,praetermissa,Wassh. & J.R.I.Wood,tax_nov,spec.,Kew Bull. 58(4): 779. 2004 [2003 publ. 9 Feb 2004] ,Kew Bull.,2004,58(4): 779,987-2,holotype K;isotype US;isotype LPB;isotype USZ,J.R.I.Wood; D.J.Goyder,16855,19 Jan 2001,"Bolivia (Western South America, Southern America);Paraguay (Southern South America, Southern America);Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America);","Santa Cruz: Alto Camiri, 1-2km from main highway, c. 3km S of Camiri, 850m",60426702-2,NA,2003 publ. 9 Feb 2004,NA,www.ipni.org/n/60426702-2,IPNI,NA
Justicia pusilla,Acanthaceae,Justicia,pusilla,M.J.Silva,tax_nov,spec.,Phytotaxa 525(1): 38. 2021 [11 Nov 2021] [epublished],Phytotaxa,2021,525(1): 38,20011462-1,holotype UFG;isotype CEN;isotype RB;isotype UB,M.J.Silva &amp; I.S.Santos,12685,23 Jun 2021,"Goiás (Brazil West-Central, Brazil, Southern America)","Niquelândia, Reserva particular de Desenvolvimento Sustentável Legado Verdes do Cerrado, Núcleo Engenho, Córrego da Sociedade, c. 150 m a partir do Corrégo, 629 m",77222550-1,NA,11 Nov 2021,"doi:10.11646/phytotaxa.525.1.4 The specific epithet is derived from the Latin 'pusillus', alluding to the small size of the species as compared to congeners.",www.ipni.org/n/77222550-1,IPNI,https://doi.org/10.11646/phytotaxa.525.1.4
Justicia schwackeana,Acanthaceae,Justicia,schwackeana,Lindau,tax_nov,spec.,Bull. Herb. Boissier 3: 482. 1895 ,Bull. Herb. Boissier,1895,3: 482,573-2,NA,NA,NA,NA,Brazil (Southern America),NA,133102-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=482&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/133102-2,IPNI,NA
Justicia spathulata,Acanthaceae,Justicia,spathulata,Nees & Mart.,tax_nov,spec.,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11(1): 55. 1823 ,Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.,1823,11(1): 55,1025-2,null B,F.Sellow,s.n.,NA,Brazil (Southern America),NA,324231-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1823&rft.issue=1&rft.spage=55&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/65147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,later homonym (non Thunb. 1784); replaced by Beloperone spathulata Nees (1847),www.ipni.org/n/324231-2,IPNI,NA
Justicia wittigiana,Acanthaceae,Justicia,wittigiana,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 536. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 536,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,133166-2,NA,NA,NA,www.ipni.org/n/133166-2,IPNI,NA
Lophostachys reptans,Acanthaceae,Lophostachys,reptans,Lindau,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 195. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 195,3558-2,NA,NA,NA,NA,Brazil (Southern America),NA,143637-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=195&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/143637-2,IPNI,NA
Mendoncia gigas,Acanthaceae,Mendoncia,gigas,Lindau,tax_nov,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 192. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,6: 192,3558-2,NA,NA,NA,NA,Brazil (Southern America),NA,157162-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=192&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/157162-2,IPNI,NA
Mendoncia trichota,Acanthaceae,Mendoncia,trichota,Leonard,tax_nov,spec.,Contr. U.S. Natl. Herb. 31: 674. 1958 ,Contr. U.S. Natl. Herb.,1958,31: 674,605-2,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,157206-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/398637&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/157206-2,IPNI,NA
Morsacanthus nemoralis,Acanthaceae,Morsacanthus,nemoralis,Rizzini,tax_nov,spec.,Revista Brasil. Biol. 12: 261. 1952 ,Revista Brasil. Biol.,1952,12: 261,3736-2,NA,NA,NA,NA,"Paraná (Brazil, Southern America)",NA,164453-2,NA,NA,NA,www.ipni.org/n/164453-2,IPNI,NA
