accepted,author,kingdom,family,name,rank,snippet,url,fqId,images,source,authors,publishingAuthor,authorTeam,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,pageAsText,typeLocations,remarks,referenceRemarks,collectionDate1,locality,typeCoordinates,originalRemarks,bibliographicReference,typeChosenBy,typeRemarks,nameStatus,nameStatusType,originalTaxonDistribution,typeNote,bibliographicTypeInfo,typeName,collectionDate2,originalBasionymAuthorTeam,originalHybridParentage,basionymAuthorStr,otherLinks,nameStatusBotCode,basionymStr,basionymId
NA,NA,NA,Malvaceae,Sida compressi-caulis,spec.,NA,/n/235602-2,urn:lsid:ipni.org:names:235602-2,,IPNI,Larrañaga,Larrañaga,,Sida,compressi-caulis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Escritos Damaso Antonio Larranaga,1922,NA,1: 413,1322-2,citation,Escritos Damaso Antonio Larranaga 1: 413. 1922 Pub. Inst. Hist. Geog. Uruguay,FALSE,TRUE,1.1.1.1.2.1.1.1,235602-2,wfo-0000501745,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Pub. Inst. Hist. Geog. Uruguay,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Melastomataceae,Behuria souza-limae,spec.,NA,/n/31035-2,urn:lsid:ipni.org:names:31035-2,,IPNI,Brade,Brade,,Behuria,souza-limae,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Rodriguésia,1945,NA,"9: [3], tab. 1, 2",1167-2,citation,"Rodriguésia 9: [3], tab. 1, 2. 1945 ",FALSE,TRUE,1.3,31035-2,wfo-0001279882,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Melastomataceae,Lavoisiera campos-portoana,spec.,NA,/n/136363-2,urn:lsid:ipni.org:names:136363-2,,IPNI,Barreto,Barreto,,Lavoisiera,campos-portoana,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Inst. Biol. Veg.,1935,Sep 1935,"2(1): 8, pl. 1",851-2,citation,"Arq. Inst. Biol. Veg. 2(1): 8, pl. 1. 1935 [Sep 1935] ",FALSE,TRUE,1.3,136363-2,wfo-0001280218,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=8&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Melastomataceae,Lavoisiera marques-lisboana,spec.,NA,/n/136394-2,urn:lsid:ipni.org:names:136394-2,,IPNI,Barreto,Barreto,,Lavoisiera,marques-lisboana,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Inst. Biol. Veg.,1935,Sep 1935,"2(1): 9, pl. 2",851-2,citation,"Arq. Inst. Biol. Veg. 2(1): 9, pl. 2. 1935 [Sep 1935] ",FALSE,TRUE,1.3,136394-2,wfo-0000158099,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.issue=1&rft.spage=9&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/115964&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Melastomataceae,Lavoisiera mello-barretoi,spec.,NA,/n/136395-2,urn:lsid:ipni.org:names:136395-2,,IPNI,Markgr.,Markgr.,,Lavoisiera,mello-barretoi,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1940,NA,15: 220,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 15: 220. 1940 ,FALSE,TRUE,1.3,136395-2,wfo-0001280220,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=220&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Melastomataceae,Miconia setoso-ciliata,spec.,NA,/n/159726-2,urn:lsid:ipni.org:names:159726-2,,IPNI,Cogn.,Cogn.,,Miconia,setoso-ciliata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Monogr. Phan. [A.DC. & C.DC.],1891,Jun 1891,7: 843,3279-2,citation,Monogr. Phan. [A.DC. & C.DC.] 7: 843. 1891 [Jun 1891] ,FALSE,TRUE,1.3.1.5,159726-2,wfo-0001079853,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.spage=843&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/45961&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Moraceae,Dorstenia pseudo-opifera,spec.,NA,/n/83107-2,urn:lsid:ipni.org:names:83107-2,,IPNI,Hassl.,Hassl.,,Dorstenia,pseudo-opifera,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1919,NA,21: 117,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 21: 117. 1919 ,FALSE,TRUE,1.3,83107-2,wfo-0000654603,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=117&rft.volume=21&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Moraceae,Ficus griseo-puberula,spec.,NA,/n/104553-2,urn:lsid:ipni.org:names:104553-2,,IPNI,Warb.,Warb.,,Ficus,griseo-puberula,tax. nov.,Brazil (Southern America),FALSE,FALSE,FALSE,,Bull. Soc. Bot. France,1913,NA,59(Mém. 3g): 641,578-2,citation,Bull. Soc. Bot. France 59(Mém. 3g): 641. 1913 ,FALSE,TRUE,1.4,104553-2,wfo-0001084882,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Myrtaceae,Eugenia curvato-petiolata,spec.,NA,/n/98276-2,urn:lsid:ipni.org:names:98276-2,,IPNI,Kiaersk.,Kiaersk.,,Eugenia,curvato-petiolata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Enum. Myrt. Bras.,1893,NA,"133, pl. 18, fig. d",14271-2,citation,"Enum. Myrt. Bras. 133, pl. 18, fig. d. 1893 ",FALSE,TRUE,1.2,98276-2,wfo-0000957029,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Myrtaceae,Eugenia robusto-venosa,spec.,NA,/n/98953-2,urn:lsid:ipni.org:names:98953-2,,IPNI,Kiaersk.,Kiaersk.,,Eugenia,robusto-venosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Enum. Myrt. Bras.,1893,NA,"137, pl. 21, fig. c",14271-2,citation,"Enum. Myrt. Bras. 137, pl. 21, fig. c. 1893 ",FALSE,TRUE,1.2,98953-2,wfo-0000958875,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Myrtaceae,Eugenia seriato-pedunculata,spec.,NA,/n/99003-2,urn:lsid:ipni.org:names:99003-2,,IPNI,Kiaersk.,Kiaersk.,,Eugenia,seriato-pedunculata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Enum. Myrt. Bras.,1893,NA,"170, tab. 23f",14271-2,citation,"Enum. Myrt. Bras. 170, tab. 23f. 1893 Warming, Symb. Fl. Brasil. Cogn. pt. 39",FALSE,TRUE,1.3,99003-2,wfo-0000959030,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"Warming, Symb. Fl. Brasil. Cogn. pt. 39",NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Myrtaceae,Eugenia seriato-racemosa,spec.,NA,/n/99004-2,urn:lsid:ipni.org:names:99004-2,,IPNI,Kiaersk.,Kiaersk.,,Eugenia,seriato-racemosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Enum. Myrt. Bras.,1893,NA,"151, pl. 21, fig. d",14271-2,citation,"Enum. Myrt. Bras. 151, pl. 21, fig. d. 1893 ",FALSE,TRUE,1.2,99004-2,wfo-0000959031,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
