family,genus,species,author,accepted,kingdom,name,rank,snippet,url,fqId,images
Alismataceae,Aquarius,lanceolatus,(Rataj) Christenh. & Byng,TRUE,Plantae,Aquarius_lanceolatus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182531-1,urn:lsid:ipni.org:names:77182531-1,
Alismataceae,Aquarius,major,(Micheli) Christenh. & Byng,TRUE,Plantae,Aquarius_major,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183234-1,urn:lsid:ipni.org:names:77183234-1,
Alismataceae,Aquarius,pubescens,(Mart. ex Schult.f.) Christenh. & Byng,TRUE,Plantae,Aquarius_pubescens,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182987-1,urn:lsid:ipni.org:names:77182987-1,
Alismataceae,Aquarius,palifolius,(Nees & Mart.) Christenh. & Byng,TRUE,Plantae,Aquarius_palifolius,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182882-1,urn:lsid:ipni.org:names:77182882-1,
Alismataceae,Aquarius,grisebachii,(Small) Christenh. & Byng,TRUE,Plantae,Aquarius_grisebachii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183004-1,urn:lsid:ipni.org:names:77183004-1,
Alismataceae,Aquarius,grandiflorus,(Cham. & Schltdl.) Christenh. & Byng,TRUE,Plantae,Aquarius_grandiflorus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182824-1,urn:lsid:ipni.org:names:77182824-1,
Alismataceae,Aquarius,macrophyllus,(Kunth) Christenh. & Byng,TRUE,Plantae,Aquarius_macrophyllus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183178-1,urn:lsid:ipni.org:names:77183178-1,
Alismataceae,Aquarius,uruguayensis,(Arechav.) Christenh. & Byng,TRUE,Plantae,Aquarius_uruguayensis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182561-1,urn:lsid:ipni.org:names:77182561-1,
Alismataceae,Aquarius,longipetalus,(Micheli) Christenh. & Byng,TRUE,Plantae,Aquarius_longipetalus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182716-1,urn:lsid:ipni.org:names:77182716-1,
Alismataceae,Aquarius,scaber,(Rataj) Christenh. & Byng,TRUE,Plantae,Aquarius_scaber,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182384-1,urn:lsid:ipni.org:names:77182384-1,
Alismataceae,Aquarius,paniculatus,(Micheli) Christenh. & Byng,TRUE,Plantae,Aquarius_paniculatus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77182731-1,urn:lsid:ipni.org:names:77182731-1,
Alismataceae,Aquarius,floribundus,(Seub.) Christenh. & Byng,TRUE,Plantae,Aquarius_floribundus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183476-1,urn:lsid:ipni.org:names:77183476-1,
Alismataceae,Aquarius,subalatus,(Mart. ex Schult.f.) Christenh. & Byng,TRUE,Plantae,Aquarius_subalatus,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77183002-1,urn:lsid:ipni.org:names:77183002-1,
Alstroemeriaceae,Alstroemeria,nervosa,Ravenna,TRUE,Plantae,Alstroemeria_nervosa,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:50426406-2,urn:lsid:ipni.org:names:50426406-2,
Amaranthaceae,Gomphrena,equisetiformis,R.E.Fr.,TRUE,Plantae,Gomphrena_equisetiformis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:111935-2,urn:lsid:ipni.org:names:111935-2,
Amaranthaceae,Alternanthera,glaziovii,R.E.Fr.,TRUE,Plantae,Alternanthera_glaziovii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:10360-2,urn:lsid:ipni.org:names:10360-2,
Amaranthaceae,Alternanthera,philippo-coburgii,(Zahlbr. ex Wawra) Suess.,TRUE,Plantae,Alternanthera_philippo-coburgii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:10427-2,urn:lsid:ipni.org:names:10427-2,
Amaranthaceae,Celosia,salicifolia,Lopr.,TRUE,Plantae,Celosia_salicifolia,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:51145-2,urn:lsid:ipni.org:names:51145-2,
Amaranthaceae,Gomphrena,anti-lethargica,Silveira,TRUE,Plantae,Gomphrena_anti-lethargica,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:111864-2,urn:lsid:ipni.org:names:111864-2,
Amaranthaceae,Alternanthera,pennelliana,Mears ex Pedersen,TRUE,Plantae,Alternanthera_pennelliana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:999114-1,urn:lsid:ipni.org:names:999114-1,
Amaranthaceae,Gomphrena,gardneri,Moq.,TRUE,Plantae,Gomphrena_gardneri,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:60460-1,urn:lsid:ipni.org:names:60460-1,
Amaranthaceae,Pfaffia,fruticulosa,Suess.,TRUE,Plantae,Pfaffia_fruticulosa,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:191394-2,urn:lsid:ipni.org:names:191394-2,
Amaranthaceae,Amaranthus,rosengurttii,Hunz.,TRUE,Plantae,Amaranthus_rosengurttii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:10702-2,urn:lsid:ipni.org:names:10702-2,
Amaranthaceae,Pfaffia,gleasonii,Suess.,TRUE,Plantae,Pfaffia_gleasonii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:191399-2,urn:lsid:ipni.org:names:191399-2,
Amaranthaceae,Alternanthera,jacquinii,(Schrad.) Alain,TRUE,Plantae,Alternanthera_jacquinii,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:10373-2,urn:lsid:ipni.org:names:10373-2,
Amaranthaceae,Gomphrena,portulacoides,(A.St.-Hil.) T.Ortuño & Borsch,TRUE,Plantae,Gomphrena_portulacoides,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:77215268-1,urn:lsid:ipni.org:names:77215268-1,
Amaranthaceae,Hebanthe,occidentalis,(R.E.Fr.) Borsch & Pedersen,TRUE,Plantae,Hebanthe_occidentalis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:1102545-2,urn:lsid:ipni.org:names:1102545-2,
Amaranthaceae,Salicornia,neei,Lag.,TRUE,Plantae,Salicornia_neei,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:166563-1,urn:lsid:ipni.org:names:166563-1,
Amaranthaceae,Pfaffia,gnaphalioides,(L.f.) Mart.,TRUE,Plantae,Pfaffia_gnaphalioides,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:61046-1,urn:lsid:ipni.org:names:61046-1,
Amaranthaceae,Gomphrena,vermicularis,L.,TRUE,Plantae,Gomphrena_vermicularis,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:112125-2,urn:lsid:ipni.org:names:112125-2,
Amaranthaceae,Alternanthera,bettzickiana,(Regel) G.Nicholson,TRUE,Plantae,Alternanthera_bettzickiana,Species, <b>Location</b>: <em>Brazil</em>,/taxon/urn:lsid:ipni.org:names:10291-2,urn:lsid:ipni.org:names:10291-2,
