name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Dryopteris sellowii,Dryopteridaceae,Dryopteris,sellowii,Hieron.,tax_nov,spec.,"Hedwigia 46: 324, pl.3, f.1. 1907 ",Hedwigia,1907,"46: 324, pl.3, f.1",661-2,NA,NA,NA,NA,Brazil (Southern America),NA,85323-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=324&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85323-2,IPNI,NA
Dryopteris sinuata,Dryopteridaceae,Dryopteris,sinuata,Sehnem,tax_nov,spec.,Fl. Ilustr. Catarin. 1(Aspid.): 242. 1979 ,Fl. Ilustr. Catarin.,1979,1(Aspid.): 242,2164-2,NA,NA,NA,NA,Brazil.,NA,17551620-1,NA,1979,NA,www.ipni.org/n/17551620-1,IPNI,NA
Dryopteris supralineata,Dryopteridaceae,Dryopteris,supralineata,Rosenst.,tax_nov,spec.,Repert. Spec. Nov. Regni Veg. 8: 277. 1910 ,Repert. Spec. Nov. Regni Veg.,1910,8: 277,788-2,NA,NA,NA,NA,Brazil (Southern America),NA,85402-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/231995&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85402-2,IPNI,NA
Dryopteris warmingii,Dryopteridaceae,Dryopteris,warmingii,C.Chr.,tax_nov,spec.,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd. VII, 10(2): 277. 1913 ","Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd.",1913,"VII, 10(2): 277",988-2,NA,NA,NA,NA,Brazil (Southern America),NA,85477-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1913&rft.issue=2&rft.spage=277&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/7155&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/85477-2,IPNI,NA
Nephrodium cognatum,Dryopteridaceae,Nephrodium,cognatum,Trevis.,tax_nov,spec.,Atti Reale Ist. Veneto Sci. Lett. Arti 2(2): 165. 1851 ,Atti Reale Ist. Veneto Sci. Lett. Arti,1851,2(2): 165,9157-2,NA,NA,NA,NA,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",NA,17152300-1,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1851&rft.issue=2&rft.spage=165&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/8237&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/17152300-1,IPNI,NA
Nephrodium gardneri,Dryopteridaceae,Nephrodium,gardneri,Baker,tax_nov,spec.,Ann. Bot. (Oxford) 5(3): 330. 1891 [Aug 1891] ,Ann. Bot. (Oxford),1891,5(3): 330,1756-2,NA,NA,NA,NA,Brazil (Southern America),NA,169319-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=3&rft.spage=330&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,Aug 1891,NA,www.ipni.org/n/169319-2,IPNI,NA
Nephrodium incanum,Dryopteridaceae,Nephrodium,incanum,Christ,tax_nov,spec.,"Bot. Jahrb. Syst. 40(2): 150. 1907 [2 Aug 1907] , name only",Bot. Jahrb. Syst.,1907,40(2): 150,553-2,NA,NA,NA,NA,Brazil (Southern America),NA,169338-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.issue=2&rft.spage=150&rft.volume=40&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,2 Aug 1907,NA,www.ipni.org/n/169338-2,IPNI,NA
Nephrodium macrostegium,Dryopteridaceae,Nephrodium,macrostegium,Hook.,tax_nov,spec.,Sp. Fil. [W. J. Hooker] 4: 148. 1862 ,Sp. Fil. [W. J. Hooker],1862,4: 148,7152-2,NA,NA,NA,NA,Brazil (Southern America),NA,169372-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1862&rft.spage=148&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/32186&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/169372-2,IPNI,NA
Nephrodium pseudothelypteris,Dryopteridaceae,Nephrodium,pseudothelypteris,Rosenst.,tax_nov,spec.,Hedwigia 43: 225. 1904 ,Hedwigia,1904,43: 225,661-2,NA,NA,NA,NA,Brazil (Southern America),NA,169423-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1904&rft.spage=225&rft.volume=43&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,www.ipni.org/n/169423-2,IPNI,NA
Phanerophlebia aurita,Dryopteridaceae,Phanerophlebia,aurita,Fée,tax_nov,spec.,"Crypt. Vasc. Bresil 2[suppl.]: 70, t.100, f.1. 1873 ",Crypt. Vasc. Bresil,1873,"2[suppl.]: 70, t.100, f.1",7203-2,holotype P,A.F.M.Glaziou,4431,NA,Brazil (Southern America),NA,282604-2,NA,NA,NA,www.ipni.org/n/282604-2,IPNI,NA
Triplophyllum acutilobum,Dryopteridaceae,Triplophyllum,acutilobum,Holttum,tax_nov,spec.,Kew Bull. 41(2): 258. 1986 [22 Jul 1986] ,Kew Bull.,1986,41(2): 258,987-2,holotype K,J.W.H.Trail,1309,NA,Brazil (Southern America),NA,286431-2,NA,22 Jul 1986,NA,www.ipni.org/n/286431-2,IPNI,NA
