name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Grammitis steyermarkii,Polypodiaceae,Grammitis,steyermarkii,(Labiak) Christenh.,NA,Species,Global Fl. 4: 49 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182321-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182321-1,POWO,NA
Stigmatopteris tijuccana,Polypodiaceae,Stigmatopteris,tijuccana,(Raddi) C.Chr.,NA,Species,Bot. Tidsskr. 29: 298 (1909),NA,1909,NA,NA,NA,NA,NA,NA,NA,NA,245848-2,NA,NA,NA,https://powo.science.kew.org/taxon/245848-2,POWO,NA
Grammitis albidula,Polypodiaceae,Grammitis,albidula,(Baker) C.V.Morton,NA,Species,Amer. Fern J. 60: 66 (1970),NA,1970,NA,NA,NA,NA,NA,NA,NA,NA,113044-2,NA,NA,NA,https://powo.science.kew.org/taxon/113044-2,POWO,NA
Grammitis bradeana,Polypodiaceae,Grammitis,bradeana,(Labiak) Christenh.,NA,Species,Global Fl. 4: 42 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183050-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183050-1,POWO,NA
Grammitis depressa,Polypodiaceae,Grammitis,depressa,(C.Chr.) Christenh.,NA,Species,Global Fl. 4: 43 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182799-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182799-1,POWO,NA
Grammitis gradata,Polypodiaceae,Grammitis,gradata,(Baker) R.M.Tryon & A.F.Tryon,NA,Species,Rhodora 84: 128 (1982),NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,113114-2,NA,NA,NA,https://powo.science.kew.org/taxon/113114-2,POWO,NA
Grammitis itatimensis,Polypodiaceae,Grammitis,itatimensis,(C.Chr.) Christenh.,NA,Species,Global Fl. 4: 45 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183416-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183416-1,POWO,NA
Grammitis longepilosa,Polypodiaceae,Grammitis,longepilosa,(C.Chr.) Christenh.,NA,Species,Global Fl. 4: 46 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182743-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182743-1,POWO,NA
Grammitis micropteris,Polypodiaceae,Grammitis,micropteris,(C.Chr.) Brade,NA,Species,Sellowia 18: 81 (1966),NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,113157-2,NA,NA,NA,https://powo.science.kew.org/taxon/113157-2,POWO,NA
Grammitis schenckii,Polypodiaceae,Grammitis,schenckii,(Hieron.) Brade,NA,Species,Sellowia 18: 81 (1966),NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,17439890-1,NA,NA,NA,https://powo.science.kew.org/taxon/17439890-1,POWO,NA
Grammitis tamandarei,Polypodiaceae,Grammitis,tamandarei,(Rosenst.) Christenh.,NA,Species,Global Fl. 4: 49 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183411-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183411-1,POWO,NA
Megalastrum lasiernos,Polypodiaceae,Megalastrum,lasiernos,(Spreng.) A.R.Sm. & R.C.Moran,NA,Species,Amer. Fern J. 77: 128 (1988),NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,280660-2,NA,NA,NA,https://powo.science.kew.org/taxon/280660-2,POWO,NA
Elaphoglossum gamboanum,Polypodiaceae,Elaphoglossum,gamboanum,A.Rojas,NA,Species,Brenesia 47-48: 3 (1997),NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,318936-2,NA,NA,NA,https://powo.science.kew.org/taxon/318936-2,POWO,NA
Nephrolepis paludosa,Polypodiaceae,Nephrolepis,paludosa,(Raddi) Sehnem,NA,Species,"Fl. Ilustr. Catarin., DAVA: 16 (1979)",NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,169559-2,NA,NA,NA,https://powo.science.kew.org/taxon/169559-2,POWO,NA
Grammitis albicans,Polypodiaceae,Grammitis,albicans,(Lehnert) Christenh.,NA,Species,Global Fl. 4: 41 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183515-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183515-1,POWO,NA
Polystichopsis macrostegia,Polypodiaceae,Polystichopsis,macrostegia,(Hook.) Nakaike,NA,Species,J. Phytogeogr. Taxon. 49: 26 (2001),NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,20002123-1,NA,NA,NA,https://powo.science.kew.org/taxon/20002123-1,POWO,NA
Elaphoglossum juruense,Polypodiaceae,Elaphoglossum,juruense,A.Samp.,NA,Species,Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 33: 20 (1916),NA,1916,NA,NA,NA,NA,NA,NA,NA,NA,17330900-1,NA,NA,NA,https://powo.science.kew.org/taxon/17330900-1,POWO,NA
Grammitis hirsuta,Polypodiaceae,Grammitis,hirsuta,(A.R.Sm. & R.C.Moran) Christenh.,NA,Species,Global Fl. 4: 44 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77183510-1,NA,NA,NA,https://powo.science.kew.org/taxon/77183510-1,POWO,NA
Grammitis capillaris,Polypodiaceae,Grammitis,capillaris,(Desv.) Proctor,NA,Species,Brit. Fern Gaz. 9: 218 (1965),NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,113078-2,NA,NA,NA,https://powo.science.kew.org/taxon/113078-2,POWO,NA
Tectaria antioquiana,Polypodiaceae,Tectaria,antioquiana,C.Chr.,NA,Species,"Index Filic., Suppl. Tert.: 177 (1934)",NA,1934,NA,NA,NA,NA,NA,NA,NA,NA,249884-2,NA,NA,NA,https://powo.science.kew.org/taxon/249884-2,POWO,NA
Grammitis truncicola,Polypodiaceae,Grammitis,truncicola,(Klotzsch) C.V.Morton,NA,Species,Contr. U.S. Natl. Herb. 38: 98 (1967),NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,113239-2,NA,NA,NA,https://powo.science.kew.org/taxon/113239-2,POWO,NA
